PROVIDER_ID,PROVIDER_NAME,STATE,MONTH,TOTAL_PATIENTS,NUMBER_OF_CERTIFIED_BEDS,OCCUPANCY_RATE_PCT
015132,DIVERSICARE OF OXFORD,AL,1970-08,122,173,70.52
015133,MAGNOLIA RIDGE,AL,1970-08,137,148,92.57
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,1970-08,101,132,76.52
015135,JOHN KNOX MANOR INC  I I,AL,1970-08,63,98,64.29
015136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,82,116,70.69
015137,ALICEVILLE MANOR NURSING HOME,AL,1970-08,92,100,92.00
015138,HENDRIX HEALTH AND REHABILITATION,AL,1970-08,101,110,91.82
015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,1970-08,97,111,87.39
015141,ARBOR WOODS HEALTH AND REHAB,AL,1970-08,50,85,58.82
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,93,101,92.08
015143,FOREST MANOR HEALTH AND REHAB,AL,1970-08,160,182,87.91
015144,THE HEALTHCARE CENTER AT BUCK CREEK,AL,1970-08,169,198,85.35
015145,DIVERSICARE OF RIVERCHASE,AL,1970-08,120,132,90.91
015147,GLENWOOD CENTER,AL,1970-08,113,125,90.40
015148,DIVERSICARE OF ARAB,AL,1970-08,83,87,95.40
015149,SUNSET MANOR,AL,1970-08,59,71,83.10
015150,WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,1970-08,63,96,65.63
015151,AZALEA HEALTH AND REHAB LLC,AL,1970-08,70,170,41.18
015152,EXTENDICARE HEALTH CENTER,AL,1970-08,156,170,91.76
015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,1970-08,90,117,76.92
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,1970-08,86,122,70.49
015155,"RIDGEVIEW HEALTH SERVICES, INC",AL,1970-08,139,148,93.92
015156,CROWNE HEALTH CARE OF FT PAYNE,AL,1970-08,110,123,89.43
015157,HALEYVILLE HEALTH CARE CENTER,AL,1970-08,55,97,56.70
015158,DIVERSICARE OF MARION,AL,1970-08,63,71,88.73
015159,DIVERSICARE OF ONEONTA,AL,1970-08,107,120,89.17
015160,SYLACAUGA HEALTH AND REHAB SERVICES,AL,1970-08,127,149,85.23
015162,"TALLADEGA HEALTHCARE CENTER, INC",AL,1970-08,219,234,93.59
015163,ALBERTVILLE NURSING HOME,AL,1970-08,158,159,99.37
015164,CHOCTAW HEALTH AND REHAB,AL,1970-08,70,120,58.33
015166,DADEVILLE HEALTHCARE CENTER,AL,1970-08,100,144,69.44
015167,MARION REGIONAL NURSING HOME,AL,1970-08,61,79,77.22
015168,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,AL,1970-08,43,75,57.33
015169,"FLORENCE NURSING AND REHABILITATION CTR,  LLC",AL,1970-08,137,147,93.20
015171,SOUTHERN SPRINGS HEALTHCARE FACILITY,AL,1970-08,97,123,78.86
015174,COOSA VALLEY HEALTH AND REHAB,AL,1970-08,74,124,59.68
015175,WESLEY PLACE ON HONEYSUCKLE,AL,1970-08,154,166,92.77
015176,"CROSSVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,137,143,95.80
015177,WOODHAVEN MANOR NURSING HOME,AL,1970-08,69,75,92.00
015178,GREENE COUNTY NURSING HOME,AL,1970-08,36,72,50.00
015179,PARKWOOD HEALTH CARE FACILITY,AL,1970-08,70,74,94.59
015180,GADSDEN HEALTH AND REHAB CENTER,AL,1970-08,118,168,70.24
015182,"GEORGIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,79,91,86.81
015183,NORTH MOBILE NURSING AND REHABILITATION CTR,AL,1970-08,144,172,83.72
015184,CLOVERDALE REHABILITATION AND NURSING CENTER,AL,1970-08,129,141,91.49
015186,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,176,200,88.00
015187,"MOUNDVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,65,68,95.59
015188,JACKSON HEALTH CARE FACILITY,AL,1970-08,86,91,94.51
015189,DIVERSICARE OF PELL CITY,AL,1970-08,66,94,70.21
015191,BROWN NURSING HOME,AL,1970-08,66,68,97.06
015192,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",AL,1970-08,125,225,55.56
015193,CROWNE HEALTH CARE OF GREENVILLE,AL,1970-08,83,118,70.34
015194,PIEDMONT HEALTH CARE CENTER,AL,1970-08,80,91,87.91
015195,VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,AL,1970-08,125,168,74.40
015196,DIVERSICARE OF LANETT,AL,1970-08,82,85,96.47
015197,LAFAYETTE EXTENDED CARE,AL,1970-08,54,69,78.26
015199,CROWNE HEALTH CARE OF EUFAULA,AL,1970-08,152,180,84.44
015200,CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,AL,1970-08,171,185,92.43
015201,"GENERATIONS OF RED BAY, LLC",AL,1970-08,59,90,65.56
015202,MCGUFFEY HEALTH & REHABILITATION CENTER,AL,1970-08,170,209,81.34
015203,ATTALLA HEALTH AND REHAB,AL,1970-08,108,182,59.34
015204,GOODWATER HEALTHCARE CENTER,AL,1970-08,58,72,80.56
015206,DECATUR HEALTH & REHAB CENTER,AL,1970-08,97,119,81.51
015207,COLLINSVILLE HEALTHCARE & REHAB,AL,1970-08,162,200,81.00
015208,"OZARK HEALTH AND REHABILITATION, LLC",AL,1970-08,141,149,94.63
015209,DIVERSICARE OF BESSEMER,AL,1970-08,135,180,75.00
015210,"OPP HEALTH AND REHABILITATION, LLC",AL,1970-08,156,197,79.19
015211,TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,119,131,90.84
015212,SELF SKILLED NURSING & REHAB,AL,1970-08,78,131,59.54
015213,TROY HEALTH & REHABILITATION CENTER,AL,1970-08,106,220,48.18
015214,MADISON MANOR NURSING HOME,AL,1970-08,70,80,87.50
015215,BIBB MEDICAL CENTER NURSING HOME,AL,1970-08,113,131,86.26
015216,OAKVIEW MANOR HEALTH CARE CENTER,AL,1970-08,109,138,78.99
015217,BIRMINGHAM NURSING AND REHABILITATION CTR LLC,AL,1970-08,109,132,82.58
015220,CROWNE HEALTH CARE OF THOMASVILLE,AL,1970-08,78,80,97.50
015221,"CHAPMAN HEALTHCARE CENTER, INC",AL,1970-08,142,188,75.53
015222,FAIRHOPE HEALTH & REHAB,AL,1970-08,82,131,62.60
015223,NORTHSIDE HEALTH CARE,AL,1970-08,96,115,83.48
015225,BARFIELD HEALTH CARE,AL,1970-08,107,113,94.69
015228,ARABELLA HEALTH AND WELLNESS OF MONTGOMERY,AL,1970-08,88,121,72.73
015303,ARABELLA HEALTH & WELLNESS OF BIRMINGHAM,AL,1970-08,73,163,44.79
015315,"RIDGEWOOD HEALTH SERVICES, INC.",AL,1970-08,62,98,63.27
015320,ENTERPRISE HEALTH & REHABILITATION CENTER,AL,1970-08,152,257,59.14
015321,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,93,101,92.08
015322,ENGLEWOOD HEALTH CARE CENTER,AL,1970-08,72,87,82.76
015326,"PARK MANOR HEALTH AND REHABILITATION, LLC",AL,1970-08,142,152,93.42
015330,MARENGO NURSING HOME,AL,1970-08,57,78,73.08
015331,ARABELLA HEALTH & WELLNESS OF PHENIX CITY,AL,1970-08,85,86,98.84
015336,"LUVERNE HEALTH AND REHABILITATION, LLC",AL,1970-08,142,151,94.04
015369,OAKS ON PARKWOOD SKILLED NURSING FACILITY,AL,1970-08,116,130,89.23
015371,HERITAGE HEALTH CARE & REHAB INC,AL,1970-08,147,216,68.06
015372,REGENCY HEALTH CARE AND REHABILITATION CENTER,AL,1970-08,80,90,88.89
015373,HENRY COUNTY HEALTH AND REHABILITATION FACILITY,AL,1970-08,83,142,58.45
015374,CAMDEN NURSING FACILITY INC.,AL,1970-08,55,95,57.89
015375,ANNISTON HEALTH AND REHAB SERVICES,AL,1970-08,79,85,92.94
015376,DIVERSICARE OF WINFIELD,AL,1970-08,102,123,82.93
015378,MARSHALL MANOR NURSING HOME,AL,1970-08,85,91,93.41
015379,MOBILE NURSING AND REHABILITATION CENTER,AL,1970-08,89,120,74.17
015381,WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,AL,1970-08,7,60,11.67
015382,CANTERBURY HEALTH CARE FACILITY,AL,1970-08,132,137,96.35
015383,WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,AL,1970-08,122,149,81.88
015386,ADAMS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,56,88,63.64
015388,EAST GLEN,AL,1970-08,97,108,89.81
015390,CAPITOL HILL HEALTHCARE CENTER,AL,1970-08,211,284,74.30
015391,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,139,167,83.23
015392,CYPRESS COVE CARE CENTER,AL,1970-08,84,90,93.33
015393,CROWNE HEALTH CARE OF MONTGOMERY,AL,1970-08,150,185,81.08
015396,DIVERSICARE OF GREENSBORO,AL,1970-08,79,97,81.44
015397,WINDSOR HOUSE,AL,1970-08,92,117,78.63
015398,MONROE MANOR HEALTH & REHABILITATION CENTER,AL,1970-08,70,84,83.33
015400,MEADOWVIEW NURSING CENTER,AL,1970-08,59,59,100.00
015402,EL REPOSO NURSING FACILITY,AL,1970-08,59,60,98.33
015403,"PALM GARDENS HEALTH AND REHABILITATION, LLC",AL,1970-08,89,100,89.00
015404,BARON HOUSE OF HUEYTOWN,AL,1970-08,31,50,62.00
015406,"GRAND BAY CONVALESCENT HOME, INC.",AL,1970-08,73,92,79.35
015407,HEALTH CARE INC,AL,1970-08,49,53,92.45
015408,"WALKER REHABILITATION CENTER, INC",AL,1970-08,35,59,59.32
015411,SHELBY RIDGE NURSING HOME,AL,1970-08,130,131,99.24
015413,LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,61,68,89.71
015414,LAFAYETTE NURSING HOME,AL,1970-08,47,63,74.60
015416,ANDALUSIA MANOR,AL,1970-08,96,154,62.34
015417,CROWNE HEALTHCARE OF NORTH BALDWIN,AL,1970-08,70,75,93.33
015419,HARTFORD HEALTH CARE,AL,1970-08,77,86,89.53
015420,CUMBERLAND HEALTH AND REHAB,AL,1970-08,85,100,85.00
015422,TLC NURSING CENTER,AL,1970-08,88,103,85.44
015423,BROOKDALE UNIVERSITY PARK SNF (AL),AL,1970-08,64,66,96.97
015424,ROANOKE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,60,65,92.31
015425,WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,AL,1970-08,158,165,95.76
015426,CROWNE HEALTH CARE OF SPRINGHILL,AL,1970-08,43,46,93.48
015429,KENSINGTON HEALTH AND REHABILITATION,AL,1970-08,116,120,96.67
015431,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",AL,1970-08,128,155,82.58
015433,ST MARTIN'S IN THE PINES,AL,1970-08,71,128,55.47
015434,LYNWOOD REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,114,127,89.76
015435,SPRINGHILL SENIOR RESIDENCE,AL,1970-08,76,151,50.33
015436,HILLVIEW TERRACE,AL,1970-08,130,143,90.91
015437,FOLSOM REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,95,102,93.14
015440,"HUNTSVILLE HEALTH & REHABILITATION, LLC",AL,1970-08,104,105,99.05
015442,ORCHARD REHABILITATION & HEALTHCARE CENTER,AL,1970-08,48,72,66.67
015443,ROBERTSDALE REHABILITATION & HEALTHCARE CTR,AL,1970-08,124,152,81.58
015445,CHERRY HILL REHABILITATION & HEALTHCARE CENTER,AL,1970-08,108,117,92.31
015446,GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT,AL,1970-08,87,95,91.58
015447,ARABELLA HEALTH AND WELLNESS OF FAIRHOPE,AL,1970-08,72,83,86.75
015448,SOUTH HAMPTON NURSING & REHABILITATION CENTER,AL,1970-08,78,81,96.30
015450,WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,AL,1970-08,17,59,28.81
015451,FLORALA HEALTH AND REHABILITATION LLC,AL,1970-08,80,85,94.12
015452,ARBOR LAKE HEALTH AND REHAB,AL,1970-08,72,87,82.76
015453,"COLUMBIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,58,63,92.06
015454,FAIRVIEW AT REDSTONE VILLAGE,AL,1970-08,54,56,96.43
015455,ELITE NURSING AND REHABILITATION CARE CENTER,AL,1970-08,128,143,89.51
015456,"GULF COAST HEALTH AND REHABILITATION, LLC",AL,1970-08,92,100,92.00
015457,KIRKWOOD BY THE RIVER,AL,1970-08,58,61,95.08
015458,AHC MILLENIUM,AL,1970-08,79,91,86.81
015459,GALLERIA WOODS SKILLED NURSING FACILITY,AL,1970-08,29,30,96.67
015460,CHARLTON PLACE REHAB AND HEALTHCARE CENTER,AL,1970-08,60,65,92.31
015461,LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,AL,1970-08,128,189,67.72
015463,KNOLLWOOD HEALTHCARE,AL,1970-08,52,71,73.24
015464,"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",AL,1970-08,95,118,80.51
015465,ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,AL,1970-08,78,75,104.00
015467,CAVALIER HEALTHCARE OF TRUSSVILLE,AL,1970-08,101,125,80.80
015468,ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,AL,1970-08,107,120,89.17
01A193,FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,AL,1970-08,45,58,77.59
01A208,MONTGOMERY CHILDREN'S SPECIALTY CENTER,AL,1970-08,45,54,83.33
025010,KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,AK,1970-08,20,29,68.97
025015,WRANGELL MEDICAL CENTER LTC,AK,1970-08,17,18,94.44
025018,PROVIDENCE TRANSITIONAL CARE CENTER,AK,1970-08,47,50,94.00
025020,DENALI CENTER,AK,1970-08,76,90,84.44
025021,HERITAGE PLACE,AK,1970-08,44,60,73.33
025024,PROVIDENCE SEWARD MOUNTAIN HAVEN,AK,1970-08,39,40,97.50
025025,PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,AK,1970-08,98,102,96.08
025027,WILDFLOWER COURT,AK,1970-08,46,57,80.70
025028,CORDOVA COMMUNITY MED LTC,AK,1970-08,8,10,80.00
025032,SEARHC SITKA LONG TERM CARE,AK,1970-08,17,19,89.47
025036,PROVIDENCE EXTENDED CARE,AK,1970-08,94,96,97.92
025037,YUKON KUSKOKWIM ELDER'S HOME,AK,1970-08,15,18,83.33
025038,MAPLE SPRINGS OF WASILLA,AK,1970-08,47,67,70.15
025039,MAPLE SPRINGS OF PALMER,AK,1970-08,62,67,92.54
035003,THE TERRACES OF PHOENIX,AZ,1970-08,48,64,75.00
035004,SANTA ROSA CARE CENTER,AZ,1970-08,117,144,81.25
035014,DESERT TERRACE HEALTHCARE CENTER,AZ,1970-08,85,108,78.70
035016,HANDMAKER HOME FOR THE AGING,AZ,1970-08,83,94,88.30
035059,HAVEN OF SCOTTSDALE,AZ,1970-08,57,56,101.79
035062,DESERT HAVEN CARE CENTER,AZ,1970-08,82,115,71.30
035064,FOOTHILLS REHABILITATION CENTER,AZ,1970-08,128,149,85.91
035068,PUEBLO SPRINGS REHABILITATION CENTER,AZ,1970-08,78,129,60.47
035070,CASAS ADOBES POST ACUTE REHAB CENTER,AZ,1970-08,157,230,68.26
035071,MISSION PALMS POST ACUTE,AZ,1970-08,147,160,91.88
035072,PHOENIX MOUNTAIN POST ACUTE,AZ,1970-08,114,130,87.69
035073,"HAVEN HEALTH GREEN VALLEY, LLC",AZ,1970-08,97,111,87.39
035074,FRIENDSHIP VILLAGE OF TEMPE,AZ,1970-08,61,128,47.66
035076,OSBORN HEALTH AND REHABILITATION,AZ,1970-08,93,130,71.54
035083,HERITAGE COURT POST ACUTE OF SCOTTSDALE,AZ,1970-08,59,108,54.63
035084,PLAZA HEALTHCARE,AZ,1970-08,130,179,72.63
035085,HAVEN OF SAGUARO VALLEY,AZ,1970-08,98,112,87.50
035086,"HAVEN OF SIERRA VISTA, LLC",AZ,1970-08,94,100,94.00
035087,NORTH MOUNTAIN MEDICAL AND REHABILITATION CENTER,AZ,1970-08,138,155,89.03
035088,CAMELBACK POST ACUTE CARE AND REHABILITATION,AZ,1970-08,87,107,81.31
035091,HAVEN OF FLAGSTAFF,AZ,1970-08,75,83,90.36
035092,BELLA VITA HEALTH AND REHABILITATION CENTER,AZ,1970-08,162,176,92.05
035093,HAVEN OF COTTONWOOD,AZ,1970-08,60,80,75.00
035094,HAVEN OF SEDONA,AZ,1970-08,63,112,56.25
035095,DESERT COVE NURSING CENTER,AZ,1970-08,47,120,39.17
035096,"HAVEN OF SANDPOINTE, LLC",AZ,1970-08,108,143,75.52
035097,THE LEGACY REHAB & CARE CENTER,AZ,1970-08,59,120,49.17
035099,SANDSTONE OF TUCSON REHAB CENTRE,AZ,1970-08,152,240,63.33
035100,HAVASU NURSING CENTER,AZ,1970-08,45,118,38.14
035101,CHANDLER POST ACUTE AND REHABILITATION,AZ,1970-08,102,120,85.00
035103,CITADEL POST ACUTE,AZ,1970-08,111,128,86.72
035105,SHEA POST ACUTE REHABILITATION CENTER,AZ,1970-08,93,120,77.50
035106,TEMPE POST ACUTE,AZ,1970-08,50,60,83.33
035107,HAVEN OF PHOENIX,AZ,1970-08,108,114,94.74
035110,SUN WEST CHOICE HEALTHCARE & REHAB,AZ,1970-08,137,140,97.86
035111,LAKE PLEASANT POST ACUTE REHABILITATION CENTER,AZ,1970-08,104,128,81.25
035112,APACHE JUNCTION HEALTH CENTER,AZ,1970-08,125,190,65.79
035114,MOUNTAIN VIEW MANOR,AZ,1970-08,63,116,54.31
035116,THE REHABILITATION CENTER AT THE PALAZZO,AZ,1970-08,47,60,78.33
035117,PAYSON CARE CENTER,AZ,1970-08,41,163,25.15
035118,HAVEN OF CAMP VERDE,AZ,1970-08,42,58,72.41
035120,MI CASA NURSING CENTER,AZ,1970-08,115,180,63.89
035121,BOSWELL TRANSITIONAL CARE OF CASCADIA,AZ,1970-08,93,115,80.87
035125,RIDGECREST POST ACUTE,AZ,1970-08,133,200,66.50
035126,LIFE CARE CENTER OF NORTH GLENDALE,AZ,1970-08,124,223,55.61
035127,"HAVEN HEALTH PRESCOTT, LLC",AZ,1970-08,50,58,86.21
035130,ARCHSTONE CARE CENTER,AZ,1970-08,86,120,71.67
035131,GRANITE CREEK HEALTH & REHABILITATION CENTER,AZ,1970-08,104,128,81.25
035132,CORONADO HEALTHCARE CENTER,AZ,1970-08,173,191,90.58
035133,LIFE CARE CENTER OF YUMA,AZ,1970-08,86,128,67.19
035134,RIM COUNTRY HEALTH & RETIREMENT COMMUNITY,AZ,1970-08,70,109,64.22
035135,MONTECITO POST ACUTE CARE AND REHABILITATION,AZ,1970-08,182,222,81.98
035136,LIFE CARE CENTER OF SIERRA VISTA,AZ,1970-08,58,152,38.16
035139,HAVEN OF SHOW LOW,AZ,1970-08,55,58,94.83
035140,LIFE CARE CENTER OF TUCSON,AZ,1970-08,67,162,41.36
035141,HERITAGE HEALTH CARE CENTER,AZ,1970-08,69,96,71.88
035143,LIFE CARE CENTER OF SCOTTSDALE,AZ,1970-08,31,132,23.48
035144,PEORIA POST ACUTE AND REHABILITATION,AZ,1970-08,167,159,105.03
035145,DEVON GABLES REHABILITATION CENTER,AZ,1970-08,190,312,60.90
035146,LIFE CARE CENTER OF PARADISE VALLEY,AZ,1970-08,96,210,45.71
035147,VILLA MARIA POST ACUTE AND REHABILITATION,AZ,1970-08,52,83,62.65
035151,SABINO CANYON REHABILITATION & CARE CENTER,AZ,1970-08,84,112,75.00
035152,YUMA NURSING CENTER,AZ,1970-08,70,120,58.33
035154,PROVIDENCE PLACE AT GLENCROFT,AZ,1970-08,124,225,55.11
035158,GOOD SAMARITAN SOCIETY-PRESCOTT VILLAGE,AZ,1970-08,33,58,56.90
035159,HORIZON POST ACUTE AND REHABILITATION CENTER,AZ,1970-08,128,196,65.31
035164,DESERT BLOSSOM HEALTH & REHAB CENTER,AZ,1970-08,81,106,76.42
035165,HAVEN OF TUCSON,AZ,1970-08,103,118,87.29
035166,ESTRELLA HEALTH AND REHABILITATION CENTER,AZ,1970-08,125,161,77.64
035169,DESERT HIGHLANDS CARE CENTER,AZ,1970-08,77,120,64.17
035171,ALTA MESA HEALTH AND REHABILITATION,AZ,1970-08,68,70,97.14
035172,HAVEN OF SAFFORD,AZ,1970-08,73,106,68.87
035174,PARK AVENUE HEALTH AND REHABILITATION CENTER,AZ,1970-08,122,200,61.00
035175,DESERT PEAK CARE CENTER,AZ,1970-08,131,194,67.53
035176,BEATITUDES CAMPUS,AZ,1970-08,54,72,75.00
035180,HAVEN OF DOUGLAS,AZ,1970-08,54,58,93.10
035183,RIO VISTA POST ACUTE AND REHABILITATION,AZ,1970-08,129,150,86.00
035189,LA CANADA CARE CENTER,AZ,1970-08,95,128,74.22
035190,CATALINA POST ACUTE AND REHABILITATION,AZ,1970-08,95,102,93.14
035193,ALLEGIANT HEALTHCARE OF MESA,AZ,1970-08,94,204,46.08
035196,SANDRIDGE POST ACUTE,AZ,1970-08,106,191,55.50
035197,HAVEN OF YUMA,AZ,1970-08,110,120,91.67
035205,SUNCREST HEALTHCARE CENTER,AZ,1970-08,65,115,56.52
035207,SPRINGDALE VILLAGE HEALTHCARE,AZ,1970-08,15,122,12.30
035214,GOOD SAMARITAN SOCIETY-QUIBURI MISSION,AZ,1970-08,47,60,78.33
035216,CARING HOUSE,AZ,1970-08,86,100,86.00
035217,REHAB AT SCOTTSDALE VILLAGE SQUARE,AZ,1970-08,102,141,72.34
035225,SUN CITY POST ACUTE,AZ,1970-08,106,118,89.83
035231,SIERRA WINDS,AZ,1970-08,26,70,37.14
035232,MOUNTAIN VIEW CARE CENTER,AZ,1970-08,97,120,80.83
035233,HAVEN OF GLOBE,AZ,1970-08,82,104,78.85
035234,ARIZONA STATE VETERAN HOME-PHX,AZ,1970-08,81,200,40.50
035240,HAVEN OF LAKE HAVASU,AZ,1970-08,80,104,76.92
035241,SOUTH MOUNTAIN POST ACUTE,AZ,1970-08,104,124,83.87
035242,DR GUY GORMAN SR CARE HOME,AZ,1970-08,55,80,68.75
035244,GOOD SAMARITAN SOCIETY-PRESCOTT VALLEY,AZ,1970-08,51,58,87.93
035245,SUNVIEW RESPIRATORY AND REHABILITATION,AZ,1970-08,109,127,85.83
035247,MARYLAND GARDENS POST ACUTE,AZ,1970-08,52,58,89.66
035249,THE GARDENS REHAB & CARE CENTER,AZ,1970-08,47,58,81.03
