PROVIDER_ID,PROVIDER_NAME,STATE,NUMBER_OF_SUBSTANTIATED_COMPLAINTS,PATIENT_COUNT_ON_1970_08_23,COMPLAINTS_PER_100_PATIENTS
245184,ROCHESTER EAST HEALTH SERVICES,MN,54,58,93.10
235132,MAJESTIC CARE OF FLUSHING,MI,88,96,91.67
555748,BERKLEY EAST HEALTHCARE CENTER,CA,87,95,91.58
235450,ALLENDALE NURSING AND REHABILITATION COMMUNITY,MI,48,53,90.57
375253,CLINTON THERAPY & LIVING CENTER,OK,28,31,90.32
235296,MEDILODGE OF SOUTHFIELD,MI,130,144,90.28
366114,EMBASSY OF LYNDHURST,OH,50,56,89.29
145842,FLANAGAN REHABILITATION & HCC,IL,25,28,89.29
345134,PELICAN HEALTH RANDOLPH LLC,NC,64,72,88.89
365825,GRANDE OAKS,OH,39,44,88.64
235532,ASHLEY HEALTHCARE CENTER,MI,37,42,88.10
165313,OAKWOOD SPECIALTY CARE,IA,44,50,88.00
395742,SOUTHWESTERN NURSING AND REHABILITATION CENTER,PA,89,102,87.25
055247,COUNTRY OAKS CARE CENTER,CA,60,69,86.96
395028,SQUIRREL HILL WELLNESS AND REHABILITATION CENTER,PA,81,94,86.17
365859,THE MERRIMAN,OH,37,43,86.05
245223,BAY VIEW NURSING & REHABILITATION CENTER,MN,43,50,86.00
235217,SKLD BLOOMFIELD HILLS,MI,110,128,85.94
555808,THE REHABILITATION CENTER OF SANTA MONICA,CA,84,98,85.71
265352,MANCHESTER REHAB AND HEALTHCARE CENTER,MO,43,51,84.31
145811,APERION CARE PEORIA HEIGHTS,IL,72,86,83.72
055376,HUNTINGTON DRIVE HEALTH AND REHABILITATION CENTER,CA,77,92,83.70
235016,ALLEGRA NURSING AND REHAB,MI,40,48,83.33
366150,ASTORIA PLACE OF CINCINNATI,OH,49,59,83.05
555893,PASADENA NURSING CENTER,CA,44,53,83.02
155690,ENVIVE OF ANDERSON,IN,38,46,82.61
145903,VANDALIA REHAB & HEALTH CARE C,IL,28,34,82.35
145886,ALEDO REHAB & HEALTH CARE CENTER,IL,37,45,82.22
235187,MISSION POINT NSG PHY REHAB CTR OF MADISON HEIGHTS,MI,78,95,82.11
265351,LANSDOWNE VILLAGE,MO,104,127,81.89
055870,SUNRAY HEALTHCARE CENTER,CA,74,91,81.32
235541,THE LODGE AT TAYLOR,MI,65,80,81.25
676053,MERKEL NURSING CENTER,TX,25,31,80.65
235552,MISSION POINT NSG & PHY REHAB CTR OF HANCOCK,MI,37,46,80.43
455815,FALLBROOK REHABILITATION AND CARE CENTER,TX,45,56,80.36
165284,SUNNY KNOLL CARE CENTRE,IA,16,20,80.00
365452,PEARLVIEW REHAB & WELLNESS CTR,OH,24,30,80.00
165171,SILVER OAK NURSING AND REHABILITATION CENTER LLC,IA,59,74,79.73
265638,"BAPTIST HOMES, TRI-COUNTY",MO,43,54,79.63
165323,CORRECTIONVILLE SPECIALTY CARE,IA,26,33,78.79
056194,WINDSOR GARDENS CONVALESCENT HOSPITAL,CA,66,84,78.57
365364,GARDEN COURT NURSING AND REHABILITATION CENTER,OH,42,54,77.78
235542,MEDILODGE OF WESTWOOD,MI,66,85,77.65
175335,ADVENA LIVING OF CHERRYVALE,KS,24,31,77.42
145478,NOKOMIS REHAB & HEALTH CARE CENTER,IL,24,31,77.42
395300,WEXFORD HEALTHCARE CENTER,PA,89,115,77.39
235589,LAKELAND CENTER (THE),MI,54,70,77.14
365952,RIDGEWOOD MANOR,OH,40,52,76.92
525074,MADISON HEALTH AND REHABILITATION CENTER,WI,53,69,76.81
065429,ACCEL AT LONGMONT,CO,26,34,76.47
056333,MOUNTAIN VIEW CONV HOSP,CA,78,102,76.47
525678,MINOCQUA HEALTH AND REHAB,WI,26,34,76.47
345304,"ACCORDIUS HEALTH AT MIDWOOD, LLC",NC,47,62,75.81
345566,PRUITTHEALTH-UNION POINTE,NC,50,66,75.76
235283,MEDILODGE OF EAST LANSING,MI,50,66,75.76
155389,WESTPARK A WATERS COMMUNITY,IN,34,45,75.56
375094,EMERALD CARE CENTER TULSA,OK,34,45,75.56
265857,LIBERTY HEALTH AND WELLNESS,MO,77,102,75.49
525730,MEDICAL SUITES AT OAK CREEK (THE),WI,86,114,75.44
145639,CHICAGO RIDGE SNF,IL,150,199,75.38
235618,OPTALIS HEALTH AND REHABILITATION OF CANTON,MI,52,69,75.36
365370,MOMENTOUS HEALTH AT RICHFIELD,OH,30,40,75.00
145968,KEWANEE CARE HOME,IL,33,44,75.00
235646,CARETEL INNS OF LINDEN,MI,33,44,75.00
235617,REGENCY MANOR NURSING & REHABILITATION CENTER,MI,24,32,75.00
165175,GREATER SOUTHSIDE HEALTH AND REHABILITATION,IA,44,59,74.58
055854,SANTA ROSA POST ACUTE,CA,67,90,74.44
055461,CALIFORNIA POST ACUTE,CA,49,66,74.24
345174,ELEVATE HEALTH AND REHABILITATION,NC,69,93,74.19
365933,BUCKEYE TERRACE REHABILITATION AND NURSING CENTER,OH,43,58,74.14
245306,ROCHESTER HEALTH SERVICES WEST,MN,20,27,74.07
365826,CONTINUING HEALTHCARE OF CUYAHOGA FALLS,OH,44,60,73.33
165305,CHARITON SPECIALTY CARE,IA,30,41,73.17
165245,HILLCREST HEALTH CARE CENTER,IA,30,41,73.17
165478,ARBOR COURT,IA,43,59,72.88
375570,ACCEL AT CRYSTAL PARK,OK,40,55,72.73
245028,HIGHLAND CHATEAU HEALTH AND REHABILITATION CENTER,MN,34,47,72.34
055189,GREENFIELD CARE CENTER OF FAIRFIELD,CA,44,61,72.13
055489,SHASTA VIEW CARE CENTER,CA,36,50,72.00
385117,FRENCH PRAIRIE NURSING & REHABILITATION CENTER,OR,38,53,71.70
365754,MAJESTIC CARE OF COLUMBUS LLC,OH,53,74,71.62
165524,BETHANY LUTHERAN HOME,IA,59,83,71.08
265321,GARDEN VIEW CARE CENTER,MO,34,48,70.83
146017,ILLINI HERITAGE REHAB & HC,IL,34,48,70.83
385181,EAST CASCADE RETIREMENT COMMUNITY,OR,12,17,70.59
675085,PARADIGM AT WOODWIND LAKES,TX,93,132,70.45
165523,ASPIRE OF ESTHERVILLE,IA,19,27,70.37
235461,MISSION POINT NSG & PHY REHAB CTR OF CLARKSTON,MI,47,67,70.15
165234,PARKVIEW MANOR,IA,35,50,70.00
165585,ASPIRE OF MUSCATINE,IA,25,36,69.44
235726,WELLBRIDGE OF CLARKSTON,MI,59,85,69.41
385189,AVAMERE TRANSITIONAL CARE AT SUNNYSIDE,OR,47,68,69.12
675021,ELECTRA HEALTHCARE CENTER,TX,11,16,68.75
525424,ARIA OF BROOKFIELD,WI,72,105,68.57
235475,BEACONSHIRE NURSING CENTRE,MI,63,92,68.48
395506,KADIMA REHABILITATION & NURSING AT PALMYRA,PA,26,38,68.42
195512,PINES RETIREMENT CENTER OF BATON ROUGE,LA,39,57,68.42
235263,MEDILODGE OF STERLING HEIGHTS,MI,129,189,68.25
675214,SOLIDAGO HEALTH AND REHABILITATION,TX,43,63,68.25
365837,OAK GROVE MANOR,OH,43,63,68.25
055473,NEW VISTA POST-ACUTE CARE CENTER,CA,76,112,67.86
265875,MCCLAY SENIOR CARE,MO,33,49,67.35
055711,BRENTWOOD HEALTH CARE CENTER,CA,37,55,67.27
195293,"NATCHITOCHES NURSING AND REHABILITATION CENTER,LLC",LA,42,63,66.67
675444,REUNION PLAZA SENIOR CARE AND REHABILITATION CENTE,TX,62,93,66.67
365874,HUDSON ELMS NURSING CENTER,OH,24,36,66.67
265526,CHARITON PARK HEALTH CARE CENTER,MO,77,116,66.38
676178,DUNCANVILLE HEALTHCARE AND REHABILITATION CENTER,TX,57,86,66.28
555330,RIVERSIDE POSTACUTE CARE,CA,106,160,66.25
366328,DIVINE REHABILITATION AND NURSING AT TOLEDO,OH,43,65,66.15
245544,VICTORY HEALTH & REHABILITATION CENTER,MN,43,65,66.15
385072,CORVALLIS MANOR,OR,41,62,66.13
165427,NEWTON HEALTH CARE CENTER,IA,35,53,66.04
345561,UNIVERSAL HEALTH CARE/FUQUAY-VARINA,NC,66,100,66.00
235234,HERITAGE MANOR NURSING AND REHAB CENTER,MI,60,91,65.93
366158,THE PAVILION REHABILITATION AND NURSING CENTER,OH,29,44,65.91
375536,TUSCANY VILLAGE NURSING CENTER,OK,85,129,65.89
525108,ALLIS CARE CENTER,WI,54,82,65.85
525654,HERITAGE LAKESIDE,WI,25,38,65.79
145981,SWANSEA REHAB HEALTH CARE,IL,25,38,65.79
395484,KADIMA REHABILITATION & NURSING AT LUZERNE,PA,23,35,65.71
555214,PROFESSIONAL POST ACUTE CENTER,CA,57,87,65.52
525282,CROSSROADS CARE CENTER OF KENOSHA,WI,36,55,65.45
366141,LOUISVILLE GARDENS CARE CENTER,OH,17,26,65.38
235582,EVERGREEN HEALTH AND REHABILITATION CENTER,MI,97,149,65.10
165312,FONDA SPECIALTY CARE,IA,24,37,64.86
265838,LAKEVIEW POST ACUTE,MO,58,90,64.44
145647,"LOFT REHAB OF PEORIA, THE",IL,63,98,64.29
235730,NORTHVILLE MANOR,MI,18,28,64.29
145996,APERION CARE HILLSIDE,IL,34,53,64.15
155156,APERION CARE ARBORS MICHIGAN CITY,IN,84,131,64.12
155531,ENVIVE OF HUNTINGTON,IN,25,39,64.10
145967,ELEVATE CARE COUNTRY CLUB HILL,IL,100,156,64.10
235174,MARSHALL NURSING AND REHABILITATION COMMUNITY,MI,30,47,63.83
265481,PIN OAKS LIVING CENTER,MO,44,69,63.77
145514,EFFINGHAM REHAB & HEALTH C CTR,IL,28,44,63.64
366085,LEGENDS CARE REHABILITATION AND NURSING CENTER,OH,35,55,63.64
265423,WESTVIEW NURSING HOME,MO,38,60,63.33
235626,OPTALIS HEALTH AND REHABILITATION OF TROY,MI,39,62,62.90
475020,BERLIN HEALTH & REHAB CTR,VT,32,51,62.75
366430,OTTERBEIN GAHANNA,OH,32,51,62.75
165222,CORYDON SPECIALTY CARE,IA,32,51,62.75
145989,PARKER NURSING & REHAB CENTER,IL,37,59,62.71
395382,"GROVE AT NORTH HUNTINGDON, THE",PA,62,99,62.63
145975,ROCHELLE REHAB & HEALTH CARE CENTER,IL,15,24,62.50
145879,TRI-STATE VILLAGE NRSG & RHB,IL,40,64,62.50
235588,MAPLE VALLEY NURSING HOME,MI,15,24,62.50
365316,HIGHLAND SQUARE NURSING AND REHABILITATION,OH,35,56,62.50
505123,BRIDGEVIEW CARE,WA,56,90,62.22
235324,RIVERSIDE HEALTHCARE CENTER,MI,23,37,62.16
235538,MISSION POINT HEALTH CAMPUS OF JACKSON,MI,23,37,62.16
525405,WATERFALL HEALTH OF WAUSAU,WI,18,29,62.07
235399,MEDILODGE OF PORTAGE,MI,63,102,61.76
265834,"QUARTERS AT DES PERES, THE",MO,59,96,61.46
165322,COTTAGE GROVE PLACE,IA,27,44,61.36
396003,MONROEVILLE SKILLED NURSING AND REHABILITATION CTR,PA,74,121,61.16
145136,ARCADIA CARE AUBURN,IL,37,61,60.66
165208,GRANGER NURSING & REHABILITATION CENTER,IA,26,43,60.47
155618,MAJESTIC CARE OF CARMEL,IN,26,43,60.47
155218,GREAT LAKES HEALTHCARE CENTER,IN,68,113,60.18
555730,FOOTHILL REGIONAL MEDICAL CENTER D/P SNF,CA,12,20,60.00
335548,ONONDAGA CENTER FOR REHABILITATION AND NURSING,NY,42,70,60.00
455643,MATAGORDA HOUSE HEALTHCARE CENTER,TX,46,77,59.74
525498,WATERFALL HEALTH OF BROWN DEER,WI,34,57,59.65
375303,WEWOKA HEALTHCARE CENTER,OK,45,76,59.21
056139,ROSEVILLE POINT HEALTH & WELLNESS CENTER,CA,52,88,59.09
245378,VALLEY VIEW MANOR HCC,MN,13,22,59.09
165531,GARDEN VIEW CARE CENTER,IA,23,39,58.97
235720,WELLBRIDGE OF PINCKNEY,MI,53,90,58.89
395109,BEAVER HEALTHCARE AND REHABILITATION CENTER,PA,30,51,58.82
065430,AVIVA AT FITZSIMONS,CO,20,34,58.82
345116,PIEDMONT HILLS CENTER FOR NURSING AND REHAB,NC,65,111,58.56
175172,EXCEL HEALTHCARE AND REHAB TOPEKA,KS,55,94,58.51
235014,THE ORCHARDS AT REDFORD,MI,45,77,58.44
155370,PREMIER HEALTHCARE OF NEW HARMONY,IN,32,55,58.18
245409,EDENBROOK OF ROCHESTER,MN,33,57,57.89
675746,CORONADO NURSING CENTER,TX,45,78,57.69
165248,PLEASANT ACRES CARE CENTER,IA,15,26,57.69
385024,AVAMERE HEALTH SERVICES OF ROGUE VALLEY,OR,34,59,57.63
165173,OSAGE REHAB AND HEALTH CARE CENTER,IA,19,33,57.58
145945,IMBODEN CREEK SENIOR LIVING,IL,42,73,57.53
145211,BURBANK REHABILITATION CENTER,IL,58,101,57.43
676132,TRAIL LAKE NURSING & REHABILITATION,TX,39,68,57.35
265112,FLORISSANT VALLEY HEALTH & REHABILITATION CENTER,MO,47,82,57.32
505240,EMERALD BAY CARE,WA,40,70,57.14
365355,GARDENS OF MAYFIELD VILLAGE,OH,40,70,57.14
145978,SHAWNEE ROSE CARE CENTER,IL,12,21,57.14
115110,BUCKHEAD CENTER FOR NURSING AND HEALING,GA,73,128,57.03
555726,MAR VISTA COUNTRY VILLA HEALTHCARE & WELLNESS,CA,33,58,56.90
395397,KINGSTON REHABILITATION AND NURSING CENTER,PA,79,139,56.83
366039,POINT PLACE HEALTHCARE AND REHABILITATION CENTER,OH,38,67,56.72
115512,PRUITTHEALTH - WEST ATLANTA,GA,55,97,56.70
065232,ATLAS POST ACUTE,CO,34,60,56.67
345006,UNIVERSAL HEALTH CARE/BLUMENTHAL,NC,64,113,56.64
146152,ROCHELLE GARDENS CARE CENTER,IL,30,53,56.60
235545,REGENCY AT WHITMORE LAKE,MI,61,108,56.48
155270,CORE OF DALE,IN,22,39,56.41
525330,MIDDLETON VILLAGE NURSING AND REHAB,WI,40,71,56.34
505128,SEQUIM HEALTH & REHABILITATION,WA,42,75,56.00
145016,GOLDWATER CARE BLOOMINGTON,IL,38,68,55.88
385263,REGENCY HERMISTON NURSING & REHAB CENTER,OR,38,68,55.88
235623,"ROYALTON MANOR, L L C",MI,43,77,55.84
145969,APERION CARE FOREST PARK,IL,113,203,55.67
065384,SANDROCK RIDGE CARE & REHABILITATION,CO,20,36,55.56
365476,ASTORIA PLACE OF SILVERTON,OH,30,54,55.56
146097,EL PASO HEALTH CARE CENTER,IL,56,101,55.45
145234,PEARL PAVILION,IL,36,65,55.38
145965,LOFT REHAB OF DECATUR,IL,47,85,55.29
395892,"GROVE AT LATROBE, THE",PA,42,76,55.26
495193,HENRICO HEALTH & REHABILITATION CENTER,VA,59,107,55.14
056010,SEAL BEACH HEALTH AND REHABILITATION CENTER,CA,97,176,55.11
235103,SKLD BELTLINE,MI,66,120,55.00
365315,CAPITAL CITY GARDENS REHABILITATION AND NURSING CE,OH,50,91,54.95
265757,BENTWOOD NURSING & REHAB,MO,57,104,54.81
385132,AVAMERE REHABILITATION OF KING CITY,OR,30,55,54.55
505024,SPOKANE FALLS CARE,WA,36,66,54.55
245593,GOOD SAMARITAN SOCIETY - ST JAMES,MN,18,33,54.55
145585,CASEYVILLE NURSING & REHAB CTR,IL,48,88,54.55
265585,HILLSIDE REHAB AND HEALTHCARE CENTER,MO,85,156,54.49
555383,BLYTHE POST ACUTE LLC,CA,25,46,54.35
366044,GARDENS OF PAULDING THE,OH,19,35,54.29
345131,CEDAR HILLS CENTER FOR NURSING AND REHABILITATION,NC,39,72,54.17
065285,SILVER HEIGHTS SKILLED NURSING AND REHABILITATION,CO,33,61,54.10
285097,EMERALD NURSING & REHAB OMAHA,NE,34,63,53.97
065274,WESTWOOD POST ACUTE,CO,35,65,53.85
056206,UNIVERSITY PARK HEALTHCARE CENTER,CA,42,78,53.85
395148,RIVER VIEW NURSING AND REHABILITATION CENTER,PA,67,125,53.60
235543,LINCOLN HAVEN NURSING AND REHABILITATION COMMUNITY,MI,15,28,53.57
555583,MACLAY HEALTHCARE CENTER,CA,69,129,53.49
245277,THE WATERVIEW WOODS LLC,MN,24,45,53.33
145549,BELHAVEN NURSING & REHAB CENTER,IL,89,167,53.29
265001,ATHENE NURSING AND REHABILITATION,MO,73,137,53.28
055504,"OVERLAND TERRACE HEALTHCARE & WELLNESS CENTRE, LP",CA,41,77,53.25
055136,BERKLEY WEST HEALTHCARE CENTER,CA,33,62,53.23
395666,SPRING HILL REHABILITATION AND NURSING CENTER,PA,34,64,53.13
235473,MEDILODGE OF SHORELINE,MI,53,100,53.00
145897,LEBANON CARE CENTER,IL,27,51,52.94
395434,WECARE AT MT LEBANON REHABILITATION AND NRSG CTR,PA,45,85,52.94
365717,CONVALARIUM AT INDIAN RUN,OH,41,78,52.56
555786,OCEAN PARK HEALTHCARE,CA,21,40,52.50
345532,LIBERTY COMMONS NSG AND REHAB CTR OF LEE COUNTY,NC,32,61,52.46
285054,THE BANYAN AT MONTCLAIR,NE,67,128,52.34
055111,FOUNTAIN VIEW SUBACUTE AND NURSING CENTER,CA,46,88,52.27
245270,WHITEWATER HEALTH SERVICES,MN,12,23,52.17
165399,REGENCY CARE CENTER,IA,38,73,52.05
235555,CANTERBURY ON THE LAKE,MI,51,98,52.04
145928,ARCADIA CARE JACKSONVILLE,IL,39,75,52.00
676241,GREENHILL VILLAS,TX,39,75,52.00
37E204,RAINBOW TERRACE CARE CENTER,OK,14,27,51.85
385271,"PEARL AT KRUSE WAY, THE",OR,14,27,51.85
395564,OAK RIDGE REHABILITATION & HEALTHCARE CENTER,PA,57,110,51.82
345420,ALAMANCE HEALTH CARE CENTER,NC,77,149,51.68
505246,PULLMAN CARE,WA,16,31,51.61
396115,WYNDMOOR HILLS REHABILITATION AND NURSING CENTER,PA,32,62,51.61
175499,THE VILLAGE AT MISSION,KS,18,35,51.43
365118,GERIATRIC CENTER OF MANSFIELD,OH,21,41,51.22
385148,ROYALE GARDENS HEALTH & REHABILITATION CENTER,OR,45,88,51.14
145656,BRIA OF GODFREY,IL,23,45,51.11
555794,SHERWOOD OAKS POST ACUTE,CA,46,90,51.11
235536,PINNACLE CARE OF BATTLE CREEK,MI,23,45,51.11
265437,AVALON VIEW HEALTH AND WELLNESS,MO,48,94,51.06
395929,RIDGEVIEW HEALTHCARE & REHAB CENTER,PA,52,102,50.98
395846,KADIMA REHABILITATION & NURSING AT CAMPBELLTOWN,PA,26,51,50.98
395732,HERITAGE CARE CENTER,PA,52,102,50.98
315521,ATLAS POST ACUTE AT WOODBURY COUNTRY CLUB,NJ,55,108,50.93
145427,BRIA OF ALTON,IL,34,67,50.75
366400,BEAVERCREEK HEALTH AND REHAB,OH,36,71,50.70
345357,PRUITTHEALTH-NEUSE,NC,40,79,50.63
155657,HARRISON HEALTHCARE CENTER,IN,41,81,50.62
205120,WATERVILLE CENTER FOR HEALTH AND REHAB,ME,49,97,50.52
056056,BRIER OAK ON SUNSET,CA,65,129,50.39
345092,WILLOW VALLEY CENTER FOR NURSING AND REHAB,NC,110,219,50.23
555700,BEVERLY HILLS REHABILITATION CENTRE,CA,73,146,50.00
16F001,DAVIS CENTER,IA,11,22,50.00
165390,STATE CENTER SPECIALTY CARE,IA,19,38,50.00
065267,WINDING TRAILS POST ACUTE,CO,35,70,50.00
235322,OAKRIDGE MANOR NURSING & REHAB CENTER LLC,MI,20,40,50.00
146086,TUSCOLA HEALTH CARE CENTER,IL,19,38,50.00
145613,BRIA OF CAHOKIA,IL,52,104,50.00
065400,LAKEWOOD POST ACUTE AND REHABILITATION,CO,19,38,50.00
235333,"REGENCY, A VILLA CENTER",MI,95,190,50.00
155733,COLONIAL NURSING HOME,IN,16,32,50.00
265719,AMBERWOOD ESTATES NURSING AND REHABILITATION,MO,47,94,50.00
676436,THRIVE REHABILITATION OF PEARLAND,TX,13,26,50.00
345302,VERO HEALTH & REHAB OF SYLVA,NC,43,86,50.00
265846,ABUNDANT ACRES CARE AND REHAB,MO,23,46,50.00
145758,APERION CARE GLENWOOD,IL,59,119,49.58
495391,GLENBURNIE REHAB & NURSING CENTER,VA,57,115,49.57
145828,KENWOOD VLGE NRSG AND RHB CTR,IL,53,107,49.53
055146,NORTH VALLEY NURSING CENTER,CA,42,85,49.41
375159,THE SPRINGS SKILLED NURSING AND THERAPY,OK,40,81,49.38
145387,ST ANTHONY'S NSG & REHAB CTR,IL,39,79,49.37
056487,RIO HONDO SUBACUTE &  NURSING CENTER,CA,78,158,49.37
165441,SUNNY VIEW CARE CENTER,IA,37,75,49.33
145650,BRIA OF PALOS HILLS,IL,71,145,48.97
505395,STAFHOLT HEALTH AND REHABILITATION OF CASCADIA,WA,23,47,48.94
395295,WECARE AT MURRYSVILLE REHAB AND NURSING CENTER,PA,46,94,48.94
055192,PROVIDENCE ST ELIZABETH CARE CENTER,CA,22,45,48.89
365529,GARDEN PARK HEALTH CARE CENTER,OH,22,45,48.89
235290,MISSION POINT NSG & PHY REHAB CTR OF GREENVILLE,MI,40,82,48.78
676334,CHELSEA GARDENS,TX,17,35,48.57
165309,SHELL ROCK SENIOR LIVING,IA,17,35,48.57
345126,MOUNT OLIVE CENTER,NC,65,134,48.51
495362,ASHLAND NURSING AND REHABILITATION,VA,62,128,48.44
056294,SAN JOAQUIN NURSING CENTER AND REHABILITATION CENT,CA,46,95,48.42
235535,RIVERSIDE NURSING CENTRE,MI,15,31,48.39
555738,WINDSOR TERRACE HEALTH CARE,CA,59,122,48.36
365275,PARK VISTA NURSING & REHAB BY MCARE HEALTH,OH,44,91,48.35
165104,HARMONY DUBUQUE,IA,28,58,48.28
525488,MEADOWBROOK AT BLACK RIVER FALLS,WI,14,29,48.28
055755,SHARON CARE CENTER,CA,39,81,48.15
676357,THE BROADMOOR AT CREEKSIDE PARK,TX,50,104,48.08
525325,BRADLEY ESTATES NURSING AND REHAB LLC,WI,74,154,48.05
265236,MARK TWAIN NURSING,MO,36,75,48.00
375582,PARK PLACE HEALTHCARE AND REHAB,OK,24,50,48.00
365309,ARC AT TROTWOOD LLC,OH,34,71,47.89
375568,MAPLEWOOD CARE CENTER,OK,53,111,47.75
366475,SMITHS MILL HEALTH CAMPUS,OH,21,44,47.73
555791,THE GARDENS HEALTHCARE CENTER,CA,21,44,47.73
055656,RIVERSIDE POINT HEALTHCARE & WELLNESS CENTRE,CA,41,86,47.67
555333,LINCOLN MEADOWS CARE CENTER,CA,40,84,47.62
366391,ASTORIA SKILLED NURSING AND REHABILITATION,OH,30,63,47.62
