PROVIDER_NAME,STATE,MONTH,TOTAL_NURSE_HOURS,TOTAL_PATIENT_DAYS,NURSE_HOURS_TO_PATIENT_RATIO
ANDALUSIA MANOR,AL,1970-08,466.5,96,4.86
"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,1970-08,676.76,140,4.83
SOUTHERN SPRINGS HEALTHCARE FACILITY,AL,1970-08,464.75,97,4.79
FOLSOM REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,451.75,95,4.76
CULLMAN HEALTH CARE CENTER,AL,1970-08,388.78,82,4.74
ARABELLA HEALTH AND WELLNESS OF MONTGOMERY,AL,1970-08,416.5,88,4.73
"TALLADEGA HEALTHCARE CENTER, INC",AL,1970-08,1027.73,219,4.69
"BURNS NURSING HOME, INC.",AL,1970-08,240.75,52,4.63
"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,1970-08,253.33,55,4.61
"GEORGIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,364.49,79,4.61
"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,633.37,138,4.59
KNOLLWOOD HEALTHCARE,AL,1970-08,237.64,52,4.57
"GLEN HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,802.86,176,4.56
"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,1970-08,500.83,110,4.55
WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,AL,1970-08,76.94,17,4.53
LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,AL,1970-08,194.39,43,4.52
ADAMS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,252.25,56,4.5
EVERGREEN NURSING HOME,AL,1970-08,237.75,53,4.49
"SOUTH HEALTH AND REHABILITATION, LLC",AL,1970-08,325.87,73,4.46
OAKS ON PARKWOOD SKILLED NURSING FACILITY,AL,1970-08,515.75,116,4.45
"CAREGIVERS OF PLEASANT GROVE, INC",AL,1970-08,208.92,47,4.45
COOSA VALLEY HEALTHCARE CENTER,AL,1970-08,356,80,4.45
"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,385.98,87,4.44
GALLERIA WOODS SKILLED NURSING FACILITY,AL,1970-08,128.37,29,4.43
HENRY COUNTY HEALTH AND REHABILITATION FACILITY,AL,1970-08,368,83,4.43
JOHN KNOX MANOR INC  I I,AL,1970-08,278.75,63,4.42
WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,AL,1970-08,30.89,7,4.41
"LUVERNE HEALTH AND REHABILITATION, LLC",AL,1970-08,619.36,142,4.36
CROWNE HEALTH CARE OF THOMASVILLE,AL,1970-08,338.25,78,4.34
KENSINGTON HEALTH AND REHABILITATION,AL,1970-08,503.5,116,4.34
WESLEY PLACE ON HONEYSUCKLE,AL,1970-08,660.25,154,4.29
CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,AL,1970-08,732.1,171,4.28
"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,1970-08,409.77,96,4.27
ALICEVILLE MANOR NURSING HOME,AL,1970-08,388.75,92,4.23
"CHAPMAN HEALTHCARE CENTER, INC",AL,1970-08,599.5,142,4.22
BROOKSHIRE HEALTHCARE CENTER,AL,1970-08,498.5,119,4.19
"NHC HEALTHCARE, MOULTON",AL,1970-08,463.85,111,4.18
"OPP HEALTH AND REHABILITATION, LLC",AL,1970-08,649.95,156,4.17
FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,AL,1970-08,187.09,45,4.16
"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,1970-08,304.71,74,4.12
ALTOONA  HEALTH & REHAB,AL,1970-08,197.33,48,4.11
CUMBERLAND HEALTH AND REHAB,AL,1970-08,349.69,85,4.11
FAIR HAVEN,AL,1970-08,942.75,230,4.1
MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,1970-08,732,179,4.09
ST MARTIN'S IN THE PINES,AL,1970-08,290.45,71,4.09
DIVERSICARE OF ARAB,AL,1970-08,337.01,83,4.06
"RIDGEVIEW HEALTH SERVICES, INC",AL,1970-08,562.63,139,4.05
SHADESCREST HEALTH CARE CENTER,AL,1970-08,391.65,97,4.04
ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,AL,1970-08,431.99,107,4.04
EAST GLEN,AL,1970-08,391.5,97,4.04
FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,329.25,82,4.02
CROWNE HEALTH CARE OF CITRONELLE,AL,1970-08,264.75,66,4.01
"CORDOVA HEALTH AND REHABILITATION, LLC",AL,1970-08,428.13,107,4
AZALEA HEALTH AND REHAB LLC,AL,1970-08,278.57,70,3.98
"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,1970-08,445.59,112,3.98
BROOKDALE UNIVERSITY PARK SNF (AL),AL,1970-08,254,64,3.97
"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,1970-08,382.89,97,3.95
"GULF COAST HEALTH AND REHABILITATION, LLC",AL,1970-08,362.38,92,3.94
WEST GATE VILLAGE,AL,1970-08,385.5,98,3.93
JACKSON HEALTH CARE FACILITY,AL,1970-08,338.33,86,3.93
SPRINGHILL SENIOR RESIDENCE,AL,1970-08,298.07,76,3.92
WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,AL,1970-08,476,122,3.9
ATMORE NURSING CENTER,AL,1970-08,303,78,3.88
MCGUFFEY HEALTH & REHABILITATION CENTER,AL,1970-08,659.5,170,3.88
SOUTH HAMPTON NURSING & REHABILITATION CENTER,AL,1970-08,301.5,78,3.87
CANTERBURY HEALTH CARE FACILITY,AL,1970-08,509.75,132,3.86
ROBERTSDALE REHABILITATION & HEALTHCARE CTR,AL,1970-08,478.98,124,3.86
SHELBY RIDGE NURSING HOME,AL,1970-08,502.07,130,3.86
CROWNE HEALTH CARE OF SPRINGHILL,AL,1970-08,165.17,43,3.84
BARON HOUSE OF HUEYTOWN,AL,1970-08,118.27,31,3.82
DECATUR HEALTH & REHAB CENTER,AL,1970-08,369.25,97,3.81
"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,1970-08,565.51,149,3.8
HILLVIEW TERRACE,AL,1970-08,492.48,130,3.79
WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,1970-08,238.75,63,3.79
SOUTHLAND NURSING HOME,AL,1970-08,211,56,3.77
"SUMTER HEALTH AND REHABILITATION, L L C",AL,1970-08,371.82,99,3.76
MARSHALL MANOR NURSING HOME,AL,1970-08,320,85,3.76
"PALM GARDENS HEALTH AND REHABILITATION, LLC",AL,1970-08,332.42,89,3.74
REGENCY HEALTH CARE AND REHABILITATION CENTER,AL,1970-08,299.49,80,3.74
MADISON MANOR NURSING HOME,AL,1970-08,261.5,70,3.74
"RIDGEWOOD HEALTH SERVICES, INC.",AL,1970-08,232.13,62,3.74
ENGLEWOOD HEALTH CARE CENTER,AL,1970-08,268,72,3.72
MONROE MANOR HEALTH & REHABILITATION CENTER,AL,1970-08,259.53,70,3.71
OAKVIEW MANOR HEALTH CARE CENTER,AL,1970-08,401.5,109,3.68
CROWNE HEALTHCARE OF NORTH BALDWIN,AL,1970-08,255.5,70,3.65
MERRY WOOD LODGE,AL,1970-08,364.29,100,3.64
"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,486.5,134,3.63
"NHC HEALTHCARE, ANNISTON",AL,1970-08,457.25,126,3.63
CHARLTON PLACE REHAB AND HEALTHCARE CENTER,AL,1970-08,217.48,60,3.62
ARABELLA HEALTH AND WELLNESS OF FAIRHOPE,AL,1970-08,260.14,72,3.61
CLEBURNE COUNTY NURSING HOME,AL,1970-08,260.18,72,3.61
CLOVERDALE REHABILITATION AND NURSING CENTER,AL,1970-08,464.25,129,3.6
DADEVILLE HEALTHCARE CENTER,AL,1970-08,359.5,100,3.6
COLLINSVILLE HEALTHCARE & REHAB,AL,1970-08,581.18,162,3.59
DIVERSICARE OF FOLEY,AL,1970-08,450.47,126,3.58
DIVERSICARE OF OXFORD,AL,1970-08,436.28,122,3.58
EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,1970-08,260.05,73,3.56
PARKWOOD HEALTH CARE FACILITY,AL,1970-08,248.5,70,3.55
"PARK MANOR HEALTH AND REHABILITATION, LLC",AL,1970-08,503.03,142,3.54
DIVERSICARE OF BESSEMER,AL,1970-08,476.3,135,3.53
"COLUMBIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,204.71,58,3.53
SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,1970-08,327.62,93,3.52
"OZARK HEALTH AND REHABILITATION, LLC",AL,1970-08,495.81,141,3.52
"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",AL,1970-08,439.05,125,3.51
HARTFORD HEALTH CARE,AL,1970-08,269.16,77,3.5
"MOUNDVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,227.74,65,3.5
"SUMMERFORD HEALTH AND REHAB, LLC",AL,1970-08,511.75,148,3.46
"HANCEVILLE NURSING & REHAB CENTER, INC",AL,1970-08,629.25,183,3.44
EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,1970-08,340.25,99,3.44
NORTH MOBILE NURSING AND REHABILITATION CTR,AL,1970-08,493.68,144,3.43
CAPITOL HILL HEALTHCARE CENTER,AL,1970-08,721.25,211,3.42
"JACKSONVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,475.46,139,3.42
ANNISTON HEALTH AND REHAB SERVICES,AL,1970-08,269.75,79,3.41
RIDGEWAY REHABILITATION & SENIOR LIVING,AL,1970-08,187.58,55,3.41
HALEYVILLE HEALTH CARE CENTER,AL,1970-08,187.75,55,3.41
"CROSSVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,467.16,137,3.41
WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,AL,1970-08,537.5,158,3.4
BIBB MEDICAL CENTER NURSING HOME,AL,1970-08,384.75,113,3.4
ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,AL,1970-08,262.85,78,3.37
FOREST MANOR HEALTH AND REHAB,AL,1970-08,536.75,160,3.35
TLC NURSING CENTER,AL,1970-08,294.25,88,3.34
MOBILE NURSING AND REHABILITATION CENTER,AL,1970-08,297.68,89,3.34
MAGNOLIA RIDGE,AL,1970-08,457.44,137,3.34
CROWNE HEALTH CARE OF EUFAULA,AL,1970-08,506.75,152,3.33
HATLEY HEALTH CARE INC,AL,1970-08,288.13,87,3.31
HEALTH CARE INC,AL,1970-08,162,49,3.31
EAMC LANIER NURSING HOME,AL,1970-08,230.84,70,3.3
"VALLEY VIEW HEALTH AND REHABILITATION, LLC",AL,1970-08,422.44,128,3.3
PARK PLACE,AL,1970-08,322.7,98,3.29
DIVERSICARE OF LANETT,AL,1970-08,269.47,82,3.29
GREENE COUNTY NURSING HOME,AL,1970-08,118.5,36,3.29
EL REPOSO NURSING FACILITY,AL,1970-08,192.5,59,3.26
LYNWOOD REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,367.75,114,3.23
CYPRESS COVE CARE CENTER,AL,1970-08,270.97,84,3.23
DIVERSICARE OF RIVERCHASE,AL,1970-08,386.44,120,3.22
MARION REGIONAL NURSING HOME,AL,1970-08,196.25,61,3.22
HERITAGE HEALTH CARE & REHAB INC,AL,1970-08,471.75,147,3.21
KELLER LANDING,AL,1970-08,253.58,79,3.21
PLANTATION MANOR NURSING HOME,AL,1970-08,305.15,96,3.18
WINDSOR HOUSE,AL,1970-08,292.02,92,3.17
DIVERSICARE OF WINFIELD,AL,1970-08,321.68,102,3.15
CHERRY HILL REHABILITATION & HEALTHCARE CENTER,AL,1970-08,338.63,108,3.14
BIRMINGHAM NURSING AND REHABILITATION CTR LLC,AL,1970-08,339.02,109,3.11
CROWNE HEALTH CARE OF FT PAYNE,AL,1970-08,342.57,110,3.11
CLAY COUNTY NURSING HOME,AL,1970-08,229.25,74,3.1
THE HEALTHCARE CENTER AT BUCK CREEK,AL,1970-08,523.64,169,3.1
SYLACAUGA HEALTH AND REHAB SERVICES,AL,1970-08,392,127,3.09
COOSA VALLEY HEALTH AND REHAB,AL,1970-08,227.87,74,3.08
ROANOKE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,184.22,60,3.07
DIVERSICARE OF ONEONTA,AL,1970-08,328.34,107,3.07
BROWN NURSING HOME,AL,1970-08,202.83,66,3.07
ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,1970-08,137.59,45,3.06
GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT,AL,1970-08,265,87,3.05
BARFIELD HEALTH CARE,AL,1970-08,323.32,107,3.02
NORTHSIDE HEALTH CARE,AL,1970-08,286.75,96,2.99
WOODHAVEN MANOR NURSING HOME,AL,1970-08,205.42,69,2.98
TRAYLOR RETIREMENT COMMUNITY,AL,1970-08,217.22,73,2.98
"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,276.05,93,2.97
ARBOR LAKE HEALTH AND REHAB,AL,1970-08,212.84,72,2.96
ORCHARD REHABILITATION & HEALTHCARE CENTER,AL,1970-08,142.02,48,2.96
LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,179.83,61,2.95
CAVALIER HEALTHCARE OF TRUSSVILLE,AL,1970-08,297,101,2.94
TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,349.58,119,2.94
OAK CREST HEALTH & WELLNESS,AL,1970-08,168.14,58,2.9
AHC MILLENIUM,AL,1970-08,228.03,79,2.89
HENDRIX HEALTH AND REHABILITATION,AL,1970-08,289.92,101,2.87
CHOCTAW HEALTH AND REHAB,AL,1970-08,200.3,70,2.86
ARABELLA HEALTH AND WELLNESS OF SELMA,AL,1970-08,377.82,132,2.86
FAIRHOPE HEALTH & REHAB,AL,1970-08,234,82,2.85
"GENERATIONS OF RED BAY, LLC",AL,1970-08,168,59,2.85
DIVERSICARE OF MARION,AL,1970-08,179.79,63,2.85
LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,AL,1970-08,363.74,128,2.84
MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,1970-08,233.25,82,2.84
ELITE NURSING AND REHABILITATION CARE CENTER,AL,1970-08,362.7,128,2.83
MEADOWVIEW NURSING CENTER,AL,1970-08,166,59,2.81
ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,1970-08,253.03,90,2.81
MONTGOMERY CHILDREN'S SPECIALTY CENTER,AL,1970-08,126,45,2.8
GLENWOOD CENTER,AL,1970-08,314.1,113,2.78
ATTALLA HEALTH AND REHAB,AL,1970-08,298.81,108,2.77
"GRAND BAY CONVALESCENT HOME, INC.",AL,1970-08,200.63,73,2.75
RIVER CITY CENTER,AL,1970-08,410.61,150,2.74
CAMDEN NURSING FACILITY INC.,AL,1970-08,149.45,55,2.72
DIVERSICARE OF BOAZ,AL,1970-08,252.9,93,2.72
VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,AL,1970-08,338.75,125,2.71
ARABELLA HEALTH & WELLNESS OF BIRMINGHAM,AL,1970-08,196.3,73,2.69
DIVERSICARE OF MONTGOMERY,AL,1970-08,304.52,114,2.67
DIVERSICARE OF PELL CITY,AL,1970-08,174.7,66,2.65
ARABELLA HEALTH & WELLNESS OF PHENIX CITY,AL,1970-08,224.31,85,2.64
FLORALA HEALTH AND REHABILITATION LLC,AL,1970-08,209.73,80,2.62
ALLEN HEALTH AND REHABILITATION,AL,1970-08,190.5,73,2.61
"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,1970-08,244.13,94,2.6
"FLORENCE NURSING AND REHABILITATION CTR,  LLC",AL,1970-08,349.78,137,2.55
DIVERSICARE OF BIG SPRINGS,AL,1970-08,302.12,120,2.52
"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,233.09,93,2.51
DIVERSICARE OF GREENSBORO,AL,1970-08,197.12,79,2.5
COTTAGE OF THE SHOALS,AL,1970-08,214.49,90,2.38
BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,1970-08,198.77,101,1.97
LAFAYETTE NURSING HOME,AL,1970-08,48.9,47,1.04
THE BLOSSOMS AT ROGERS REHAB & NURSING CENTER,AR,1970-08,0,0,
COUNTRYSIDE HEALTH & REHAB OF NEWTON COUNTY,AR,1970-08,268.8,37,7.26
THE GREEN HOUSE COTTAGES OF NORTHWEST ARKANSAS,AR,1970-08,348.95,54,6.46
"MONETTE MANOR, LLC",AR,1970-08,212.56,33,6.44
"PRESBYTERIAN VILLAGE, INC",AR,1970-08,383.76,60,6.4
"CRESTPARK HELENA, LLC",AR,1970-08,219.75,36,6.1
HILLCREST HOME,AR,1970-08,536.3,92,5.83
ARKANSAS VETERANS HOME AT FAYETTEVILLE,AR,1970-08,261.75,46,5.69
RANDOLPH COUNTY NURSING HOME,AR,1970-08,674.25,123,5.48
ARKANSAS STATE VETERANS HOME AT NORTH LITTLE ROCK,AR,1970-08,435.65,80,5.45
"HICKORY HEIGHTS HEALTH AND REHAB, LLC",AR,1970-08,596.5,110,5.42
CRAIGHEAD NURSING CENTER,AR,1970-08,459.38,87,5.28
TRINITY VILLAGE MEDICAL CENTER,AR,1970-08,389.1,74,5.26
THE SPRINGS OF BRINKLEY,AR,1970-08,242.17,46,5.26
"APPLE CREEK HEALTH AND REHAB, LLC",AR,1970-08,486.25,93,5.23
THE GREEN HOUSE COTTAGES OF SOUTHERN HILLS,AR,1970-08,436.71,84,5.2
"CABOT HEALTH AND REHAB, LLC",AR,1970-08,326.5,63,5.18
RIVER RIDGE REHABILITATION AND CARE CENTER,AR,1970-08,333.52,65,5.13
THE BLOSSOMS AT EUREKA SPRINGS REHAB & NURSING CEN,AR,1970-08,380,75,5.07
HEATHER MANOR NURSING AND REHABILITATION CENTER,AR,1970-08,410.75,81,5.07
"CRESTPARK DEWITT, LLC",AR,1970-08,192.25,38,5.06
CAVE CITY NURSING HOME INC,AR,1970-08,415.17,82,5.06
EDGEWOOD HEALTH AND REHAB,AR,1970-08,391.73,78,5.02
"CRESTPARK WYNNE, LLC",AR,1970-08,185,37,5
OAK MANOR NURSING AND REHABILITATION CENTER INC,AR,1970-08,254.25,51,4.99
NORTH HILLS LIFE CARE AND REHAB,AR,1970-08,409.31,82,4.99
WOOD-LAWN HEIGHTS,AR,1970-08,488.81,98,4.99
THE LAKES AT MAUMELLE HEALTH AND REHABILITATION,AR,1970-08,238.6,48,4.97
THE SPRINGS OF CHENAL,AR,1970-08,223.27,45,4.96
THE GREEN HOUSE COTTAGES OF POPLAR GROVE,AR,1970-08,582.8,118,4.94
MONTGOMERY COUNTY NURSING HOME,AR,1970-08,315.8,64,4.93
GARDNER NURSING AND REHABILITATION,AR,1970-08,370.4,76,4.87
GOOD SAMARITAN SOCIETY - MOUNTAIN HOME,AR,1970-08,160.31,33,4.86
ARKANSAS HEALTH CENTER,AR,1970-08,754,155,4.86
GREENE ACRES NURSING HOME,AR,1970-08,415.75,86,4.83
"SILOAM HEALTHCARE, LLC",AR,1970-08,418.25,87,4.81
COVINGTON COURT HEALTH AND REHABILITATION CENTER,AR,1970-08,552.39,115,4.8
PREMIER AT THE SPRINGS,AR,1970-08,474.56,99,4.79
"HAMPTON PLACE HEALTHCARE, LLC",AR,1970-08,271.75,57,4.77
"COLONEL GLENN HEALTH AND REHAB, LLC",AR,1970-08,457,96,4.76
"BRADFORD HOUSE NURSING AND REHAB, LLC",AR,1970-08,365.75,77,4.75
"JOHNSON COUNTY HEALTH AND REHAB, LLC",AR,1970-08,508.75,108,4.71
LITTLE RIVER NURSING & REHAB,AR,1970-08,360.75,77,4.69
OAKDALE NURSING FACILITY OF JUDSONIA,AR,1970-08,406.81,87,4.68
ST ELIZABETH'S PLACE,AR,1970-08,414.54,89,4.66
"JAMESTOWN NURSING AND REHAB, LLC",AR,1970-08,456.75,98,4.66
LAKE HAMILTON HEALTH AND REHAB,AR,1970-08,385.4,83,4.64
BUTTERFIELD TRAIL VILLAGE,AR,1970-08,208.83,45,4.64
OZARK HEALTH NURSING AND REHAB  CENTER,AR,1970-08,338,73,4.63
ROBINSON NURSING AND REHABILITATION CENTER LLC,AR,1970-08,404,88,4.59
GREENBRIER NURSING AND REHABILITATION CENTER,AR,1970-08,352,77,4.57
DIERKS HEALTH AND REHAB OF DIERKS,AR,1970-08,248.92,55,4.53
WOODRUFF COUNTY HEALTH CENTER,AR,1970-08,416.92,93,4.48
"LAKEWOOD HEALTH AND REHAB, LLC",AR,1970-08,304.5,68,4.48
BROOKRIDGE COVE REHABILITATION AND CARE  CENTER,AR,1970-08,439.14,99,4.44
SOUTHRIDGE VILLAGE NURSING AND REHAB,AR,1970-08,399.25,90,4.44
THE GREEN HOUSE COTTAGES OF BELLE MEADE,AR,1970-08,558.46,126,4.43
"HIGHLANDS OF BELLA VISTA HEALTH & REHAB, LLC",AR,1970-08,299.5,68,4.4
"LONOKE HEALTH AND REHAB CENTER, LLC",AR,1970-08,321.5,73,4.4
CHAPEL WOODS HEALTH AND REHABILITATION,AR,1970-08,339.09,77,4.4
"LEGACY HEIGHTS NURSING AND REHAB, LLC",AR,1970-08,359.75,82,4.39
LAKESIDE HEALTH AND REHAB,AR,1970-08,350.58,80,4.38
THE CROSSING AT RIVERSIDE HEALTH AND REHABILITATIO,AR,1970-08,525.85,120,4.38
SILVER OAKS HEALTH AND REHABILITATION,AR,1970-08,384.35,88,4.37
LAWRENCE HALL HEALTH & REHABILITATION,AR,1970-08,401.75,92,4.37
STELLA MANOR NURSING AND REHABILITATION CENTER,AR,1970-08,327.5,75,4.37
RUSSELLVILLE NURSING AND REHABILITATION CENTER,AR,1970-08,327,75,4.36
CONWAY HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,268.97,62,4.34
EAGLECREST NURSING AND REHAB,AR,1970-08,308.35,71,4.34
THREE RIVERS HEALTH AND REHABILITATION CENTER,AR,1970-08,394.02,91,4.33
SPRINGDALE HEALTH AND REHABILITATION CENTER,AR,1970-08,424.77,98,4.33
THE SPRINGS OF HARRISON,AR,1970-08,267.8,62,4.32
THE GREEN HOUSE COTTAGES OF HOMEWOOD,AR,1970-08,382.76,89,4.3
DEWITT NURSING HOME,AR,1970-08,132.25,31,4.27
"GREYSTONE NURSING AND REHAB, LLC",AR,1970-08,298.75,70,4.27
THE SPRINGS OF GREERS FERRY,AR,1970-08,294.4,69,4.27
THE SPRINGS OF HILLCREST,AR,1970-08,340.5,80,4.26
CREEKSIDE AT THE SPRINGS,AR,1970-08,331.8,78,4.25
SPRING CREEK HEALTH & REHAB,AR,1970-08,346.85,82,4.23
CHAPEL RIDGE HEALTH AND REHAB,AR,1970-08,368,87,4.23
NIGHTINGALE AT GLENWOOD,AR,1970-08,194.4,46,4.23
THE GREEN HOUSE COTTAGES OF WENTWORTH PLACE,AR,1970-08,467.42,111,4.21
SHERIDAN HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,280.43,67,4.19
THE BLOSSOMS AT VAN BUREN REHAB AND NURSING CENTER,AR,1970-08,343.25,82,4.19
OAK RIDGE HEALTH AND REHABILITATION,AR,1970-08,296.6,71,4.18
"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",AR,1970-08,424,102,4.16
"WILLOWBEND HEALTH AND REHABILITATION, LLC",AR,1970-08,481,116,4.15
GREENHURST NURSING CENTER,AR,1970-08,406.25,98,4.15
GASSVILLE THERAPY AND LIVING,AR,1970-08,173.14,42,4.12
"SHERWOOD NURSING & REHABILITATION CENTER, INC",AR,1970-08,370,90,4.11
THE SPRINGS OF PINE BLUFF,AR,1970-08,311.2,76,4.09
EVERGREEN LIVING CENTER AT STAGECOACH,AR,1970-08,387.23,95,4.08
"BELVEDERE NURSING AND REHABILITATION CENTER, LLC",AR,1970-08,468,115,4.07
"THE WOODS, A NIGHTINGALE COMMUNITY",AR,1970-08,275.75,68,4.06
"DARDANELLE NURSING AND REHABILITATION CENTER,INC",AR,1970-08,357.25,88,4.06
PINK BUD HOME FOR THE GOLDEN YEARS,AR,1970-08,258.62,64,4.04
COTTAGE LANE HEALTH AND REHAB OF LITTLE ROCK,AR,1970-08,383.78,95,4.04
SUMMIT HEALTH & REHAB CENTER,AR,1970-08,201,50,4.02
"WESTWOOD HEALTH AND REHAB, INC",AR,1970-08,224.44,56,4.01
"SUPERIOR HEALTH & REHAB, LLC",AR,1970-08,441.25,110,4.01
HERITAGE LIVING CENTER,AR,1970-08,503.92,126,4
CARE MANOR NURSING AND REHAB,AR,1970-08,238.09,60,3.97
HEARTLAND REHABILITATION AND CARE CENTER,AR,1970-08,285.5,72,3.97
THE SPRINGS SEARCY,AR,1970-08,443.3,112,3.96
