PROVIDER_NAME,STATE,MONTH,TOTAL_HOURS_WORKED
ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,AL,1970-08,262.85
ATHENS HEALTH AND REHABILITATION LLC,AL,1970-08,597.55
ATMORE NURSING CENTER,AL,1970-08,303
ATTALLA HEALTH AND REHAB,AL,1970-08,298.81
AZALEA HEALTH AND REHAB LLC,AL,1970-08,278.57
BARFIELD HEALTH CARE,AL,1970-08,323.32
BARON HOUSE OF HUEYTOWN,AL,1970-08,118.27
BIBB MEDICAL CENTER NURSING HOME,AL,1970-08,384.75
BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,1970-08,198.77
BIRMINGHAM NURSING AND REHABILITATION CTR LLC,AL,1970-08,339.02
BROOKDALE UNIVERSITY PARK SNF (AL),AL,1970-08,254
BROOKSHIRE HEALTHCARE CENTER,AL,1970-08,498.5
BROWN NURSING HOME,AL,1970-08,202.83
"BURNS NURSING HOME, INC.",AL,1970-08,240.75
CAMDEN NURSING FACILITY INC.,AL,1970-08,149.45
CANTERBURY HEALTH CARE FACILITY,AL,1970-08,509.75
CAPITOL HILL HEALTHCARE CENTER,AL,1970-08,721.25
"CAREGIVERS OF PLEASANT GROVE, INC",AL,1970-08,208.92
CAVALIER HEALTHCARE OF TRUSSVILLE,AL,1970-08,297
"CHAPMAN HEALTHCARE CENTER, INC",AL,1970-08,599.5
CHARLTON PLACE REHAB AND HEALTHCARE CENTER,AL,1970-08,217.48
CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,AL,1970-08,732.1
CHERRY HILL REHABILITATION & HEALTHCARE CENTER,AL,1970-08,338.63
CHOCTAW HEALTH AND REHAB,AL,1970-08,200.3
"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,1970-08,244.13
CLAY COUNTY NURSING HOME,AL,1970-08,229.25
CLEBURNE COUNTY NURSING HOME,AL,1970-08,260.18
CLOVERDALE REHABILITATION AND NURSING CENTER,AL,1970-08,464.25
COLLINSVILLE HEALTHCARE & REHAB,AL,1970-08,581.18
"COLUMBIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,204.71
COOSA VALLEY HEALTH AND REHAB,AL,1970-08,227.87
COOSA VALLEY HEALTHCARE CENTER,AL,1970-08,356
"CORDOVA HEALTH AND REHABILITATION, LLC",AL,1970-08,428.13
COTTAGE OF THE SHOALS,AL,1970-08,214.49
"CROSSVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,467.16
CROWNE HEALTH CARE OF CITRONELLE,AL,1970-08,264.75
CROWNE HEALTH CARE OF EUFAULA,AL,1970-08,506.75
CROWNE HEALTH CARE OF FT PAYNE,AL,1970-08,342.57
CROWNE HEALTH CARE OF GREENVILLE,AL,1970-08,416.42
CROWNE HEALTH CARE OF MOBILE,AL,1970-08,679
CROWNE HEALTH CARE OF MONTGOMERY,AL,1970-08,748.5
CROWNE HEALTH CARE OF SPRINGHILL,AL,1970-08,165.17
CROWNE HEALTH CARE OF THOMASVILLE,AL,1970-08,338.25
CROWNE HEALTHCARE OF NORTH BALDWIN,AL,1970-08,255.5
CULLMAN HEALTH CARE CENTER,AL,1970-08,388.78
CUMBERLAND HEALTH AND REHAB,AL,1970-08,349.69
CYPRESS COVE CARE CENTER,AL,1970-08,270.97
DADEVILLE HEALTHCARE CENTER,AL,1970-08,359.5
DECATUR HEALTH & REHAB CENTER,AL,1970-08,369.25
DIVERSICARE OF ARAB,AL,1970-08,337.01
DIVERSICARE OF BESSEMER,AL,1970-08,476.3
DIVERSICARE OF BIG SPRINGS,AL,1970-08,302.12
DIVERSICARE OF BOAZ,AL,1970-08,252.9
DIVERSICARE OF FOLEY,AL,1970-08,450.47
DIVERSICARE OF GREENSBORO,AL,1970-08,197.12
DIVERSICARE OF LANETT,AL,1970-08,269.47
DIVERSICARE OF MARION,AL,1970-08,179.79
DIVERSICARE OF MONTGOMERY,AL,1970-08,304.52
DIVERSICARE OF ONEONTA,AL,1970-08,328.34
DIVERSICARE OF OXFORD,AL,1970-08,436.28
DIVERSICARE OF PELL CITY,AL,1970-08,174.7
DIVERSICARE OF RIVERCHASE,AL,1970-08,386.44
DIVERSICARE OF WINFIELD,AL,1970-08,321.68
EAMC LANIER NURSING HOME,AL,1970-08,230.84
EAST GLEN,AL,1970-08,391.5
EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,1970-08,340.25
EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,1970-08,260.05
EL REPOSO NURSING FACILITY,AL,1970-08,192.5
"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,385.98
ELITE NURSING AND REHABILITATION CARE CENTER,AL,1970-08,362.7
ENGLEWOOD HEALTH CARE CENTER,AL,1970-08,268
ENTERPRISE HEALTH & REHABILITATION CENTER,AL,1970-08,758.7
EVERGREEN NURSING HOME,AL,1970-08,237.75
EXTENDICARE HEALTH CENTER,AL,1970-08,876.25
FAIR HAVEN,AL,1970-08,942.75
FAIRHOPE HEALTH & REHAB,AL,1970-08,234
FAIRVIEW AT REDSTONE VILLAGE,AL,1970-08,272.57
FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,329.25
FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,AL,1970-08,187.09
FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,1970-08,459.5
FLORALA HEALTH AND REHABILITATION LLC,AL,1970-08,209.73
"FLORENCE NURSING AND REHABILITATION CTR,  LLC",AL,1970-08,349.78
FOLSOM REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,451.75
FOREST MANOR HEALTH AND REHAB,AL,1970-08,536.75
GADSDEN HEALTH AND REHAB CENTER,AL,1970-08,667.75
GALLERIA WOODS SKILLED NURSING FACILITY,AL,1970-08,128.37
"GENERATIONS OF RED BAY, LLC",AL,1970-08,168
"GEORGIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,364.49
"GLEN HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,802.86
GLENWOOD CENTER,AL,1970-08,314.1
GOODWATER HEALTHCARE CENTER,AL,1970-08,292.75
"GRAND BAY CONVALESCENT HOME, INC.",AL,1970-08,200.63
GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT,AL,1970-08,265
GREENE COUNTY NURSING HOME,AL,1970-08,118.5
"GULF COAST HEALTH AND REHABILITATION, LLC",AL,1970-08,362.38
HALEYVILLE HEALTH CARE CENTER,AL,1970-08,187.75
"HANCEVILLE NURSING & REHAB CENTER, INC",AL,1970-08,629.25
HARTFORD HEALTH CARE,AL,1970-08,269.16
HATLEY HEALTH CARE INC,AL,1970-08,288.13
HEALTH CARE INC,AL,1970-08,162
HENDRIX HEALTH AND REHABILITATION,AL,1970-08,289.92
HENRY COUNTY HEALTH AND REHABILITATION FACILITY,AL,1970-08,368
HERITAGE HEALTH CARE & REHAB INC,AL,1970-08,471.75
HIGHLANDS HEALTH AND REHAB,AL,1970-08,266.06
HILLVIEW TERRACE,AL,1970-08,492.48
"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,1970-08,304.71
"HUNTSVILLE HEALTH & REHABILITATION, LLC",AL,1970-08,515.64
JACKSON HEALTH CARE FACILITY,AL,1970-08,338.33
"JACKSONVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,475.46
JOHN KNOX MANOR INC  I I,AL,1970-08,278.75
KELLER LANDING,AL,1970-08,253.58
KENSINGTON HEALTH AND REHABILITATION,AL,1970-08,503.5
KIRKWOOD BY THE RIVER,AL,1970-08,282.61
KNOLLWOOD HEALTHCARE,AL,1970-08,237.64
LAFAYETTE EXTENDED CARE,AL,1970-08,278.5
LAFAYETTE NURSING HOME,AL,1970-08,48.9
LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,AL,1970-08,363.74
LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,179.83
"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,486.5
"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,233.09
LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,AL,1970-08,194.39
"LUVERNE HEALTH AND REHABILITATION, LLC",AL,1970-08,619.36
LYNWOOD REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,367.75
MADISON MANOR NURSING HOME,AL,1970-08,261.5
MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,1970-08,233.25
MAGNOLIA RIDGE,AL,1970-08,457.44
MARENGO NURSING HOME,AL,1970-08,341.5
MARION REGIONAL NURSING HOME,AL,1970-08,196.25
MARSHALL MANOR NURSING HOME,AL,1970-08,320
MCGUFFEY HEALTH & REHABILITATION CENTER,AL,1970-08,659.5
MEADOWVIEW NURSING CENTER,AL,1970-08,166
MERRY WOOD LODGE,AL,1970-08,364.29
MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,1970-08,732
MOBILE NURSING AND REHABILITATION CENTER,AL,1970-08,297.68
MONROE MANOR HEALTH & REHABILITATION CENTER,AL,1970-08,259.53
MONTGOMERY CHILDREN'S SPECIALTY CENTER,AL,1970-08,126
"MOUNDVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,227.74
"NHC HEALTHCARE, ANNISTON",AL,1970-08,457.25
"NHC HEALTHCARE, MOULTON",AL,1970-08,463.85
"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,1970-08,565.51
NORTH MOBILE NURSING AND REHABILITATION CTR,AL,1970-08,493.68
NORTHSIDE HEALTH CARE,AL,1970-08,286.75
"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,1970-08,445.59
OAK CREST HEALTH & WELLNESS,AL,1970-08,168.14
"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,1970-08,409.77
OAKS ON PARKWOOD SKILLED NURSING FACILITY,AL,1970-08,515.75
OAKVIEW MANOR HEALTH CARE CENTER,AL,1970-08,401.5
"OPP HEALTH AND REHABILITATION, LLC",AL,1970-08,649.95
ORCHARD REHABILITATION & HEALTHCARE CENTER,AL,1970-08,142.02
"OZARK HEALTH AND REHABILITATION, LLC",AL,1970-08,495.81
"PALM GARDENS HEALTH AND REHABILITATION, LLC",AL,1970-08,332.42
"PARK MANOR HEALTH AND REHABILITATION, LLC",AL,1970-08,503.03
PARK PLACE,AL,1970-08,322.7
PARKWOOD HEALTH CARE FACILITY,AL,1970-08,248.5
PIEDMONT HEALTH CARE CENTER,AL,1970-08,422.22
PLANTATION MANOR NURSING HOME,AL,1970-08,305.15
"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,633.37
REGENCY HEALTH CARE AND REHABILITATION CENTER,AL,1970-08,299.49
"RIDGEVIEW HEALTH SERVICES, INC",AL,1970-08,562.63
RIDGEWAY REHABILITATION & SENIOR LIVING,AL,1970-08,187.58
"RIDGEWOOD HEALTH SERVICES, INC.",AL,1970-08,232.13
RIVER CITY CENTER,AL,1970-08,410.61
ROANOKE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,184.22
ROBERTSDALE REHABILITATION & HEALTHCARE CTR,AL,1970-08,478.98
SELF SKILLED NURSING & REHAB,AL,1970-08,398.35
SHADESCREST HEALTH CARE CENTER,AL,1970-08,391.65
SHELBY RIDGE NURSING HOME,AL,1970-08,502.07
SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,1970-08,327.62
SOUTH HAMPTON NURSING & REHABILITATION CENTER,AL,1970-08,301.5
"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,276.05
"SOUTH HEALTH AND REHABILITATION, LLC",AL,1970-08,325.87
SOUTHERN SPRINGS HEALTHCARE FACILITY,AL,1970-08,464.75
SOUTHLAND NURSING HOME,AL,1970-08,211
SPRINGHILL SENIOR RESIDENCE,AL,1970-08,298.07
ST MARTIN'S IN THE PINES,AL,1970-08,290.45
"SUMMERFORD HEALTH AND REHAB, LLC",AL,1970-08,511.75
"SUMTER HEALTH AND REHABILITATION, L L C",AL,1970-08,371.82
SUNSET MANOR,AL,1970-08,302.96
SYLACAUGA HEALTH AND REHAB SERVICES,AL,1970-08,392
"TALLADEGA HEALTHCARE CENTER, INC",AL,1970-08,1027.73
"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,1970-08,382.89
"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,1970-08,253.33
THE HEALTHCARE CENTER AT BUCK CREEK,AL,1970-08,523.64
TLC NURSING CENTER,AL,1970-08,294.25
TRAYLOR RETIREMENT COMMUNITY,AL,1970-08,217.22
TROY HEALTH & REHABILITATION CENTER,AL,1970-08,554.5
TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,349.58
"VALLEY VIEW HEALTH AND REHABILITATION, LLC",AL,1970-08,422.44
VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,AL,1970-08,338.75
"WALKER REHABILITATION CENTER, INC",AL,1970-08,197.17
WASHINGTON COUNTY NURSING HOME,AL,1970-08,376.25
WESLEY PLACE ON HONEYSUCKLE,AL,1970-08,660.25
WEST GATE VILLAGE,AL,1970-08,385.5
WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,AL,1970-08,537.5
"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,1970-08,500.83
WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,AL,1970-08,76.94
WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,AL,1970-08,30.89
WINDSOR HOUSE,AL,1970-08,292.02
WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,1970-08,238.75
WOODHAVEN MANOR NURSING HOME,AL,1970-08,205.42
WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,AL,1970-08,476
ALCOA PINES HEALTH AND REHABILITATION,AR,1970-08,271.82
ALMA NURSING AND REHAB,AR,1970-08,213
AMBERWOOD HEALTH AND REHABILITATION,AR,1970-08,349.18
"APPLE CREEK HEALTH AND REHAB, LLC",AR,1970-08,486.25
ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,195.75
ARKANSAS HEALTH CENTER,AR,1970-08,754
ARKANSAS STATE VETERANS HOME AT NORTH LITTLE ROCK,AR,1970-08,435.65
ARKANSAS VETERANS HOME AT FAYETTEVILLE,AR,1970-08,261.75
ASH FLAT HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,233.25
ASHLEY REHABILITATION AND HEALTH CARE CENTER,AR,1970-08,41.15
"ASHTON PLACE HEALTH AND REHAB, LLC",AR,1970-08,390
ATKINS NURSING AND REHABILITATION CENTER,AR,1970-08,299.75
BAILEY CREEK HEALTH AND REHAB,AR,1970-08,242.02
BARNES HEALTHCARE,AR,1970-08,161.89
BEAR CREEK HEALTHCARE LLC,AR,1970-08,172.64
"BEEBE RETIREMENT CENTER, INC.",AR,1970-08,274.71
BELLE VIEW ESTATES REHABILITATION AND CARE CENTER,AR,1970-08,228
"BELVEDERE NURSING AND REHABILITATION CENTER, LLC",AR,1970-08,468
BENTLEY REHABILITATION AND HEALTH CENTER,AR,1970-08,206.5
"BRADFORD HOUSE NURSING AND REHAB, LLC",AR,1970-08,365.75
"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",AR,1970-08,424
BROOKRIDGE COVE REHABILITATION AND CARE  CENTER,AR,1970-08,439.14
BUTTERFIELD TRAIL VILLAGE,AR,1970-08,208.83
"CABOT HEALTH AND REHAB, LLC",AR,1970-08,326.5
CARE MANOR NURSING AND REHAB,AR,1970-08,238.09
CAVALIER HEALTHCARE OF ENGLAND,AR,1970-08,137
CAVE CITY NURSING HOME INC,AR,1970-08,415.17
CHAMBERS HEALTH AND REHABILITATION,AR,1970-08,165.14
CHAPEL RIDGE HEALTH AND REHAB,AR,1970-08,368
CHAPEL WOODS HEALTH AND REHABILITATION,AR,1970-08,339.09
"COLONEL GLENN HEALTH AND REHAB, LLC",AR,1970-08,457
"CONCORDIA NURSING & REHAB, LLC",AR,1970-08,110.25
CONWAY HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,268.97
CORNING THERAPY AND LIVING CENTER,AR,1970-08,131.07
COTTAGE LANE HEALTH AND REHAB OF LITTLE ROCK,AR,1970-08,383.78
COUNTRYSIDE HEALTH & REHAB OF NEWTON COUNTY,AR,1970-08,268.8
"COURTYARD REHABILITATION AND HEALTH CENTER, LLC",AR,1970-08,313.25
COVINGTON COURT HEALTH AND REHABILITATION CENTER,AR,1970-08,552.39
CRAIGHEAD NURSING CENTER,AR,1970-08,459.38
CREEKSIDE AT THE SPRINGS,AR,1970-08,331.8
"CRESTPARK DEWITT, LLC",AR,1970-08,192.25
"CRESTPARK FORREST CITY, LLC",AR,1970-08,181.07
"CRESTPARK HELENA, LLC",AR,1970-08,219.75
"CRESTPARK MARIANNA, L L C",AR,1970-08,202
"CRESTPARK STUTTGART, LLC",AR,1970-08,194.88
"CRESTPARK WYNNE, LLC",AR,1970-08,185
"DARDANELLE NURSING AND REHABILITATION CENTER,INC",AR,1970-08,357.25
DERMOTT CITY NURSING HOME,AR,1970-08,138.69
DES ARC NURSING AND REHABILITATION CENTER,AR,1970-08,204
DEWITT NURSING HOME,AR,1970-08,132.25
DIERKS HEALTH AND REHAB OF DIERKS,AR,1970-08,248.92
EAGLECREST NURSING AND REHAB,AR,1970-08,308.35
EDGEWOOD HEALTH AND REHAB,AR,1970-08,391.73
ENCORE HEALTHCARE AND REHABI OF MALVERN,AR,1970-08,327.68
EVERGREEN LIVING CENTER AT STAGECOACH,AR,1970-08,387.23
FAYETTEVILLE HEALTH AND REHABILITATION CENTER,AR,1970-08,338.61
GARDNER NURSING AND REHABILITATION,AR,1970-08,370.4
GASSVILLE THERAPY AND LIVING,AR,1970-08,173.14
GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE,AR,1970-08,94.06
GOOD SAMARITAN SOCIETY - MOUNTAIN HOME,AR,1970-08,160.31
GOSNELL HEALTH AND REHAB,AR,1970-08,151
GREENBRIER NURSING AND REHABILITATION CENTER,AR,1970-08,352
GREENE ACRES NURSING HOME,AR,1970-08,415.75
GREENHURST NURSING CENTER,AR,1970-08,406.25
"GREYSTONE NURSING AND REHAB, LLC",AR,1970-08,298.75
"HAMPTON PLACE HEALTHCARE, LLC",AR,1970-08,271.75
HARRIS HEALTH AND REHAB,AR,1970-08,182.69
HEARTLAND REHABILITATION AND CARE CENTER,AR,1970-08,285.5
HEATHER MANOR NURSING AND REHABILITATION CENTER,AR,1970-08,410.75
HERITAGE LIVING CENTER,AR,1970-08,503.92
HERITAGE SQUARE HEALTHCARE CENTER,AR,1970-08,258.83
"HICKORY HEIGHTS HEALTH AND REHAB, LLC",AR,1970-08,596.5
"HIGHLAND COURT, A REHABILITATION AND RESIDENT CARE",AR,1970-08,207.75
"HIGHLANDS OF BELLA VISTA HEALTH & REHAB, LLC",AR,1970-08,299.5
HILLCREST HOME,AR,1970-08,536.3
HIRAM SHADDOX HEALTH AND REHAB,AR,1970-08,192.12
HUDSON MEMORIAL NURSING HOME,AR,1970-08,213.63
INDIAN ROCK VILLAGE HEALTH CENTER,AR,1970-08,151.5
"INNISFREE HEALTH AND REHAB, LLC",AR,1970-08,289.5
"JAMESTOWN NURSING AND REHAB, LLC",AR,1970-08,456.75
"JOHNSON COUNTY HEALTH AND REHAB, LLC",AR,1970-08,508.75
KATHERINE'S PLACE AT WEDINGTON,AR,1970-08,388.04
LAKE HAMILTON HEALTH AND REHAB,AR,1970-08,385.4
LAKE VILLAGE REHABILITATION AND CARE CENTER,AR,1970-08,163.75
LAKESIDE HEALTH AND REHAB,AR,1970-08,350.58
"LAKEWOOD HEALTH AND REHAB, LLC",AR,1970-08,304.5
LAKEWOOD THERAPY AND LIVING CENTER,AR,1970-08,175.9
LAWRENCE HALL HEALTH & REHABILITATION,AR,1970-08,401.75
LEGACY HEALTH AND REHABILITATION CENTER,AR,1970-08,270.23
"LEGACY HEIGHTS NURSING AND REHAB, LLC",AR,1970-08,359.75
LITTLE RIVER NURSING & REHAB,AR,1970-08,360.75
"LONOKE HEALTH AND REHAB CENTER, LLC",AR,1970-08,321.5
MANILA HEALTHCARE CENTER,AR,1970-08,188.7
MAPLE HEALTHCARE,AR,1970-08,121.37
METHODIST HEALTH AND REHAB,AR,1970-08,482.68
"MITCHELL'S NURSING HOME, INC",AR,1970-08,254.25
"MONETTE MANOR, LLC",AR,1970-08,212.56
MONTGOMERY COUNTY NURSING HOME,AR,1970-08,315.8
MOUNTAIN MEADOWS HEALTH AND REHABILITATION,AR,1970-08,238.27
"MURFREESBORO REHAB AND NURSING, INC",AR,1970-08,118
NASHVILLE NURSING AND REHAB SERVICES OF ARKANSAS,AR,1970-08,170.36
NIGHTINGALE AT ARKADELPHIA,AR,1970-08,274
NIGHTINGALE AT CROSSETT,AR,1970-08,172.78
NIGHTINGALE AT GLENWOOD,AR,1970-08,194.4
NIGHTINGALE AT STONEGATE,AR,1970-08,204.98
NORTH HILLS LIFE CARE AND REHAB,AR,1970-08,409.31
NURSING AND REHABILITATION CENTER AT GOOD SHEPHERD,AR,1970-08,294.25
OAK MANOR NURSING AND REHABILITATION CENTER INC,AR,1970-08,254.25
OAK RIDGE HEALTH AND REHABILITATION,AR,1970-08,296.6
OAKDALE NURSING FACILITY OF JUDSONIA,AR,1970-08,406.81
OUACHITA NURSING AND REHABILITATION CENTER,AR,1970-08,303.85
OZARK HEALTH NURSING AND REHAB  CENTER,AR,1970-08,338
OZARK NURSING AND REHAB,AR,1970-08,243
PARIS HEALTH AND REHABILITATION CENTER,AR,1970-08,335.07
PERRY COUNTY NURSING AND REHABILITATION CENTER,AR,1970-08,198.75
"PIGGOTT HEALTHCARE & SENIOR LIVING, LLC",AR,1970-08,112.75
PINK BUD HOME FOR THE GOLDEN YEARS,AR,1970-08,258.62
PIONEER THERAPY AND LIVING,AR,1970-08,220.73
PLEASANT MANOR NURSING & REHAB,AR,1970-08,283.23
PLEASANT VALLEY REHABILITATION AND NURSING,AR,1970-08,275
POCAHONTAS HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,199.25
"PRAIRIE GROVE HEALTH AND REHABILITATION, LLC",AR,1970-08,230
PREMIER AT THE SPRINGS,AR,1970-08,474.56
"PRESBYTERIAN VILLAGE, INC",AR,1970-08,383.76
PROMENADE HEALTH AND REHABILITATION,AR,1970-08,330.25
QUAPAW CARE AND REHABILITATION CENTER LLC,AR,1970-08,331.75
RANDOLPH COUNTY NURSING HOME,AR,1970-08,674.25
RECTOR NURSING AND REHAB,AR,1970-08,136.23
RIDGECREST HEALTH AND REHABILITATION,AR,1970-08,430.58
RIVER RIDGE REHABILITATION AND CARE CENTER,AR,1970-08,333.52
ROBINSON NURSING AND REHABILITATION CENTER LLC,AR,1970-08,404
ROGERS HEALTH AND REHABILITATION CENTER,AR,1970-08,211.25
RUSSELLVILLE NURSING AND REHABILITATION CENTER,AR,1970-08,327
"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",AR,1970-08,332.75
SHERIDAN HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,280.43
"SHERWOOD NURSING & REHABILITATION CENTER, INC",AR,1970-08,370
"SHILOH NURSING AND REHAB, LLC",AR,1970-08,306.75
"SILOAM HEALTHCARE, LLC",AR,1970-08,418.25
SILVER OAKS HEALTH AND REHABILITATION,AR,1970-08,384.35
SOUTHERN PINES HEALTH AND REHAB OF PRESCOTT,AR,1970-08,147.27
SOUTHERN TRACE REHABILITATION AND CARE CENTER,AR,1970-08,323.27
SOUTHFORK RIVER THERAPY AND LIVING,AR,1970-08,158.72
SOUTHRIDGE VILLAGE NURSING AND REHAB,AR,1970-08,399.25
SPRING CREEK HEALTH & REHAB,AR,1970-08,346.85
SPRINGDALE HEALTH AND REHABILITATION CENTER,AR,1970-08,424.77
ST ELIZABETH'S PLACE,AR,1970-08,414.54
"ST JOHNS PLACE OF ARKANSAS, LLC",AR,1970-08,217.53
STELLA MANOR NURSING AND REHABILITATION CENTER,AR,1970-08,327.5
SUMMIT HEALTH & REHAB CENTER,AR,1970-08,201
"SUPERIOR HEALTH & REHAB, LLC",AR,1970-08,441.25
THE BLOSSOMS AT BERRYVILLE REHAB &  NURSING CENTER,AR,1970-08,221.5
THE BLOSSOMS AT CONWAY REHAB & NURSING CENTER,AR,1970-08,143.75
THE BLOSSOMS AT CUMBERLAND REHAB & NURSING CENTER,AR,1970-08,191
THE BLOSSOMS AT EUREKA SPRINGS REHAB & NURSING CEN,AR,1970-08,380
THE BLOSSOMS AT FORT SMITH REHAB & NURSING CENTER,AR,1970-08,363.25
THE BLOSSOMS AT HOT SPRINGS REHAB AND NURSING CENT,AR,1970-08,243.75
THE BLOSSOMS AT MIDTOWN REHAB & NURSING CENTER,AR,1970-08,345.25
THE BLOSSOMS AT MOUNTAIN VIEW REHAB & NURSING CEN,AR,1970-08,207
THE BLOSSOMS AT NEWPORT REHAB & NURSING CENTER,AR,1970-08,298.25
THE BLOSSOMS AT NORTH LITTLE ROCK  REHAB & NURSING,AR,1970-08,308.75
THE BLOSSOMS AT ROGERS REHAB & NURSING CENTER,AR,1970-08,0
THE BLOSSOMS AT STAMPS REHAB & NURSING CENTER,AR,1970-08,193
