PROVIDER_NAME,STATE,MONTH,NURSE_HOURS_TO_PATIENT_RATIO,OCCUPANCY_RATE_PCT
BARFIELD HEALTH CARE,AL,1970-08,3.02,94.69
BARON HOUSE OF HUEYTOWN,AL,1970-08,3.82,62.00
BIBB MEDICAL CENTER NURSING HOME,AL,1970-08,3.4,86.26
BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,1970-08,1.97,76.52
BIRMINGHAM NURSING AND REHABILITATION CTR LLC,AL,1970-08,3.11,82.58
BROOKDALE UNIVERSITY PARK SNF (AL),AL,1970-08,3.97,96.97
BROOKSHIRE HEALTHCARE CENTER,AL,1970-08,4.19,92.25
BROWN NURSING HOME,AL,1970-08,3.07,97.06
"BURNS NURSING HOME, INC.",AL,1970-08,4.63,91.23
CAMDEN NURSING FACILITY INC.,AL,1970-08,2.72,57.89
CANTERBURY HEALTH CARE FACILITY,AL,1970-08,3.86,96.35
CAPITOL HILL HEALTHCARE CENTER,AL,1970-08,3.42,74.30
"CAREGIVERS OF PLEASANT GROVE, INC",AL,1970-08,4.45,73.44
CAVALIER HEALTHCARE OF TRUSSVILLE,AL,1970-08,2.94,80.80
"CHAPMAN HEALTHCARE CENTER, INC",AL,1970-08,4.22,75.53
CHARLTON PLACE REHAB AND HEALTHCARE CENTER,AL,1970-08,3.62,92.31
CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,AL,1970-08,4.28,92.43
CHERRY HILL REHABILITATION & HEALTHCARE CENTER,AL,1970-08,3.14,92.31
CHOCTAW HEALTH AND REHAB,AL,1970-08,2.86,58.33
"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,1970-08,2.6,98.95
CLAY COUNTY NURSING HOME,AL,1970-08,3.1,89.16
CLEBURNE COUNTY NURSING HOME,AL,1970-08,3.61,87.80
CLOVERDALE REHABILITATION AND NURSING CENTER,AL,1970-08,3.6,91.49
COLLINSVILLE HEALTHCARE & REHAB,AL,1970-08,3.59,81.00
"COLUMBIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,3.53,92.06
COOSA VALLEY HEALTH AND REHAB,AL,1970-08,3.08,59.68
COOSA VALLEY HEALTHCARE CENTER,AL,1970-08,4.45,94.12
"CORDOVA HEALTH AND REHABILITATION, LLC",AL,1970-08,4,93.86
COTTAGE OF THE SHOALS,AL,1970-08,2.38,87.38
"CROSSVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,3.41,95.80
CROWNE HEALTH CARE OF CITRONELLE,AL,1970-08,4.01,95.65
CROWNE HEALTH CARE OF EUFAULA,AL,1970-08,3.33,84.44
CROWNE HEALTH CARE OF FT PAYNE,AL,1970-08,3.11,89.43
CROWNE HEALTH CARE OF GREENVILLE,AL,1970-08,5.02,70.34
CROWNE HEALTH CARE OF MOBILE,AL,1970-08,4.99,91.89
CROWNE HEALTH CARE OF MONTGOMERY,AL,1970-08,4.99,81.08
CROWNE HEALTH CARE OF SPRINGHILL,AL,1970-08,3.84,93.48
CROWNE HEALTH CARE OF THOMASVILLE,AL,1970-08,4.34,97.50
CROWNE HEALTHCARE OF NORTH BALDWIN,AL,1970-08,3.65,93.33
CULLMAN HEALTH CARE CENTER,AL,1970-08,4.74,86.32
CUMBERLAND HEALTH AND REHAB,AL,1970-08,4.11,85.00
CYPRESS COVE CARE CENTER,AL,1970-08,3.23,93.33
DADEVILLE HEALTHCARE CENTER,AL,1970-08,3.6,69.44
DECATUR HEALTH & REHAB CENTER,AL,1970-08,3.81,81.51
DIVERSICARE OF ARAB,AL,1970-08,4.06,95.40
DIVERSICARE OF BESSEMER,AL,1970-08,3.53,75.00
DIVERSICARE OF BIG SPRINGS,AL,1970-08,2.52,82.76
DIVERSICARE OF BOAZ,AL,1970-08,2.72,93.00
DIVERSICARE OF FOLEY,AL,1970-08,3.58,81.82
DIVERSICARE OF GREENSBORO,AL,1970-08,2.5,81.44
DIVERSICARE OF LANETT,AL,1970-08,3.29,96.47
DIVERSICARE OF MARION,AL,1970-08,2.85,88.73
DIVERSICARE OF MONTGOMERY,AL,1970-08,2.67,82.61
DIVERSICARE OF ONEONTA,AL,1970-08,3.07,89.17
DIVERSICARE OF OXFORD,AL,1970-08,3.58,70.52
DIVERSICARE OF PELL CITY,AL,1970-08,2.65,70.21
DIVERSICARE OF RIVERCHASE,AL,1970-08,3.22,90.91
DIVERSICARE OF WINFIELD,AL,1970-08,3.15,82.93
EAMC LANIER NURSING HOME,AL,1970-08,3.3,67.96
EAST GLEN,AL,1970-08,4.04,89.81
EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,1970-08,3.44,84.62
EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,1970-08,3.56,79.35
EL REPOSO NURSING FACILITY,AL,1970-08,3.26,98.33
"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,4.44,78.38
ELITE NURSING AND REHABILITATION CARE CENTER,AL,1970-08,2.83,89.51
ENGLEWOOD HEALTH CARE CENTER,AL,1970-08,3.72,82.76
ENTERPRISE HEALTH & REHABILITATION CENTER,AL,1970-08,4.99,59.14
EVERGREEN NURSING HOME,AL,1970-08,4.49,86.89
EXTENDICARE HEALTH CENTER,AL,1970-08,5.62,91.76
FAIR HAVEN,AL,1970-08,4.1,88.80
FAIRHOPE HEALTH & REHAB,AL,1970-08,2.85,62.60
FAIRVIEW AT REDSTONE VILLAGE,AL,1970-08,5.05,96.43
FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,4.02,70.69
FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,AL,1970-08,4.16,77.59
FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,1970-08,5.34,70.49
FLORALA HEALTH AND REHABILITATION LLC,AL,1970-08,2.62,94.12
"FLORENCE NURSING AND REHABILITATION CTR,  LLC",AL,1970-08,2.55,93.20
FOLSOM REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,4.76,93.14
FOREST MANOR HEALTH AND REHAB,AL,1970-08,3.35,87.91
GADSDEN HEALTH AND REHAB CENTER,AL,1970-08,5.66,70.24
GALLERIA WOODS SKILLED NURSING FACILITY,AL,1970-08,4.43,96.67
"GENERATIONS OF RED BAY, LLC",AL,1970-08,2.85,65.56
"GEORGIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,4.61,86.81
"GLEN HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,4.56,88.00
GLENWOOD CENTER,AL,1970-08,2.78,90.40
GOODWATER HEALTHCARE CENTER,AL,1970-08,5.05,80.56
"GRAND BAY CONVALESCENT HOME, INC.",AL,1970-08,2.75,79.35
GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT,AL,1970-08,3.05,91.58
GREENE COUNTY NURSING HOME,AL,1970-08,3.29,50.00
"GULF COAST HEALTH AND REHABILITATION, LLC",AL,1970-08,3.94,92.00
HALEYVILLE HEALTH CARE CENTER,AL,1970-08,3.41,56.70
"HANCEVILLE NURSING & REHAB CENTER, INC",AL,1970-08,3.44,87.98
HARTFORD HEALTH CARE,AL,1970-08,3.5,89.53
HATLEY HEALTH CARE INC,AL,1970-08,3.31,43.28
HEALTH CARE INC,AL,1970-08,3.31,92.45
HENDRIX HEALTH AND REHABILITATION,AL,1970-08,2.87,91.82
HENRY COUNTY HEALTH AND REHABILITATION FACILITY,AL,1970-08,4.43,58.45
HERITAGE HEALTH CARE & REHAB INC,AL,1970-08,3.21,68.06
HIGHLANDS HEALTH AND REHAB,AL,1970-08,6.65,80.00
HILLVIEW TERRACE,AL,1970-08,3.79,90.91
"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,1970-08,4.12,94.87
"HUNTSVILLE HEALTH & REHABILITATION, LLC",AL,1970-08,4.96,99.05
JACKSON HEALTH CARE FACILITY,AL,1970-08,3.93,94.51
"JACKSONVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,3.42,83.23
JOHN KNOX MANOR INC  I I,AL,1970-08,4.42,64.29
KELLER LANDING,AL,1970-08,3.21,72.48
KENSINGTON HEALTH AND REHABILITATION,AL,1970-08,4.34,96.67
KIRKWOOD BY THE RIVER,AL,1970-08,4.87,95.08
KNOLLWOOD HEALTHCARE,AL,1970-08,4.57,73.24
LAFAYETTE EXTENDED CARE,AL,1970-08,5.16,78.26
LAFAYETTE NURSING HOME,AL,1970-08,1.04,74.60
LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,AL,1970-08,2.84,67.72
LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,2.95,89.71
"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,3.63,78.82
"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,2.51,92.08
LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,AL,1970-08,4.52,57.33
"LUVERNE HEALTH AND REHABILITATION, LLC",AL,1970-08,4.36,94.04
LYNWOOD REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,3.23,89.76
MADISON MANOR NURSING HOME,AL,1970-08,3.74,87.50
MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,1970-08,2.84,73.87
MAGNOLIA RIDGE,AL,1970-08,3.34,92.57
MARENGO NURSING HOME,AL,1970-08,5.99,73.08
MARION REGIONAL NURSING HOME,AL,1970-08,3.22,77.22
MARSHALL MANOR NURSING HOME,AL,1970-08,3.76,93.41
MCGUFFEY HEALTH & REHABILITATION CENTER,AL,1970-08,3.88,81.34
MEADOWVIEW NURSING CENTER,AL,1970-08,2.81,100.00
MERRY WOOD LODGE,AL,1970-08,3.64,80.65
MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,1970-08,4.09,80.63
MOBILE NURSING AND REHABILITATION CENTER,AL,1970-08,3.34,74.17
MONROE MANOR HEALTH & REHABILITATION CENTER,AL,1970-08,3.71,83.33
MONTGOMERY CHILDREN'S SPECIALTY CENTER,AL,1970-08,2.8,83.33
"MOUNDVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,3.5,95.59
"NHC HEALTHCARE, ANNISTON",AL,1970-08,3.63,83.44
"NHC HEALTHCARE, MOULTON",AL,1970-08,4.18,81.62
"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,1970-08,3.8,78.42
NORTH MOBILE NURSING AND REHABILITATION CTR,AL,1970-08,3.43,83.72
NORTHSIDE HEALTH CARE,AL,1970-08,2.99,83.48
"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,1970-08,3.98,99.12
OAK CREST HEALTH & WELLNESS,AL,1970-08,2.9,73.42
"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,1970-08,4.27,96.00
OAKS ON PARKWOOD SKILLED NURSING FACILITY,AL,1970-08,4.45,89.23
OAKVIEW MANOR HEALTH CARE CENTER,AL,1970-08,3.68,78.99
"OPP HEALTH AND REHABILITATION, LLC",AL,1970-08,4.17,79.19
ORCHARD REHABILITATION & HEALTHCARE CENTER,AL,1970-08,2.96,66.67
"OZARK HEALTH AND REHABILITATION, LLC",AL,1970-08,3.52,94.63
"PALM GARDENS HEALTH AND REHABILITATION, LLC",AL,1970-08,3.74,89.00
"PARK MANOR HEALTH AND REHABILITATION, LLC",AL,1970-08,3.54,93.42
PARK PLACE,AL,1970-08,3.29,95.15
PARKWOOD HEALTH CARE FACILITY,AL,1970-08,3.55,94.59
PIEDMONT HEALTH CARE CENTER,AL,1970-08,5.28,87.91
PLANTATION MANOR NURSING HOME,AL,1970-08,3.18,93.20
"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,4.59,85.19
REGENCY HEALTH CARE AND REHABILITATION CENTER,AL,1970-08,3.74,88.89
"RIDGEVIEW HEALTH SERVICES, INC",AL,1970-08,4.05,93.92
RIDGEWAY REHABILITATION & SENIOR LIVING,AL,1970-08,3.41,79.71
"RIDGEWOOD HEALTH SERVICES, INC.",AL,1970-08,3.74,63.27
RIVER CITY CENTER,AL,1970-08,2.74,81.97
ROANOKE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,3.07,92.31
ROBERTSDALE REHABILITATION & HEALTHCARE CTR,AL,1970-08,3.86,81.58
SELF SKILLED NURSING & REHAB,AL,1970-08,5.11,59.54
SHADESCREST HEALTH CARE CENTER,AL,1970-08,4.04,90.65
SHELBY RIDGE NURSING HOME,AL,1970-08,3.86,99.24
SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,1970-08,3.52,58.49
SOUTH HAMPTON NURSING & REHABILITATION CENTER,AL,1970-08,3.87,96.30
"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,2.97,92.08
"SOUTH HEALTH AND REHABILITATION, LLC",AL,1970-08,4.46,87.95
SOUTHERN SPRINGS HEALTHCARE FACILITY,AL,1970-08,4.79,78.86
SOUTHLAND NURSING HOME,AL,1970-08,3.77,61.54
SPRINGHILL SENIOR RESIDENCE,AL,1970-08,3.92,50.33
ST MARTIN'S IN THE PINES,AL,1970-08,4.09,55.47
"SUMMERFORD HEALTH AND REHAB, LLC",AL,1970-08,3.46,68.52
"SUMTER HEALTH AND REHABILITATION, L L C",AL,1970-08,3.76,79.20
SUNSET MANOR,AL,1970-08,5.13,83.10
SYLACAUGA HEALTH AND REHAB SERVICES,AL,1970-08,3.09,85.23
"TALLADEGA HEALTHCARE CENTER, INC",AL,1970-08,4.69,93.59
"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,1970-08,3.95,87.39
"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,1970-08,4.61,87.30
THE HEALTHCARE CENTER AT BUCK CREEK,AL,1970-08,3.1,85.35
TLC NURSING CENTER,AL,1970-08,3.34,85.44
TRAYLOR RETIREMENT COMMUNITY,AL,1970-08,2.98,59.35
TROY HEALTH & REHABILITATION CENTER,AL,1970-08,5.23,48.18
TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,2.94,90.84
"VALLEY VIEW HEALTH AND REHABILITATION, LLC",AL,1970-08,3.3,82.58
VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,AL,1970-08,2.71,74.40
"WALKER REHABILITATION CENTER, INC",AL,1970-08,5.63,59.32
WASHINGTON COUNTY NURSING HOME,AL,1970-08,4.89,87.50
WESLEY PLACE ON HONEYSUCKLE,AL,1970-08,4.29,92.77
WEST GATE VILLAGE,AL,1970-08,3.93,78.40
WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,AL,1970-08,3.4,95.76
"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,1970-08,4.55,90.91
WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,AL,1970-08,4.53,28.81
WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,AL,1970-08,4.41,11.67
WINDSOR HOUSE,AL,1970-08,3.17,78.63
WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,1970-08,3.79,65.63
WOODHAVEN MANOR NURSING HOME,AL,1970-08,2.98,92.00
WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,AL,1970-08,3.9,81.88
ALCOA PINES HEALTH AND REHABILITATION,AR,1970-08,3.09,73.33
ALMA NURSING AND REHAB,AR,1970-08,2.92,98.65
AMBERWOOD HEALTH AND REHABILITATION,AR,1970-08,3.8,91.09
"APPLE CREEK HEALTH AND REHAB, LLC",AR,1970-08,5.23,81.58
ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,3.32,95.16
ARKANSAS HEALTH CENTER,AR,1970-08,4.86,53.45
ARKANSAS STATE VETERANS HOME AT NORTH LITTLE ROCK,AR,1970-08,5.45,90.91
ARKANSAS VETERANS HOME AT FAYETTEVILLE,AR,1970-08,5.69,51.11
ASH FLAT HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,3.53,103.13
ASHLEY REHABILITATION AND HEALTH CARE CENTER,AR,1970-08,0.69,60.00
"ASHTON PLACE HEALTH AND REHAB, LLC",AR,1970-08,3.39,94.26
ATKINS NURSING AND REHABILITATION CENTER,AR,1970-08,3.94,84.44
BAILEY CREEK HEALTH AND REHAB,AR,1970-08,3.72,56.52
BARNES HEALTHCARE,AR,1970-08,3.37,34.04
BEAR CREEK HEALTHCARE LLC,AR,1970-08,3.26,40.46
"BEEBE RETIREMENT CENTER, INC.",AR,1970-08,3.39,77.14
BELLE VIEW ESTATES REHABILITATION AND CARE CENTER,AR,1970-08,3.17,102.86
"BELVEDERE NURSING AND REHABILITATION CENTER, LLC",AR,1970-08,4.07,95.83
BENTLEY REHABILITATION AND HEALTH CENTER,AR,1970-08,3.56,52.25
"BRADFORD HOUSE NURSING AND REHAB, LLC",AR,1970-08,4.75,90.59
"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",AR,1970-08,4.16,103.03
BROOKRIDGE COVE REHABILITATION AND CARE  CENTER,AR,1970-08,4.44,103.13
BUTTERFIELD TRAIL VILLAGE,AR,1970-08,4.64,51.72
"CABOT HEALTH AND REHAB, LLC",AR,1970-08,5.18,70.79
CARE MANOR NURSING AND REHAB,AR,1970-08,3.97,101.69
CAVALIER HEALTHCARE OF ENGLAND,AR,1970-08,2.36,101.75
CAVE CITY NURSING HOME INC,AR,1970-08,5.06,91.11
CHAMBERS HEALTH AND REHABILITATION,AR,1970-08,3.12,58.89
CHAPEL RIDGE HEALTH AND REHAB,AR,1970-08,4.23,55.41
CHAPEL WOODS HEALTH AND REHABILITATION,AR,1970-08,4.4,55.00
"COLONEL GLENN HEALTH AND REHAB, LLC",AR,1970-08,4.76,97.96
"CONCORDIA NURSING & REHAB, LLC",AR,1970-08,3.8,28.43
CONWAY HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,4.34,59.05
CORNING THERAPY AND LIVING CENTER,AR,1970-08,2.91,107.14
COTTAGE LANE HEALTH AND REHAB OF LITTLE ROCK,AR,1970-08,4.04,66.43
COUNTRYSIDE HEALTH & REHAB OF NEWTON COUNTY,AR,1970-08,7.26,52.86
"COURTYARD REHABILITATION AND HEALTH CENTER, LLC",AR,1970-08,3.92,79.21
COVINGTON COURT HEALTH AND REHABILITATION CENTER,AR,1970-08,4.8,82.14
CRAIGHEAD NURSING CENTER,AR,1970-08,5.28,71.90
CREEKSIDE AT THE SPRINGS,AR,1970-08,4.25,81.25
"CRESTPARK DEWITT, LLC",AR,1970-08,5.06,54.29
"CRESTPARK FORREST CITY, LLC",AR,1970-08,3.55,51.00
"CRESTPARK HELENA, LLC",AR,1970-08,6.1,36.00
"CRESTPARK MARIANNA, L L C",AR,1970-08,3.96,63.75
"CRESTPARK STUTTGART, LLC",AR,1970-08,3.82,51.00
"CRESTPARK WYNNE, LLC",AR,1970-08,5,37.00
"DARDANELLE NURSING AND REHABILITATION CENTER,INC",AR,1970-08,4.06,80.00
DERMOTT CITY NURSING HOME,AR,1970-08,3.08,64.29
DES ARC NURSING AND REHABILITATION CENTER,AR,1970-08,3.04,68.37
DEWITT NURSING HOME,AR,1970-08,4.27,51.67
DIERKS HEALTH AND REHAB OF DIERKS,AR,1970-08,4.53,78.57
EAGLECREST NURSING AND REHAB,AR,1970-08,4.34,71.00
EDGEWOOD HEALTH AND REHAB,AR,1970-08,5.02,76.47
ENCORE HEALTHCARE AND REHABI OF MALVERN,AR,1970-08,3.64,94.74
EVERGREEN LIVING CENTER AT STAGECOACH,AR,1970-08,4.08,81.90
FAYETTEVILLE HEALTH AND REHABILITATION CENTER,AR,1970-08,3.35,102.02
GARDNER NURSING AND REHABILITATION,AR,1970-08,4.87,80.00
GASSVILLE THERAPY AND LIVING,AR,1970-08,4.12,100.00
GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE,AR,1970-08,3.48,54.00
GOOD SAMARITAN SOCIETY - MOUNTAIN HOME,AR,1970-08,4.86,97.06
GOSNELL HEALTH AND REHAB,AR,1970-08,3.21,67.14
GREENBRIER NURSING AND REHABILITATION CENTER,AR,1970-08,4.57,91.67
GREENE ACRES NURSING HOME,AR,1970-08,4.83,60.14
GREENHURST NURSING CENTER,AR,1970-08,4.15,96.08
"GREYSTONE NURSING AND REHAB, LLC",AR,1970-08,4.27,87.50
"HAMPTON PLACE HEALTHCARE, LLC",AR,1970-08,4.77,40.71
HARRIS HEALTH AND REHAB,AR,1970-08,3.21,100.00
HEARTLAND REHABILITATION AND CARE CENTER,AR,1970-08,3.97,104.35
HEATHER MANOR NURSING AND REHABILITATION CENTER,AR,1970-08,5.07,63.28
HERITAGE LIVING CENTER,AR,1970-08,4,99.21
HERITAGE SQUARE HEALTHCARE CENTER,AR,1970-08,3.92,76.74
"HICKORY HEIGHTS HEALTH AND REHAB, LLC",AR,1970-08,5.42,100.00
"HIGHLAND COURT, A REHABILITATION AND RESIDENT CARE",AR,1970-08,3.35,110.71
"HIGHLANDS OF BELLA VISTA HEALTH & REHAB, LLC",AR,1970-08,4.4,75.56
HILLCREST HOME,AR,1970-08,5.83,97.87
HIRAM SHADDOX HEALTH AND REHAB,AR,1970-08,2.34,58.57
HUDSON MEMORIAL NURSING HOME,AR,1970-08,3.39,58.33
INDIAN ROCK VILLAGE HEALTH CENTER,AR,1970-08,3.29,83.64
"INNISFREE HEALTH AND REHAB, LLC",AR,1970-08,3.29,84.62
"JAMESTOWN NURSING AND REHAB, LLC",AR,1970-08,4.66,102.08
"JOHNSON COUNTY HEALTH AND REHAB, LLC",AR,1970-08,4.71,100.93
KATHERINE'S PLACE AT WEDINGTON,AR,1970-08,3.84,97.12
LAKE HAMILTON HEALTH AND REHAB,AR,1970-08,4.64,98.81
LAKE VILLAGE REHABILITATION AND CARE CENTER,AR,1970-08,3.28,49.02
LAKESIDE HEALTH AND REHAB,AR,1970-08,4.38,94.12
"LAKEWOOD HEALTH AND REHAB, LLC",AR,1970-08,4.48,93.15
LAKEWOOD THERAPY AND LIVING CENTER,AR,1970-08,3.32,66.25
LAWRENCE HALL HEALTH & REHABILITATION,AR,1970-08,4.37,73.60
LEGACY HEALTH AND REHABILITATION CENTER,AR,1970-08,3.07,93.62
"LEGACY HEIGHTS NURSING AND REHAB, LLC",AR,1970-08,4.39,67.21
LITTLE RIVER NURSING & REHAB,AR,1970-08,4.69,90.59
"LONOKE HEALTH AND REHAB CENTER, LLC",AR,1970-08,4.4,94.81
MANILA HEALTHCARE CENTER,AR,1970-08,3.63,74.29
MAPLE HEALTHCARE,AR,1970-08,3.92,44.29
METHODIST HEALTH AND REHAB,AR,1970-08,3.86,86.21
"MITCHELL'S NURSING HOME, INC",AR,1970-08,3.44,70.48
"MONETTE MANOR, LLC",AR,1970-08,6.44,38.37
MONTGOMERY COUNTY NURSING HOME,AR,1970-08,4.93,95.52
MOUNTAIN MEADOWS HEALTH AND REHABILITATION,AR,1970-08,2.46,96.04
"MURFREESBORO REHAB AND NURSING, INC",AR,1970-08,3.47,51.52
NASHVILLE NURSING AND REHAB SERVICES OF ARKANSAS,AR,1970-08,3.55,68.57
NIGHTINGALE AT ARKADELPHIA,AR,1970-08,3.75,73.00
NIGHTINGALE AT CROSSETT,AR,1970-08,3.32,62.65
NIGHTINGALE AT GLENWOOD,AR,1970-08,4.23,109.52
NIGHTINGALE AT STONEGATE,AR,1970-08,3.36,108.93
NORTH HILLS LIFE CARE AND REHAB,AR,1970-08,4.99,97.62
NURSING AND REHABILITATION CENTER AT GOOD SHEPHERD,AR,1970-08,2.88,85.00
OAK MANOR NURSING AND REHABILITATION CENTER INC,AR,1970-08,4.99,42.50
OAK RIDGE HEALTH AND REHABILITATION,AR,1970-08,4.18,39.44
OAKDALE NURSING FACILITY OF JUDSONIA,AR,1970-08,4.68,56.49
OUACHITA NURSING AND REHABILITATION CENTER,AR,1970-08,3.9,100.00
OZARK HEALTH NURSING AND REHAB  CENTER,AR,1970-08,4.63,61.86
OZARK NURSING AND REHAB,AR,1970-08,3.16,93.90
PARIS HEALTH AND REHABILITATION CENTER,AR,1970-08,3.42,100.00
PERRY COUNTY NURSING AND REHABILITATION CENTER,AR,1970-08,3.75,55.79
"PIGGOTT HEALTHCARE & SENIOR LIVING, LLC",AR,1970-08,3.13,34.29
PINK BUD HOME FOR THE GOLDEN YEARS,AR,1970-08,4.04,58.18
PIONEER THERAPY AND LIVING,AR,1970-08,3.02,84.88
PLEASANT MANOR NURSING & REHAB,AR,1970-08,3.68,106.94
PLEASANT VALLEY REHABILITATION AND NURSING,AR,1970-08,3.72,76.29
POCAHONTAS HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,3.5,58.76
