PROVIDER_ID,PROVIDER_NAME,STATE,MONTH,PCT_OVERTIME_HOURS
015179,PARKWOOD HEALTH CARE FACILITY,AL,1970-08,0
015180,GADSDEN HEALTH AND REHAB CENTER,AL,1970-08,0
015182,"GEORGIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015183,NORTH MOBILE NURSING AND REHABILITATION CTR,AL,1970-08,0
015184,CLOVERDALE REHABILITATION AND NURSING CENTER,AL,1970-08,0
015186,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015187,"MOUNDVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015188,JACKSON HEALTH CARE FACILITY,AL,1970-08,0
015189,DIVERSICARE OF PELL CITY,AL,1970-08,9.73
015191,BROWN NURSING HOME,AL,1970-08,0
015192,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",AL,1970-08,8.43
015193,CROWNE HEALTH CARE OF GREENVILLE,AL,1970-08,0
015194,PIEDMONT HEALTH CARE CENTER,AL,1970-08,0
015195,VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,AL,1970-08,0
015196,DIVERSICARE OF LANETT,AL,1970-08,0
015197,LAFAYETTE EXTENDED CARE,AL,1970-08,0
015199,CROWNE HEALTH CARE OF EUFAULA,AL,1970-08,0
015200,CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,AL,1970-08,0
015201,"GENERATIONS OF RED BAY, LLC",AL,1970-08,0
015202,MCGUFFEY HEALTH & REHABILITATION CENTER,AL,1970-08,0
015203,ATTALLA HEALTH AND REHAB,AL,1970-08,0
015204,GOODWATER HEALTHCARE CENTER,AL,1970-08,0
015206,DECATUR HEALTH & REHAB CENTER,AL,1970-08,0
015207,COLLINSVILLE HEALTHCARE & REHAB,AL,1970-08,0
015208,"OZARK HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015209,DIVERSICARE OF BESSEMER,AL,1970-08,0
015210,"OPP HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015211,TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,0
015212,SELF SKILLED NURSING & REHAB,AL,1970-08,0
015213,TROY HEALTH & REHABILITATION CENTER,AL,1970-08,0
015214,MADISON MANOR NURSING HOME,AL,1970-08,2.68
015215,BIBB MEDICAL CENTER NURSING HOME,AL,1970-08,0
015216,OAKVIEW MANOR HEALTH CARE CENTER,AL,1970-08,0
015217,BIRMINGHAM NURSING AND REHABILITATION CTR LLC,AL,1970-08,0
015220,CROWNE HEALTH CARE OF THOMASVILLE,AL,1970-08,3.92
015221,"CHAPMAN HEALTHCARE CENTER, INC",AL,1970-08,0
015222,FAIRHOPE HEALTH & REHAB,AL,1970-08,0
015223,NORTHSIDE HEALTH CARE,AL,1970-08,0
015225,BARFIELD HEALTH CARE,AL,1970-08,0
015228,ARABELLA HEALTH AND WELLNESS OF MONTGOMERY,AL,1970-08,0
015303,ARABELLA HEALTH & WELLNESS OF BIRMINGHAM,AL,1970-08,0
015315,"RIDGEWOOD HEALTH SERVICES, INC.",AL,1970-08,3.45
015320,ENTERPRISE HEALTH & REHABILITATION CENTER,AL,1970-08,0
015321,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015322,ENGLEWOOD HEALTH CARE CENTER,AL,1970-08,0
015326,"PARK MANOR HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015330,MARENGO NURSING HOME,AL,1970-08,0
015331,ARABELLA HEALTH & WELLNESS OF PHENIX CITY,AL,1970-08,0
015336,"LUVERNE HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015369,OAKS ON PARKWOOD SKILLED NURSING FACILITY,AL,1970-08,0
015371,HERITAGE HEALTH CARE & REHAB INC,AL,1970-08,0
015372,REGENCY HEALTH CARE AND REHABILITATION CENTER,AL,1970-08,4.19
015373,HENRY COUNTY HEALTH AND REHABILITATION FACILITY,AL,1970-08,0
015374,CAMDEN NURSING FACILITY INC.,AL,1970-08,0
015375,ANNISTON HEALTH AND REHAB SERVICES,AL,1970-08,0
015376,DIVERSICARE OF WINFIELD,AL,1970-08,0
015378,MARSHALL MANOR NURSING HOME,AL,1970-08,0
015379,MOBILE NURSING AND REHABILITATION CENTER,AL,1970-08,0
015381,WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,AL,1970-08,0
015382,CANTERBURY HEALTH CARE FACILITY,AL,1970-08,0
015383,WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,AL,1970-08,0
015386,ADAMS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,14.67
015388,EAST GLEN,AL,1970-08,0
015390,CAPITOL HILL HEALTHCARE CENTER,AL,1970-08,0
015391,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015392,CYPRESS COVE CARE CENTER,AL,1970-08,2.03
015393,CROWNE HEALTH CARE OF MONTGOMERY,AL,1970-08,4.01
015396,DIVERSICARE OF GREENSBORO,AL,1970-08,0
015397,WINDSOR HOUSE,AL,1970-08,5.97
015398,MONROE MANOR HEALTH & REHABILITATION CENTER,AL,1970-08,0
015400,MEADOWVIEW NURSING CENTER,AL,1970-08,0
015402,EL REPOSO NURSING FACILITY,AL,1970-08,0
015403,"PALM GARDENS HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015404,BARON HOUSE OF HUEYTOWN,AL,1970-08,0
015406,"GRAND BAY CONVALESCENT HOME, INC.",AL,1970-08,0
015407,HEALTH CARE INC,AL,1970-08,0
015408,"WALKER REHABILITATION CENTER, INC",AL,1970-08,5.83
015411,SHELBY RIDGE NURSING HOME,AL,1970-08,0
015413,LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,0
015414,LAFAYETTE NURSING HOME,AL,1970-08,0
015416,ANDALUSIA MANOR,AL,1970-08,0
015417,CROWNE HEALTHCARE OF NORTH BALDWIN,AL,1970-08,0
015419,HARTFORD HEALTH CARE,AL,1970-08,0
015420,CUMBERLAND HEALTH AND REHAB,AL,1970-08,0
015422,TLC NURSING CENTER,AL,1970-08,0
015423,BROOKDALE UNIVERSITY PARK SNF (AL),AL,1970-08,0
015424,ROANOKE REHABILITATION & HEALTHCARE CENTER,AL,1970-08,0
015425,WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,AL,1970-08,0
015426,CROWNE HEALTH CARE OF SPRINGHILL,AL,1970-08,0
015429,KENSINGTON HEALTH AND REHABILITATION,AL,1970-08,0
015431,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015433,ST MARTIN'S IN THE PINES,AL,1970-08,0
015434,LYNWOOD REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,0
015435,SPRINGHILL SENIOR RESIDENCE,AL,1970-08,18.48
015436,HILLVIEW TERRACE,AL,1970-08,0
015437,FOLSOM REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,0
015440,"HUNTSVILLE HEALTH & REHABILITATION, LLC",AL,1970-08,0
015442,ORCHARD REHABILITATION & HEALTHCARE CENTER,AL,1970-08,0
015443,ROBERTSDALE REHABILITATION & HEALTHCARE CTR,AL,1970-08,0
015445,CHERRY HILL REHABILITATION & HEALTHCARE CENTER,AL,1970-08,0
015446,GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT,AL,1970-08,0
015447,ARABELLA HEALTH AND WELLNESS OF FAIRHOPE,AL,1970-08,0
015448,SOUTH HAMPTON NURSING & REHABILITATION CENTER,AL,1970-08,0
015450,WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,AL,1970-08,0
015451,FLORALA HEALTH AND REHABILITATION LLC,AL,1970-08,0
015452,ARBOR LAKE HEALTH AND REHAB,AL,1970-08,0
015453,"COLUMBIANA HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015454,FAIRVIEW AT REDSTONE VILLAGE,AL,1970-08,0
015455,ELITE NURSING AND REHABILITATION CARE CENTER,AL,1970-08,0
015456,"GULF COAST HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015457,KIRKWOOD BY THE RIVER,AL,1970-08,14.77
015458,AHC MILLENIUM,AL,1970-08,36.19
015459,GALLERIA WOODS SKILLED NURSING FACILITY,AL,1970-08,9.19
015460,CHARLTON PLACE REHAB AND HEALTHCARE CENTER,AL,1970-08,7
015461,LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,AL,1970-08,0
015463,KNOLLWOOD HEALTHCARE,AL,1970-08,0
015464,"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",AL,1970-08,0
015465,ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,AL,1970-08,0
015467,CAVALIER HEALTHCARE OF TRUSSVILLE,AL,1970-08,0
015468,ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,AL,1970-08,0
01A193,FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,AL,1970-08,0
01A208,MONTGOMERY CHILDREN'S SPECIALTY CENTER,AL,1970-08,0
025010,KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,AK,1970-08,13.19
025015,WRANGELL MEDICAL CENTER LTC,AK,1970-08,7.83
025018,PROVIDENCE TRANSITIONAL CARE CENTER,AK,1970-08,0
025020,DENALI CENTER,AK,1970-08,13.5
025021,HERITAGE PLACE,AK,1970-08,0
025024,PROVIDENCE SEWARD MOUNTAIN HAVEN,AK,1970-08,25.77
025025,PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,AK,1970-08,0
025027,WILDFLOWER COURT,AK,1970-08,24.74
025028,CORDOVA COMMUNITY MED LTC,AK,1970-08,0
025032,SEARHC SITKA LONG TERM CARE,AK,1970-08,21.64
025036,PROVIDENCE EXTENDED CARE,AK,1970-08,0
025037,YUKON KUSKOKWIM ELDER'S HOME,AK,1970-08,47.11
025038,MAPLE SPRINGS OF WASILLA,AK,1970-08,0
025039,MAPLE SPRINGS OF PALMER,AK,1970-08,0
035003,THE TERRACES OF PHOENIX,AZ,1970-08,3.04
035004,SANTA ROSA CARE CENTER,AZ,1970-08,0
035014,DESERT TERRACE HEALTHCARE CENTER,AZ,1970-08,10.87
035016,HANDMAKER HOME FOR THE AGING,AZ,1970-08,4.76
035059,HAVEN OF SCOTTSDALE,AZ,1970-08,0
035062,DESERT HAVEN CARE CENTER,AZ,1970-08,0
035064,FOOTHILLS REHABILITATION CENTER,AZ,1970-08,0
035068,PUEBLO SPRINGS REHABILITATION CENTER,AZ,1970-08,0
035070,CASAS ADOBES POST ACUTE REHAB CENTER,AZ,1970-08,4.44
035071,MISSION PALMS POST ACUTE,AZ,1970-08,0
035072,PHOENIX MOUNTAIN POST ACUTE,AZ,1970-08,0
035073,"HAVEN HEALTH GREEN VALLEY, LLC",AZ,1970-08,0
035074,FRIENDSHIP VILLAGE OF TEMPE,AZ,1970-08,7.75
035076,OSBORN HEALTH AND REHABILITATION,AZ,1970-08,0
035083,HERITAGE COURT POST ACUTE OF SCOTTSDALE,AZ,1970-08,0
035084,PLAZA HEALTHCARE,AZ,1970-08,4.88
035085,HAVEN OF SAGUARO VALLEY,AZ,1970-08,0
035086,"HAVEN OF SIERRA VISTA, LLC",AZ,1970-08,0
035087,NORTH MOUNTAIN MEDICAL AND REHABILITATION CENTER,AZ,1970-08,7.32
035088,CAMELBACK POST ACUTE CARE AND REHABILITATION,AZ,1970-08,12.81
035091,HAVEN OF FLAGSTAFF,AZ,1970-08,0
035092,BELLA VITA HEALTH AND REHABILITATION CENTER,AZ,1970-08,0
035093,HAVEN OF COTTONWOOD,AZ,1970-08,0
035094,HAVEN OF SEDONA,AZ,1970-08,0
035095,DESERT COVE NURSING CENTER,AZ,1970-08,0
035096,"HAVEN OF SANDPOINTE, LLC",AZ,1970-08,0
035097,THE LEGACY REHAB & CARE CENTER,AZ,1970-08,10.1
035099,SANDSTONE OF TUCSON REHAB CENTRE,AZ,1970-08,26.97
035100,HAVASU NURSING CENTER,AZ,1970-08,0
035101,CHANDLER POST ACUTE AND REHABILITATION,AZ,1970-08,0
035103,CITADEL POST ACUTE,AZ,1970-08,0
035105,SHEA POST ACUTE REHABILITATION CENTER,AZ,1970-08,0
035106,TEMPE POST ACUTE,AZ,1970-08,0
035107,HAVEN OF PHOENIX,AZ,1970-08,0
035110,SUN WEST CHOICE HEALTHCARE & REHAB,AZ,1970-08,0
035111,LAKE PLEASANT POST ACUTE REHABILITATION CENTER,AZ,1970-08,0
035112,APACHE JUNCTION HEALTH CENTER,AZ,1970-08,26.3
035114,MOUNTAIN VIEW MANOR,AZ,1970-08,0
035116,THE REHABILITATION CENTER AT THE PALAZZO,AZ,1970-08,0
035117,PAYSON CARE CENTER,AZ,1970-08,0
035118,HAVEN OF CAMP VERDE,AZ,1970-08,0
035120,MI CASA NURSING CENTER,AZ,1970-08,0
035121,BOSWELL TRANSITIONAL CARE OF CASCADIA,AZ,1970-08,15.78
035125,RIDGECREST POST ACUTE,AZ,1970-08,10.71
035126,LIFE CARE CENTER OF NORTH GLENDALE,AZ,1970-08,0
035127,"HAVEN HEALTH PRESCOTT, LLC",AZ,1970-08,0
035130,ARCHSTONE CARE CENTER,AZ,1970-08,0
035131,GRANITE CREEK HEALTH & REHABILITATION CENTER,AZ,1970-08,34.61
035132,CORONADO HEALTHCARE CENTER,AZ,1970-08,0
035133,LIFE CARE CENTER OF YUMA,AZ,1970-08,0
035134,RIM COUNTRY HEALTH & RETIREMENT COMMUNITY,AZ,1970-08,44.52
035135,MONTECITO POST ACUTE CARE AND REHABILITATION,AZ,1970-08,2.87
035136,LIFE CARE CENTER OF SIERRA VISTA,AZ,1970-08,0
035139,HAVEN OF SHOW LOW,AZ,1970-08,0
035140,LIFE CARE CENTER OF TUCSON,AZ,1970-08,0
035141,HERITAGE HEALTH CARE CENTER,AZ,1970-08,0
035143,LIFE CARE CENTER OF SCOTTSDALE,AZ,1970-08,0
035144,PEORIA POST ACUTE AND REHABILITATION,AZ,1970-08,0
035145,DEVON GABLES REHABILITATION CENTER,AZ,1970-08,3.58
035146,LIFE CARE CENTER OF PARADISE VALLEY,AZ,1970-08,0
035147,VILLA MARIA POST ACUTE AND REHABILITATION,AZ,1970-08,12
035151,SABINO CANYON REHABILITATION & CARE CENTER,AZ,1970-08,15.92
035152,YUMA NURSING CENTER,AZ,1970-08,0
035154,PROVIDENCE PLACE AT GLENCROFT,AZ,1970-08,0
035158,GOOD SAMARITAN SOCIETY-PRESCOTT VILLAGE,AZ,1970-08,23.43
035159,HORIZON POST ACUTE AND REHABILITATION CENTER,AZ,1970-08,6.06
035164,DESERT BLOSSOM HEALTH & REHAB CENTER,AZ,1970-08,0
035165,HAVEN OF TUCSON,AZ,1970-08,0
035166,ESTRELLA HEALTH AND REHABILITATION CENTER,AZ,1970-08,0
035169,DESERT HIGHLANDS CARE CENTER,AZ,1970-08,0
035171,ALTA MESA HEALTH AND REHABILITATION,AZ,1970-08,0
035172,HAVEN OF SAFFORD,AZ,1970-08,0
035174,PARK AVENUE HEALTH AND REHABILITATION CENTER,AZ,1970-08,1.93
035175,DESERT PEAK CARE CENTER,AZ,1970-08,0
035176,BEATITUDES CAMPUS,AZ,1970-08,0
035180,HAVEN OF DOUGLAS,AZ,1970-08,0
035183,RIO VISTA POST ACUTE AND REHABILITATION,AZ,1970-08,0
035189,LA CANADA CARE CENTER,AZ,1970-08,15.52
035190,CATALINA POST ACUTE AND REHABILITATION,AZ,1970-08,0.66
035193,ALLEGIANT HEALTHCARE OF MESA,AZ,1970-08,9.66
035196,SANDRIDGE POST ACUTE,AZ,1970-08,0
035197,HAVEN OF YUMA,AZ,1970-08,0
035205,SUNCREST HEALTHCARE CENTER,AZ,1970-08,13.48
035207,SPRINGDALE VILLAGE HEALTHCARE,AZ,1970-08,0
035214,GOOD SAMARITAN SOCIETY-QUIBURI MISSION,AZ,1970-08,0
035216,CARING HOUSE,AZ,1970-08,0
035217,REHAB AT SCOTTSDALE VILLAGE SQUARE,AZ,1970-08,0
035225,SUN CITY POST ACUTE,AZ,1970-08,0
035231,SIERRA WINDS,AZ,1970-08,0
035232,MOUNTAIN VIEW CARE CENTER,AZ,1970-08,0
035233,HAVEN OF GLOBE,AZ,1970-08,0
035234,ARIZONA STATE VETERAN HOME-PHX,AZ,1970-08,38.32
035240,HAVEN OF LAKE HAVASU,AZ,1970-08,27.84
035241,SOUTH MOUNTAIN POST ACUTE,AZ,1970-08,0
035242,DR GUY GORMAN SR CARE HOME,AZ,1970-08,29.38
035244,GOOD SAMARITAN SOCIETY-PRESCOTT VALLEY,AZ,1970-08,0
035245,SUNVIEW RESPIRATORY AND REHABILITATION,AZ,1970-08,0
035247,MARYLAND GARDENS POST ACUTE,AZ,1970-08,20.21
035249,THE GARDENS REHAB & CARE CENTER,AZ,1970-08,27.03
035250,IMMANUEL CAMPUS OF CARE,AZ,1970-08,0
035251,RIVER PARK POST ACUTE,AZ,1970-08,0
035253,BROOKDALE SANTA CATALINA,AZ,1970-08,5.32
035254,WINSLOW CAMPUS OF CARE,AZ,1970-08,14.76
035255,PALM VALLEY POST ACUTE,AZ,1970-08,0
035256,FREEDOM PLAZA CARE CENTER,AZ,1970-08,0
035257,THE PEAKS HEALTH & REHABILITATION,AZ,1970-08,44.97
035260,FOUNTAIN HILLS POST ACUTE,AZ,1970-08,0
035262,THE LINGENFELTER CENTER,AZ,1970-08,3.91
035263,ARCHIE HENDRICKS SENIOR SKILLED NURSING FACILITY,AZ,1970-08,60.97
035264,SUN HEALTH LA LOMA CARE CENTER,AZ,1970-08,0
035265,SUN HEALTH GRANDVIEW CARE CENTER,AZ,1970-08,0
035266,ADVANCED HEALTHCARE OF MESA,AZ,1970-08,0
035268,ADVANCE HEALTH CARE OF SCOTTSDALE,AZ,1970-08,0
035270,SILVERWOOD POST ACUTE,AZ,1970-08,0
035272,"VI AT GRAYHAWK, A VI AND PLAZA COMPANIES COMMUNITY",AZ,1970-08,17.87
035273,SPLENDIDO AT RANCHO VISTOSO,AZ,1970-08,14.82
035275,ADVANCED HEALTH CARE OF GLENDALE,AZ,1970-08,0
035276,OASIS PAVILION NURSING & REHABILITATION CENTER,AZ,1970-08,0
035277,HAVEN OF LAKESIDE,AZ,1970-08,0
035279,ACACIA HEALTH CENTER,AZ,1970-08,0
035280,SANTE OF MESA,AZ,1970-08,0
035281,"VI AT SILVERSTONE, A VI AND PLAZA COMPANIES COMMUN",AZ,1970-08,0
035282,SANTE OF SURPRISE,AZ,1970-08,0
035283,SANTE OF CHANDLER,AZ,1970-08,0
035284,ARIZONA STATE VETERAN HOME-TUCSON,AZ,1970-08,21.47
035285,WELLSPRINGS OF GILBERT,AZ,1970-08,15.36
035286,SANTE OF NORTH SCOTTSDALE,AZ,1970-08,14.52
035289,"CENTER AT ARROWHEAD, LLC",AZ,1970-08,3.03
035290,"HAVEN HEALTH SKY HARBOR, LLC",AZ,1970-08,0
035291,"THE CENTER AT VAL VISTA, LLC",AZ,1970-08,0
035292,SANDSTONE ESTATES REHAB CENTRE,AZ,1970-08,3.94
035295,THE CENTER AT TUCSON,AZ,1970-08,0
035296,ASPIRE TRANSITIONAL CARE,AZ,1970-08,0
035297,SURPRISE HEALTH AND REHABILITATION CENTER,AZ,1970-08,0
035298,WELBROOK YUMA OPCO LLC,AZ,1970-08,0
035299,NORTHPARK HEALTH AND REHABILITATION OF CASCADIA,AZ,1970-08,0
035300,MIRABELLA AT ASU,AZ,1970-08,0
035301,SKILLED NURSING UNIT AT ORO VALLEY HOSPITAL,AZ,1970-08,0
035302,DIAMONDBACK HEALTHCARE CENTER,AZ,1970-08,2.86
045070,ROGERS HEALTH AND REHABILITATION CENTER,AR,1970-08,0
045098,THE BLOSSOMS AT HOT SPRINGS REHAB AND NURSING CENT,AR,1970-08,0
045125,BUTTERFIELD TRAIL VILLAGE,AR,1970-08,0
045134,THE SPRINGS JONESBORO,AR,1970-08,0
045135,THE SPRINGS MAGNOLIA,AR,1970-08,0
045138,VALLEY SPRINGS REHABILITATION AND HEALTH CENTER,AR,1970-08,0
045140,THE SPRINGS SEARCY,AR,1970-08,0
045142,THE SPRINGS OF PARK AVE,AR,1970-08,0
045143,"CONCORDIA NURSING & REHAB, LLC",AR,1970-08,0
045146,THE BLOSSOMS AT MOUNTAIN VIEW REHAB & NURSING CEN,AR,1970-08,16.79
045147,BROOKRIDGE COVE REHABILITATION AND CARE  CENTER,AR,1970-08,1.71
045148,CAVE CITY NURSING HOME INC,AR,1970-08,0
045151,THE GREEN HOUSE COTTAGES OF WALNUT RIDGE,AR,1970-08,0
045153,INDIAN ROCK VILLAGE HEALTH CENTER,AR,1970-08,0
