PROVIDER_ID,PROVIDER_NAME,STATE,BASELINE_READMISSION_RATE,PERFORMANCE_READMISSION_RATE
555147,OAK RIVER REHAB,CA,0.18016,0.15066
335342,NORTH WESTCHESTER RESTORATIVE THERAPY & NRSG CRT,NY,0.19927,0.15076
555425,VISTA KNOLL SPECIALIZED CARE FACILITY,CA,0.16933,0.15098
125040,LIFE CARE CENTER OF HILO,HI,0.15984,0.15123
106099,"VILLAGES HEALTHCARE AND REHABILITATION CENTER, THE",FL,0.14216,0.15181
315322,INGLEMOOR REHABILITATION AND CARE CENTER OF LIVING,NJ,0.1801,0.15211
275012,BENEFIS SENIOR SERVICES - EASTVIEW,MT,0.13429,0.15224
395445,MESSIAH LIFEWAYS AT MESSIAH VILLAGE,PA,0.16049,0.15236
235723,HEALTHBRIDGE POST-ACUTE REHABILITATION,MI,0.16948,0.15275
215191,MALLARD BAY NURSING AND REHAB,MD,0.16753,0.15289
155605,GRAND VALLEY HEALTH & REHAB,IN,0.18265,0.15315
245264,APPLE VALLEY VILLAGE HEALTH CARE CENTER,MN,0.22129,0.15316
335213,MASSAPEQUA CENTER REHABILITATION & NURSING,NY,0.19814,0.15353
366142,MILL RUN CARE CENTER,OH,0.21553,0.15361
225555,MARY ANN MORSE NURSING & REHABILITATION,MA,0.18331,0.15375
125011,HALE NANI REHABILITATION AND NURSING CENTER,HI,0.18504,0.15376
155177,WESTMINSTER VILLAGE - WEST LAFAYETTE,IN,0.17948,0.15382
435039,AVANTARA NORTON,SD,0.17982,0.15383
295043,ALPINE SKILLED NURSING AND REHABILITATION CENTER,NV,0.17177,0.15386
535049,LIFE CARE CENTER OF CASPER,WY,0.22766,0.15417
235369,MARWOOD MANOR NURSING HOME,MI,0.21011,0.15419
505009,AVAMERE REHABILITATION OF SHORELINE,WA,0.17552,0.15422
425071,NHC HEALTHCARE - CLINTON,SC,0.17127,0.15436
335476,THE FRIENDLY HOME,NY,0.17361,0.15447
215037,KESWICK MULTI-CARE CENTER,MD,0.15166,0.15457
495133,VALLEY REHABILITATION AND NURSING CENTER,VA,0.23983,0.15462
675959,SONGBIRD LODGE,TX,0.19597,0.15462
335436,JAMAICA HOSPITAL NURSING HOME CO INC,NY,0.1834,0.15464
445534,"STONES RIVER MANOR, INC",TN,0.19585,0.15478
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,NY,0.16689,0.1548
505510,AVALON CARE CENTER -  FEDERAL WAY,WA,0.18324,0.1549
395896,HOMEWOOD AT MARTINSBURG PA INC,PA,0.2005,0.15492
285289,OLD MILL REHABILITATION (OMAHA TCU),NE,0.18625,0.15494
055169,JEWISH HOME & REHAB CENTER D/P SNF,CA,0.19496,0.1553
395324,ALLIED SERVICES MEADE STREET SKILLED NURSING,PA,0.18792,0.15535
335148,THE WILLOWS AT RAMAPO REHAB AND NURSING CENTER,NY,0.17693,0.15543
555396,KAWEAH HEALTH SKILLED NURSING CENTER,CA,0.15778,0.15556
335261,THE PARAMOUNT AT SOMERS REHAB AND NURSING CENTER,NY,0.17338,0.15577
555588,VIBRA HOSPITAL OF NORTHERN CALIFORNIA D/P SNF,CA,0.1809,0.15586
335020,HEBREW HOME FOR THE AGED AT RIVERDALE,NY,0.17488,0.15596
165567,WEST RIDGE CARE CENTER,IA,0.17849,0.15608
555787,"WHITTIER NURSING AND WELLNESS CENTER, INC",CA,0.19143,0.15609
385107,TIMBERLINE POST ACUTE,OR,0.22474,0.15613
345045,THE FOLEY CENTER AT CHESTNUT RIDGE,NC,0.17264,0.15623
555429,VILLA GARDENS HEALTH CARE UNIT,CA,0.1513,0.15631
345322,THE LAURELS OF HENDERSONVILLE,NC,0.18432,0.15635
505290,BELMONT TERRACE,WA,0.18039,0.15637
445166,THE HEALTH CENTER AT RICHLAND PLACE,TN,0.20898,0.1565
555835,VI AT PALO ALTO,CA,0.1339,0.15651
676196,CORNERSTONE GARDENS LLP,TX,0.18683,0.15665
395094,BERKS COUNTY HOME- BERKS HEIM,PA,0.15099,0.15668
385137,MARQUIS PLUM RIDGE POST ACUTE REHAB,OR,0.1464,0.15672
505411,SUNSHINE HEALTH & REHAB,WA,0.15107,0.15683
275126,RIVERSIDE HEALTH & REHABILITATION,MT,0.19002,0.15688
215244,DEVLIN MANOR NURSING AND REHABILITATION CENTER,MD,0.19102,0.15702
245441,GOOD SAMARITAN SOCIETY - ALBERT LEA,MN,0.16336,0.15708
525701,DOVE HEALTHCARE - SOUTH EAU CLAIRE,WI,0.17442,0.15722
345577,SWIFT CREEK HEALTH CENTER,NC,,0.15725
555844,NOVATO HEALTHCARE CENTER,CA,0.17625,0.15726
245634,AURORA ON FRANCE,MN,0.18647,0.15738
175564,CENTER AT WATERFRONT LLC,KS,0.16999,0.1574
385234,SALEM TRANSITIONAL CARE,OR,0.22103,0.1574
125007,HALE MAKUA - KAHULUI,HI,0.17846,0.1576
215145,COMPLETE CARE AT HYATTSVILLE,MD,0.18244,0.15761
095022,CAPITOL CITY REHAB AND HEALTHCARE CENTER,DC,0.16944,0.15766
125051,KA PUNAWAI OLA,HI,0.16473,0.15766
255103,EDGEWOOD HEALTH & REHABILITATION,MS,0.19424,0.1577
295088,WINGFIELD SKILLED NURSING AND REHABILITATION CENTE,NV,0.1954,0.15772
205072,MARSHWOOD CENTER,ME,0.19524,0.15772
075085,SAINT MARY HOME,CT,0.17906,0.1579
555749,COVENANT VILLAGE CARE CENTER,CA,0.20011,0.15795
495410,ARLEIGH BURKE PAVILION,VA,0.20526,0.15805
335050,MARY MANNING WALSH NURSING HOME CO INC,NY,0.17186,0.15811
505484,NORTHWOODS LODGE,WA,0.19365,0.15815
475039,RUTLAND HEALTHCARE & REHABILITATION CENTER,VT,0.19124,0.15818
445378,WOODCREST AT BLAKEFORD,TN,0.17313,0.15819
175385,PARAMOUNT COMMUNITY LIVING AND REHAB INC,KS,0.20726,0.15823
135147,MERIDIAN MEADOWS TRANSITIONAL CARE,ID,,0.15828
295050,LIFE CARE CENTER OF RENO,NV,0.13306,0.15845
525391,WISCONSIN DELLS HEALTH SERVICES,WI,0.17166,0.15851
065407,ADVANCED HEALTH CARE OF COLORADO SPRINGS,CO,0.1817,0.15852
105385,ROYAL OAK NURSING CENTER,FL,0.19907,0.15859
155712,COVERED BRIDGE HEALTH CAMPUS,IN,0.16968,0.15871
335750,FISHKILL CENTER FOR REHABILITATION AND NURSING,NY,0.1808,0.15872
445024,"NHC HEALTHCARE, JOHNSON CITY",TN,0.16715,0.15886
285280,THE LIGHTHOUSE AT LAKESIDE VILLAGE,NE,0.17568,0.15919
365830,BRYAN HEALTHCARE AND REHABILITATION,OH,0.19072,0.15921
425333,NHC HEALTHCARE - LEXINGTON,SC,0.18562,0.15926
315356,SKILLED NURSING AT FELLOWSHIP VILLAGE,NJ,0.20837,0.15958
205083,MADIGAN ESTATES,ME,0.17856,0.15962
125020,"AVALON CARE CENTER - HONOLULU, LLC",HI,0.17171,0.15972
335465,DAUGHTERS OF SARAH NURSING CENTER,NY,0.19622,0.15979
215024,WHITE OAK REHABILITATION AND NURSING CENTER,MD,0.18821,0.1599
515137,BERKELEY SPRINGS HEALTHCARE CENTER,WV,0.2052,0.15991
395631,UNITED ZION RETIREMENT COMMUNI,PA,0.18968,0.16004
495388,GAINESVILLE HEALTH AND REHAB CENTER,VA,0.18801,0.16005
025020,DENALI CENTER,AK,0.17017,0.16007
385143,UMPQUA VALLEY NURSING & REHABILITATION CENTER,OR,0.16279,0.16009
065322,JULIA TEMPLE HEALTHCARE CENTER,CO,0.21854,0.16014
215273,WALDORF  CENTER,MD,0.16939,0.1602
155289,COLONIAL OAKS HEALTH CARE CENTER,IN,0.151,0.16029
085033,PIKE CREEK NURSING & REHABILITATION CENTER,DE,0.19732,0.16031
056109,WOODLAND POST-ACUTE,CA,0.16748,0.16031
155191,WESTMINSTER VILLAGE KENTUCKIANA,IN,0.19849,0.16032
205134,ST JOSEPH'S REHABILITATION AND RESIDENCE,ME,0.2168,0.16035
505283,CLARKSTON HEALTH AND REHAB OF CASCADIA,WA,0.18545,0.16036
395735,LIFEQUEST NURSING CENTER,PA,0.20229,0.16038
205053,ST MARY'S D'YOUVILLE PAVILION,ME,0.19758,0.16041
505204,QUEEN ANNE HEALTHCARE,WA,0.20191,0.16047
056237,ALDEN TERRACE CONVALESCENT HOSPITAL,CA,0.19194,0.16063
065108,"VILLAS AT SUNNY ACRES, THE",CO,0.17532,0.16078
056296,CRESCENT CITY SKILLED NURSING,CA,0.16817,0.16081
465165,MSM BRIGHAM CITY LLC,UT,0.1845,0.1609
215331,LARGO NURSING AND REHABILIATION CENTER,MD,0.19232,0.16093
175185,SMOKY HILL REHABILITATION CENTER,KS,0.18302,0.16105
065393,ADVANCED HEALTH CARE OF AURORA,CO,0.16374,0.16107
345165,AUTUMN CARE OF MARION,NC,0.18079,0.16108
275112,NORTHERN MONTANA CARE CENTER,MT,0.17849,0.16108
445462,AHC PARIS,TN,0.16765,0.16114
115411,PLEASANT VIEW NURSING CENTER,GA,0.19082,0.16119
275129,IMMANUEL SKILLED CARE CENTER,MT,0.19093,0.16122
445128,"NHC HEALTHCARE, OAK RIDGE",TN,0.2015,0.16131
175151,LAWRENCE MEMORIAL HOSPITAL SNF,KS,0.17699,0.16139
365405,MEADOWS OF DELPHOS THE,OH,0.19236,0.16144
366200,HENNIS CARE CENTRE OF BOLIVAR,OH,0.17343,0.16151
106051,"CORAL BAY AT PENSACOLA, LLC",FL,0.19929,0.16159
505070,LIFE CARE CENTER OF RICHLAND,WA,0.20369,0.1616
155715,LUTHERAN COMMUNITY HOME,IN,0.19226,0.1616
025018,PROVIDENCE TRANSITIONAL CARE CENTER,AK,0.13634,0.16161
055797,GILROY HEALTHCARE AND REHABILITATION CENTER,CA,0.19329,0.16164
245461,EVENTIDE LUTHERAN HOME,MN,0.21226,0.16175
395589,MOUNT CARMEL SENIOR LIVING COMMUNITY,PA,0.20939,0.16176
295104,CARSON TAHOE TRANSITIONAL REHABILITATION CENTER,NV,0.20122,0.16187
395373,GREENWOOD CENTER FOR REHABILITATION AND NURSING,PA,0.18372,0.16188
155856,"LAURELS OF GOSHEN, THE",IN,0.18995,0.16196
105662,GRACEVILLE HEALTH CENTER,FL,0.17183,0.16198
345235,TWIN LAKES COMMUNITY,NC,0.18684,0.16199
395325,MORAVIAN MANOR,PA,0.16265,0.162
215114,COMPLETE CARE AT CORSICA HILLS LLC,MD,0.19606,0.16207
305009,HANOVER HILL HEALTH CARE CENTER,NH,0.20128,0.16208
375353,GREENBRIER NURSING HOME,OK,0.17387,0.16208
075347,SUFFIELD HOUSE REHABILITATION AND HEALTHCARE CENTE,CT,0.19372,0.1621
505080,LIFE CARE CENTER OF KENNEWICK,WA,0.21828,0.16212
445004,"NHC HEALTHCARE, DICKSON",TN,0.18952,0.16212
345369,REX REHAB & NSG CARE CENTER,NC,0.21611,0.16214
465186,MAPLE SPRINGS SENIOR LIVING,UT,0.19342,0.16216
285276,BROOKESTONE MEADOWS REHABILITATION AND CARE CENTER,NE,0.15131,0.16219
505254,ROO LAN HEALTH & REHAB,WA,,0.16219
505525,LACEY POST ACUTE & REHABILITATION,WA,0.15922,0.16221
295082,GARDNERVILLE HEALTH & REHABILITATION CENTER,NV,0.1754,0.16225
055742,HARBOR VILLA CARE CENTER,CA,0.18259,0.1623
676260,THE MERIDIAN,TX,0.25832,0.1623
345292,GRANTSBROOK NURSING AND REHABILITATION CENTER,NC,0.16246,0.16235
045407,THE MAPLES AT HAR-BER MEADOWS,AR,0.18904,0.16239
055150,DIABLO VALLEY POST ACUTE,CA,0.19458,0.16246
075375,BRIDE BROOK REHABILITATION & NURSING CENTER,CT,0.17197,0.16247
365800,HEATHER HILL CARE COMMUNITIES,OH,0.21491,0.16247
335702,NORTHWELL HEALTH STERN FAMILY CENTER FOR REHAB,NY,0.22361,0.16249
555431,COUNTRY HILLS POST ACUTE,CA,0.18626,0.16249
215359,LORIEN BULLE ROCK,MD,0.17322,0.16259
125026,"KUAKINI GERIATRIC CARE, INC",HI,0.1701,0.16268
555120,VINEYARD POST ACUTE,CA,0.1901,0.1627
335746,ST LUKE RESIDENTIAL HEALTH CARE FACILITY INC,NY,0.18903,0.16271
395560,MASONIC VILLAGE AT ELIZABETHTOWN,PA,0.14742,0.16271
555137,GRANCELL VILLAGE OF THE JEWISH HOMES FOR THE AGING,CA,0.16519,0.16272
055175,LAWTON SKILLED NURSING & REHABILITATION CENTER,CA,0.16721,0.16279
445515,"NHC HEALTHCARE, TULLAHOMA",TN,0.18662,0.16283
675765,WALNUT PLACE,TX,0.1903,0.1629
056245,CALIFORNIA PACIFIC MEDICAL CTR- DAVIES CAMPUS HOSP,CA,0.17555,0.16291
365389,LAURELS OF DEFIANCE  THE,OH,0.20328,0.16293
395790,SENECA PLACE,PA,0.17945,0.16295
155214,SAINT ANTHONY,IN,0.16641,0.16302
045358,THE GREEN HOUSE COTTAGES OF HOMEWOOD,AR,0.19301,0.16303
335627,TERESIAN HOUSE NURSING HOME CO INC,NY,0.16743,0.16307
435066,AVERA PRINCE OF PEACE,SD,0.20191,0.16312
335771,THROGS NECK EXTENDED CARE FACILITY,NY,0.17608,0.16315
335684,SAPPHIRE NURSING AND REHAB AT GOSHEN,NY,0.18311,0.16316
385126,AVAMERE AT THREE FOUNTAINS,OR,0.19722,0.16333
275044,MOUNT ASCENSION TRANSITIONAL CARE OF CASCADIA,MT,0.19199,0.16338
525681,NAZARETH HEALTH AND REHAB CENTER,WI,0.2006,0.16345
335394,WESLEY HEALTH CARE CENTER INC,NY,0.16769,0.16345
215316,AUTUMN LAKE HEALTHCARE AT BALTIMORE WASHINGTON,MD,0.1872,0.16349
055268,SONOMA POST ACUTE,CA,0.19204,0.16356
235015,INGHAM COUNTY MEDICAL CARE FAC,MI,0.20072,0.16358
345206,MADISON HEALTH AND REHABILITATION,NC,0.16074,0.16363
445380,LIFE CARE CENTER OF HIXSON,TN,0.19581,0.16363
425155,LANCASTER HEALTH AND REHABILITATION,SC,0.18799,0.16366
235605,COVENTRY HOUSE INN,MI,0.1941,0.1637
035112,APACHE JUNCTION HEALTH CENTER,AZ,0.19232,0.1637
385072,CORVALLIS MANOR,OR,0.1803,0.16372
025025,PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,AK,0.17818,0.16382
395379,WECARE AT SYCAMORE REHABILITATION AND NURSING CENT,PA,0.1801,0.16388
315316,"COMPLETE CARE AT BRAKELEY PARK, LLC",NJ,0.1783,0.16391
445446,AHC DYERSBURG,TN,0.20731,0.16392
395796,MONTGOMERYVILLE SKILLED NURSING AND REHABILITATI,PA,0.17394,0.16393
395938,COMPLETE CARE AT BERKSHIRE LLC,PA,0.13946,0.16394
525410,EASTVIEW HEALTH AND REHABILITATION CENTER,WI,0.1743,0.16395
495421,FRIENDSHIP HEALTH AND REHAB CENTER - SOUTH,VA,0.18335,0.16398
215084,PATAPSCO HEALTHCARE,MD,0.18321,0.16401
145857,APERION CARE ST ELMO,IL,0.23008,0.16409
385064,REGENCY CARE OF ROGUE VALLEY,OR,0.18501,0.1641
505128,SEQUIM HEALTH & REHABILITATION,WA,0.17674,0.16412
056388,PARADISE VALLEY HEALTH CARE,CA,0.16513,0.16412
365429,RIVERSIDE MANOR NRSG & REHAB CTR,OH,0.18968,0.16415
145721,VILLA HEALTH CARE EAST,IL,0.24206,0.16416
395167,VALLEY MANOR REHABILITATION AND HEALTHCARE CENTER,PA,0.18851,0.16419
345564,SHARON TOWERS,NC,0.18341,0.16419
065390,"CENTER AT CENTENNIAL, THE",CO,0.18141,0.16421
265600,LUTHERAN CONVALESCENT HOME,MO,0.19317,0.16422
505499,COTTESMORE OF LIFE CARE,WA,0.18058,0.16422
155786,ALLISONVILLE MEADOWS,IN,0.21636,0.16425
056149,CALIFORNIA HEALTHCARE AND REHABILITATION CENTER,CA,0.18687,0.16426
345508,UNC REX REHAB & NURSING CARE CENTER OF APEX,NC,0.18894,0.16427
425322,NHC HEALTHCARE - GREENVILLE,SC,0.17939,0.16427
535022,THE LEGACY LIVING AND REHABILITATION CENTER,WY,0.15459,0.16428
445518,WAYNESBORO HEALTH AND REHABILITATION CENTER,TN,0.21842,0.16428
395555,PENNSBURG MANOR,PA,0.15682,0.16433
265095,JOHN KNOX VILLAGE CARE CENTER,MO,0.18696,0.1644
676091,SAGECREST ALZHEIMERS CARE CENTER,TX,0.17847,0.16441
035171,ALTA MESA HEALTH AND REHABILITATION,AZ,0.19003,0.16443
345328,GIVENS HEALTH CENTER,NC,0.18531,0.16444
465182,STONEHENGE OF OGDEN,UT,0.19538,0.16445
555922,ORCHARDS SKILLED NURSING,CA,,0.16446
335309,STEUBEN CENTER FOR REHABILITATION AND HEALTHCARE,NY,0.15496,0.16449
435042,AVERA MOTHER JOSEPH MANOR RETIREMENT COMMUNITY,SD,0.18825,0.16451
365694,SIGNATURE HEALTHCARE OF CHILLICOTHE,OH,0.21082,0.16452
505210,LIFE CARE CENTER OF PORT ORCHARD,WA,0.18125,0.16454
445183,GALLATIN  CENTER FOR REHABILITATION AND HEALING,TN,0.1795,0.16455
445415,"NHC HEALTHCARE, FARRAGUT",TN,0.19275,0.16455
345331,SARDIS OAKS,NC,0.18975,0.16457
155361,AMBER MANOR CARE CENTER,IN,0.17836,0.16461
505372,REGENCY CANYON LAKES REHAB AND NURSING CENTER,WA,0.19577,0.16461
105455,LAKE PLACID HEALTH AND REHABILITATION CENTER,FL,0.18927,0.16464
366475,SMITHS MILL HEALTH CAMPUS,OH,,0.16464
056322,MONTROSE SPRINGS SKILLED NURSING & WELLNESS CENTER,CA,0.18469,0.16466
106062,BENTLEY CARE CENTER,FL,0.18545,0.16477
315386,ATLAS REHABILITATION AND HEALTHCARE AT MAYWOOD,NJ,0.19741,0.16481
155725,UNIVERSITY PLACE HEALTH CENTER AND ASSISTED LIVING,IN,0.199,0.16486
396021,REDSTONE HIGHLANDS HEALTH CARE,PA,0.22522,0.16487
395336,QUARRYVILLE PRESBYTERIAN RETIREMENT COMMUNITY,PA,0.17017,0.16488
035268,ADVANCE HEALTH CARE OF SCOTTSDALE,AZ,0.18501,0.16492
075253,COMPLETE CARE AT HARRINGTON COURT,CT,0.20325,0.16496
475033,CRESCENT MANOR CARE CTRS,VT,0.19022,0.16501
366314,OTTERBEIN AT GRANVILLE,OH,0.18073,0.16503
056048,PACIFIC COAST MANOR,CA,0.19103,0.16503
075420,"SUMMIT AT PLANTSVILLE, THE",CT,0.21654,0.16503
505379,ROYAL PARK HEALTH & REHABILITATION CENTER,WA,0.19649,0.16504
445451,AHC DECATUR COUNTY,TN,0.2328,0.16512
115673,"PRUITTHEALTH - LAUREL PARK, LLC",GA,0.21549,0.16514
495262,SHENANDOAH NURSING HOME,VA,0.18708,0.16515
045361,PROMENADE HEALTH AND REHABILITATION,AR,0.20938,0.16518
395787,"VALLEY VIEW HAVEN, INC",PA,0.15448,0.16518
055932,"FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP",CA,0.22224,0.16526
505473,AGILITY HEALTH AND REHABILITATION,WA,0.18528,0.16532
395680,WILLOW BROOK REHABILITATION AND HEALTHCARE CENTER,PA,0.18684,0.16533
505529,AVAMERE TRANSITIONAL CARE OF PUGET SOUND,WA,0.20295,0.16539
335759,NORWICH REHABILITATION & NURSING CENTER,NY,0.21772,0.16539
505086,LANDMARK CARE AND REHABILITATION,WA,0.19159,0.16545
395571,MUNCY PLACE,PA,0.18728,0.16548
095030,SIBLEY MEM HOSP RENAISSANCE,DC,0.16189,0.1655
215356,THE NURSING AND REHAB CENTER AT STADIUM PLACE,MD,0.21488,0.1655
155338,MAJESTIC CARE OF AVON,IN,0.17887,0.16551
155132,DANVILLE REGIONAL REHABILITATION,IN,0.17152,0.16554
225014,SPAULDING NURSING AND THERAPY CENTER - BRIGHTON,MA,0.2031,0.16554
325030,SANTA FE CARE CENTER,NM,0.20459,0.16557
335784,SCHERVIER PAVILION,NY,0.2077,0.16561
345554,TRINITY GROVE,NC,0.18057,0.16562
215123,BROADMEAD,MD,0.16851,0.16562
095038,FOREST HILLS OF DC,DC,0.21898,0.16562
335718,THE FIVE TOWNS PREMIER REHAB & NURSING CENTER,NY,0.18671,0.16564
215278,GLEN MEADOWS RETIREMENT COM.,MD,0.21592,0.16565
106085,BAY VILLAGE OF SARASOTA,FL,0.19233,0.16565
495427,STAR CITY REHABILITATION AND NURSING,VA,,0.16569
345550,WHITE OAK OF WAXHAW,NC,0.1967,0.1657
065092,VILLA MANOR CARE CENTER,CO,0.19069,0.16571
445449,AHC WESTWOOD,TN,0.20088,0.16572
385273,PIONEER NURSING HOME,OR,0.18515,0.16574
345493,HENDERSONVILLE HEALTH AND REHABILITATION,NC,0.17117,0.16576
205003,CEDARS NURSING CARE CENTER,ME,0.19538,0.16581
525493,SUNRISE HEALTH SERVICES,WI,0.20355,0.16581
215001,AUTUMN LAKE HEALTHCARE AT BALLENGER CREEK,MD,0.16335,0.16582
315510,BRIDGEWAY CARE AND REHAB CENTER AT HILLSBOROUGH,NJ,0.21191,0.16583
335014,SCHENECTADY CENTER FOR REHABILITATION AND NURSING,NY,0.15183,0.16587
385197,ASHLAND POST ACUTE,OR,0.17394,0.16587
395894,MEADVILLE MEDICAL CTR TCU,PA,0.1927,0.16588
335391,ELDERWOOD AT GRAND ISLAND,NY,0.16604,0.16588
325091,SILVER CITY CARE CENTER,NM,0.2046,0.16589
395623,GRANDVIEW NURSING AND REHABILITATION,PA,0.17743,0.16601
395602,WESLEY VILLAGE,PA,0.17442,0.16606
065413,CENTER AT CORDERA,CO,0.1649,0.16606
225440,MEADOW GREEN NURSING AND REHABILITATION CENTER,MA,0.1986,0.16608
335489,MORNINGSTAR RESIDENTIAL CARE CENTER,NY,0.16506,0.1661
205120,WATERVILLE CENTER FOR HEALTH AND REHAB,ME,0.17827,0.1661
155153,HEALTHWIN,IN,0.17168,0.16611
105291,LIFE CARE CENTER OF MELBOURNE,FL,0.22291,0.16613
215223,CHARLESTOWN COMMUNITY INC,MD,0.18031,0.16617
505349,WILLAPA HARBOR CARE,WA,0.17723,0.1662
215207,"LOCHEARN NURSING HOME, LLC",MD,0.18368,0.16621
315341,COMPLETE CARE AT CLARK LLC,NJ,0.18448,0.16627
415012,BRIARCLIFFE MANOR,RI,0.17192,0.16631
365768,LOGAN ACRES,OH,0.19767,0.16632
365937,OHMAN FAMILY LIVING AT BRIAR,OH,0.18317,0.16635
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,NY,0.20733,0.16637
505272,LIFE CARE CENTER OF MOUNT VERNON,WA,0.19059,0.16638
055099,CREEKSIDE HEALTHCARE CENTER,CA,0.18443,0.16641
235164,COREWELL HEALTH REHAB & NSG CTR - PINE RIDGE,MI,0.20973,0.16646
215071,HEBREW HOME OF GREATER WASHINGTON,MD,0.16298,0.1665
205078,"WINSHIP GREEN CENTER FOR HEALTH & REHAB, LLC",ME,0.19798,0.16651
505441,NORTH CENTRAL CARE CENTER,WA,0.1729,0.16654
056379,OXNARD MANOR HEALTHCARE CENTER,CA,0.18273,0.16654
525461,PAVILION AT GLACIER VALLEY,WI,0.19344,0.16656
315529,LIVIA HEALTH AND SENIOR LIVING,NJ,,0.16657
345198,ASTON PARK HEALTH CARE CENTER,NC,0.17872,0.16659
125038,ALOHA NURSING & REHAB CENTRE,HI,0.19137,0.16659
435061,AVERA BRADY HEALTH AND REHAB,SD,0.18725,0.1666
245439,CATHOLIC ELDERCARE ON MAIN,MN,0.17672,0.16667
275040,LIBBY CARE CENTER,MT,0.18666,0.16669
335068,CROUSE COMMUNITY CENTER INC,NY,0.19158,0.16672
505414,PROVIDENCE ST JOSEPH CARE CENTER,WA,0.19144,0.16673
335767,OUR LADY OF MERCY LIFE CENTER,NY,0.22257,0.16674
395348,CHAMBERSBURG SKILLED NURSING AND REHABILITATION CE,PA,0.21446,0.16675
115487,NEW HORIZONS LIMESTONE,GA,0.17957,0.16676
365642,COUNTRY CLUB RET CENTER I I I,OH,0.22448,0.16676
