PROVIDER_ID,PROVIDER_NAME,STATE,TOTAL_EMPLOYEE_HOURS,TOTAL_CONTRACTOR_HOURS,PERM_TO_CONTRACT_RATIO
265693,"REHABILITATION CENTER OF INDEPENDENCE, THE",MO,329.03,2,164.52
366025,MT HEALTHY CHRISTIAN HOME,OH,328.94,2,164.47
045208,"CABOT HEALTH AND REHAB, LLC",AR,324.5,2,162.25
365611,LEGACY WESTERVILLE,OH,322,2,161
175350,CAMBRIDGE PLACE,KS,270.9,1.7,159.35
205129,MERCY HOME,ME,109.06,0.7,155.8
335681,EAST NECK NURSING & REHABILITATION CENTER,NY,795.5,5.2,152.98
035190,CATALINA POST ACUTE AND REHABILITATION,AZ,300.16,2,150.08
366433,MAPLEVIEW COUNTRY VILLA,OH,297,2,148.5
055335,LA PALOMA HEALTHCARE CENTER,CA,318.08,2.18,145.91
045445,LAKE HAMILTON HEALTH AND REHAB,AR,382.75,2.65,144.43
555147,OAK RIVER REHAB,CA,518.5,3.6,144.03
335847,HOPKINS CENTER FOR REHABILITATION AND HEALTHCARE,NY,994.25,7,142.04
366439,OTTERBEIN UNION TOWNSHIP,OH,236.67,1.68,140.88
065192,REHABILITATION AND NURSING CENTER OF THE ROCKIES,CO,281.35,2,140.68
445207,"WEXFORD HOUSE, THE",TN,349,2.5,139.6
365576,LEGACY CHILLICOTHE,OH,276,2,138
555126,ARARAT CONVALESCENT HOSPITAL,CA,172.29,1.25,137.83
195567,MAISON DU MONDE LIVING CENTER,LA,404.62,3,134.87
175078,LEGACY AT COLLEGE HILL,KS,269.26,2,134.63
305095,DERRY CENTER FOR REHABILITATION AND HEALTHCARE,NH,130.5,1,130.5
146100,WALKER NURSING HOME,IL,98.25,0.76,129.28
195413,LAKE CHARLES CARE CENTER,LA,513.05,4,128.26
056039,MIRAGE POST ACUTE,CA,952.82,7.5,127.04
075420,"SUMMIT AT PLANTSVILLE, THE",CT,502.5,4,125.63
155733,COLONIAL NURSING HOME,IN,123.5,1,123.5
125011,HALE NANI REHABILITATION AND NURSING CENTER,HI,1045.37,8.48,123.27
365655,MCKINLEY HEALTH CARE CTR  LLC,OH,484.72,4,121.18
365753,ROYAL OAK NURSING & REHAB CTR,OH,239.75,2,119.88
335455,CARMEL RICHMOND HEALTHCARE AND REHAB CENTER,NY,957.25,8,119.66
065166,POUDRE CANYON REHABILITATION AND NURSING LLC,CO,235.69,2,117.85
525318,SHERIDAN HEALTH AND REHABILITATION CENTER,WI,173.25,1.5,115.5
255148,WOODLANDS REHABILITATION AND HEALTHCARE CENTER,MS,589.79,5.25,112.34
065211,"FAIRACRES MANOR, INC.",CO,335.95,3,111.98
065172,FOUNTAIN VIEW REHABILITATION AND NURSING LLC,CO,219.24,2,109.62
675695,COLLEGE STREET HEALTH CARE CENTER,TX,109.25,1,109.25
235150,"HEALTHSOURCE SAGINAW, INC",MI,532.8,4.9,108.73
445218,CORDOVA WELLNESS AND REHABILITATION CENTER,TN,591.75,5.5,107.59
255314,WASHINGTON CARE CENTER,MS,160.72,1.5,107.15
106067,"NURSING CENTER AT LA POSADA, THE",FL,213.54,2,106.77
125019,THE CARE CENTER OF HONOLULU,HI,848.47,8,106.06
115004,MAGNOLIA MANOR METHODIST NSG C,GA,636.25,6,106.04
505395,STAFHOLT HEALTH AND REHABILITATION OF CASCADIA,WA,208.3,2,104.15
335458,THE GRAND REHABILITATION AND NURSING AT PAWLING,NY,411.5,4,102.88
676283,LOS ARCOS DEL NORTE CARE CENTER,TX,222.37,2.19,101.54
315393,NEW COMMUNITY EXTENDED CARE FACILITY,NJ,302.5,3,100.83
175550,SHAWNEE POST ACUTE REHABILITATION CENTER,KS,317.22,3.18,99.75
33A246,ELIZABETH SETON CHILDREN'S CENTER,NY,1616.8,16.53,97.81
195258,GRACE NURSING HOME,LA,388.83,4,97.21
335342,NORTH WESTCHESTER RESTORATIVE THERAPY & NRSG CRT,NY,484.75,5,96.95
335427,ONEIDA HEALTH REHABILITATION AND EXTENDED CARE,NY,481.96,5,96.39
395482,NURSING AND REHABILITATION AT THE MANSION,PA,168.25,1.75,96.14
045466,THE GREEN HOUSE COTTAGES OF POPLAR GROVE,AR,576.8,6,96.13
155756,COVENTRY MEADOWS,IN,409.41,4.33,94.55
205083,MADIGAN ESTATES,ME,419.92,4.5,93.32
365706,PLEASANT LAKE VILLA,OH,653,7,93.29
315459,NEW JERSEY VETERANS MEMORIAL HOME MENLO,NJ,923.25,10,92.33
335649,NORTH GATE HEALTH CARE FACILITY,NY,710.64,7.75,91.7
105560,"ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC",FL,732.14,7.99,91.63
335777,FATHER BAKER MANOR,NY,680.56,7.5,90.74
335789,TACONIC REHABILITATION AND NURSING AT HOPEWELL,NY,601.32,6.64,90.56
455802,SPANISH MEADOWS,TX,317,3.53,89.8
265796,PEARL'S II EDEN FOR ELDERS,MO,133,1.5,88.67
255251,MS CARE CENTER OF DEKALB,MS,309.91,3.5,88.55
105147,PINES OF SARASOTA,FL,821,9.28,88.47
366437,ARLINGTON POINTE,OH,269.43,3.08,87.48
396148,DELAWARE VALLEY SKILLED NURSING & REHABILITATION C,PA,262,3,87.33
045467,"SUPERIOR HEALTH & REHAB, LLC",AR,436.25,5,87.25
345036,ELIZABETH CITY HEALTH AND REHABILITATION,NC,606.38,7,86.63
555711,COMMUNITY CARE ON PALM,CA,173.07,2,86.54
365818,BAYLEY PLACE,OH,542.5,6.27,86.52
335621,UNITED HEBREW GERIATRIC CENTER,NY,648,7.5,86.4
335174,COBBLE HILL HEALTH CENTER INC,NY,1206.85,13.98,86.33
125040,LIFE CARE CENTER OF HILO,HI,711.69,8.25,86.27
335520,IDEAL SENIOR LIVING CENTER,NY,407,4.75,85.68
056237,ALDEN TERRACE CONVALESCENT HOSPITAL,CA,692.01,8.12,85.22
085034,BREAKWATER VILLAGE,DE,374.5,4.47,83.78
155153,HEALTHWIN,IN,669,8,83.63
415082,RIVERVIEW HEALTHCARE COMMUNITY,RI,667.5,8,83.44
366399,COVENANT VILLAGE OF GREEN TOWNSHIP,OH,377.78,4.54,83.21
055211,IDYLWOOD CARE CENTER,CA,665.44,8,83.18
28A065,CARL T CURTIS HEALTH EDUCATION CENTER NURSING HOME,NE,187.09,2.25,83.15
495272,CANTERBURY REHABILITATION AND HEALTHCARE CENTER,VA,662.57,8,82.82
215207,"LOCHEARN NURSING HOME, LLC",MD,678.5,8.21,82.64
105382,SANDGATE GARDENS REHAB AND NURSING CENTER,FL,371.69,4.5,82.6
106051,"CORAL BAY AT PENSACOLA, LLC",FL,630.39,7.67,82.19
345282,CLEVELAND PINES,NC,326.2,4,81.55
555751,NEWPORT SUBACUTE HEALTHCARE CENTER,CA,406.43,5,81.29
305082,CEDAR HEALTHCARE CENTER,NH,282.9,3.5,80.83
105479,HEALTH CENTRAL PARK,FL,603.92,7.5,80.52
676323,THE CRESCENT,TX,321.2,4,80.3
225640,"BERKELEY RETIREMENT HOME,THE",MA,80.25,1,80.25
395613,LAUREL LAKES REHABILITATION AND WELLNESS CENTER,PA,498.5,6.25,79.76
335401,MOMENTUM AT SOUTH BAY FOR REHAB AND NURSING,NY,692.75,8.75,79.17
056479,ALAMEDA COUNTY MEDICAL CENTER D/P SNF,CA,633.1,8,79.14
145259,ALDEN PARK STRATHMOOR,IL,454.25,5.75,79
225409,NEVINS NURSING & REHABILITATION CENTER,MA,552.3,7,78.9
255093,THE PILLARS OF BILOXI,MS,491.94,6.25,78.71
265600,LUTHERAN CONVALESCENT HOME,MO,582.55,7.43,78.41
365456,CIRCLEVILLE POST-ACUTE,OH,312.75,4,78.19
495178,CHARLOTTESVILLE HEALTH & REHABILITATION CENTER,VA,330.25,4.25,77.71
345301,WHITE OAK MANOR - BURLINGTON,NC,524.5,6.75,77.7
375365,SOUTH POINTE REHABILITATION AND CARE CENTER,OK,617.5,8,77.19
555211,EXTENDED CARE HOSPITAL OF WESTMINSTER,CA,366.43,4.75,77.14
106024,SOLARIS HEALTHCARE COLLEGE PARK,FL,409.39,5.33,76.81
335197,MONROE COMMUNITY HOSPITAL,NY,1591.73,20.75,76.71
335878,EPIC REHABILITATION AND NURSING AT WHITE PLAINS,NY,536.5,7,76.64
056291,CASA BONITA CONVALESCENT HOSPITAL,CA,561.25,7.33,76.57
445292,BEECH TREE HEALTH AND REHABILITATION,TN,295.54,3.87,76.37
335148,THE WILLOWS AT RAMAPO REHAB AND NURSING CENTER,NY,609.5,8,76.19
195472,THE WOODLEIGH OF BATON ROUGE,LA,304.72,4,76.18
676112,CRESTVIEW COURT,TX,302.53,4,75.63
345243,ACCORDIUS HEALTH AT CHARLOTTE,NC,365,4.83,75.57
145244,APERION CARE LAKESHORE,IL,604.4,8,75.55
335844,THE KNOLLS,NY,75.15,1,75.15
225224,CARE ONE AT LOWELL,MA,544.25,7.25,75.07
495179,POTOMAC FALLS HEALTH & REHAB CENTER,VA,559.75,7.5,74.63
495349,CARRINGTON PLACE AT WYTHEVILLE - BIRDMONT CENTER,VA,371.25,5,74.25
375349,BELLEVUE HEALTH & REHABILITATION CENTER,OK,555.92,7.5,74.12
145710,MEADOWBROOK MANOR,IL,701.75,9.5,73.87
445473,JEFFERSON COUNTY NURSING HOME,TN,624.5,8.47,73.73
075330,"LUDLOWE CENTER FOR HEALTH & REHABILITATION, LLC",CT,552.25,7.5,73.63
395464,FOREST HILLS REHABILITATION & HEALTHCARE  CENTER,PA,606.5,8.25,73.52
366027,ALTERCARE OF HARTVILLE CTR FOR,OH,293,4,73.25
335683,ABSOLUT CTR FOR NURSING & REHAB WESTFIELD L L C,NY,252.44,3.45,73.17
676181,THE HEIGHTS,TX,334.75,4.58,73.09
515037,WEIRTON GERIATRIC CENTER,WV,581,8,72.63
335079,GOLD CREST CARE CENTER,NY,580.25,8,72.53
675648,CONROE HEALTH CARE CENTER,TX,290,4,72.5
075339,LORD CHAMBERLAIN NURSING & REHABILITATION CENTER,CT,598,8.25,72.48
235037,ISABELLA CO MEDICAL CARE FACIL,MI,486.15,6.75,72.02
285066,AMBASSADOR HEALTH OF LINCOLN,NE,462.22,6.43,71.88
105491,"GANDY FL OPCO, LLC",FL,496.72,6.92,71.78
515199,SUMMERSVILLE HEALTHCARE CENTER,WV,357,5,71.4
085028,WILMINGTON NURSING  & REHABILITATION CENTER,DE,534.5,7.5,71.27
365712,BROOKWOOD RETIREMENT COMMUNITY,OH,322.75,4.54,71.09
225634,CARE ONE AT WEYMOUTH,MA,532.25,7.5,70.97
105505,MARGATE HEALTH AND REHABILITATION CENTER,FL,567.4,8.05,70.48
396077,NORTHAMPTON POST ACUTE,PA,561.75,8,70.22
335563,"ROME MEMORIAL HOSPITAL, INC - R H C F",NY,280.56,4,70.14
105488,RIVERWOOD HEALTHCARE & REHABILITATION CENTER,FL,354.9,5.07,70
265703,BLUEBIRD WELLNESS AND REHABILITATION,MO,524.75,7.5,69.97
105562,PALM GARDEN OF OCALA,FL,646.2,9.25,69.86
105217,NORTH BEACH HEALTHCARE AND REHABILITATION CENTER,FL,349.17,5,69.83
495427,STAR CITY REHABILITATION AND NURSING,VA,313.16,4.5,69.59
155362,BRICKYARD HEALTHCARE - MERRILLVILLE CARE CENTER,IN,554.77,8,69.35
425372,BETHEA BAPTIST HEALTHCARE CENTER,SC,343.56,5,68.71
105761,SUNSET LAKE HEALTHCARE AND REHABILITATION CENTER,FL,411.26,6,68.54
285078,ST. JOSEPH VILLA NURSING CENTER,NE,582.16,8.5,68.49
455538,MAGNOLIA MANOR,TX,273.14,4,68.29
315171,OAKLAND REHABILITATION AND HEALTHCARE  CENTER,NJ,545.5,8,68.19
195510,"RUSTON NURSING AND REHABILITATION CENTER,LLC",LA,479.21,7.03,68.17
155335,OSSIAN HEALTH CARE AND REHABILITATION CENTER,IN,272,4,68
015155,"RIDGEVIEW HEALTH SERVICES, INC",AL,554.38,8.25,67.2
335514,ALLEGRIA NURSING & REHAB CENTER OF PORT JEFFERSON,NY,537.5,8,67.19
676152,"SEVEN ACRES JEWISH SENIOR CARE SERVICES, INC",TX,267.44,4,66.86
505534,TRANSITIONAL CARE CENTER OF SEATTLE,WA,532.75,8,66.59
265121,FRIENDSHIP VILLAGE CHESTERFIELD,MO,432.75,6.5,66.58
525729,OAK PARK PLACE OF NAKOMA,WI,99.5,1.5,66.33
676350,THE HEIGHTS OF TOMBALL,TX,364.5,5.5,66.27
555349,VACAVILLE CONVALESCENT & REHAB,CA,528.25,8,66.03
056308,HERITAGE REHABILITATION CENTER,CA,539.94,8.19,65.93
265711,DELMAR GARDENS OF MERAMEC VALLEY,MO,638.95,9.7,65.87
235296,MEDILODGE OF SOUTHFIELD,MI,441.8,6.73,65.65
245574,SHOLOM HOME WEST,MN,653.75,10,65.38
215096,COMPLETE CARE AT MULTI MEDICAL CENTER LLC,MD,520.75,8,65.09
265677,CAMPBELL HEALTHCARE & SENIOR LIVING,MO,219,3.37,64.99
245184,ROCHESTER EAST HEALTH SERVICES,MN,194.42,3,64.81
365427,LOVELAND HEALTH CARE CENTER,OH,293.75,4.54,64.7
676135,PRESBYTERIAN VILLAGE NORTH SPECIAL CARE CTR,TX,355.57,5.5,64.65
215092,COLLINGSWOOD REHABILITATION AND HEALTHCARE CENTER,MD,516.75,8,64.59
495423,SOUTHAMPTON REHABILITATION AND HEALTHCARE CENTER,VA,514.25,8,64.28
045465,"APPLE CREEK HEALTH AND REHAB, LLC",AR,478.75,7.5,63.83
555846,JOYCE EISENBERG KEEFER MEDICAL CENTER D/P SNF,CA,1020.42,16,63.78
345547,CAMDEN HEALTH AND REHABILITATION,NC,510.01,8,63.75
345572,THE CARDINAL AT NORTH HILLS,NC,74.49,1.17,63.67
365685,O'NEILL HEALTHCARE NORTH RIDGEVILLE,OH,445.5,7,63.64
365293,MT AIRY GARDENS REHABILITATION AND NURSING CENTER,OH,285.25,4.5,63.39
425090,MAGNOLIA MANOR - GREENVILLE,SC,264.18,4.18,63.2
045412,"WILLOWBEND HEALTH AND REHABILITATION, LLC",AR,473.5,7.5,63.13
335210,HIGHLAND PARK REHABILITATION AND NURSING CENTER,NY,252.25,4,63.06
395893,CARE PAVILION NURSING AND REHABILITATION CENTER,PA,866,13.75,62.98
335657,CAMPBELL HALL REHABILITATION CENTER INC,NY,369.27,5.88,62.8
335416,DRY HARBOR NURSING HOME,NY,1313.44,21,62.54
335769,EDNA TINA WILSON LIVING CENTER,NY,495.17,7.94,62.36
555326,CARMEL MOUNTAIN REHABILITATION & HEALTHCARE CENTER,CA,467.71,7.5,62.36
155188,GREENFIELD HEALTHCARE CENTER,IN,394,6.32,62.34
155245,CASTLETON HEALTH CARE CENTER,IN,124.06,2,62.03
055887,RIVER BEND NURSING CENTER,CA,475.75,7.73,61.55
215186,FUTURE CARE CHESAPEAKE,MD,485,7.9,61.39
045377,THE GREEN HOUSE COTTAGES OF SOUTHERN HILLS,AR,429.71,7,61.39
105757,WESTMINSTER TOWERS,FL,399,6.5,61.38
235321,MARQUETTE COUNTY MEDICAL CARE FACILITY,MI,704.4,11.5,61.25
215200,BROOKE GROVE REHAB. & NSG CTR,MD,734,12,61.17
195478,THE COLUMNS REHABILITATION AND HEALTHCARE CENTER,LA,249,4.08,61.03
155771,OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,IN,477.25,7.82,61.03
365388,FRANKLIN PLAZA EXTENDED CARE,OH,541.75,8.9,60.87
045254,VILLAGE SPRINGS HEALTH AND REHAB OF HOT SPRINGS,AR,358.13,5.92,60.49
185242,WINDSOR CARE CENTER,KY,482.42,8,60.3
366151,DAYSPRING OF MIAMI VALLEY HLTH CARE CENTER & REHAB,OH,485.79,8.09,60.05
395278,SAINT JOSEPH VILLA,PA,496.25,8.27,60.01
045460,"COLONEL GLENN HEALTH AND REHAB, LLC",AR,449.5,7.5,59.93
495262,SHENANDOAH NURSING HOME,VA,299.5,5,59.9
525710,CARE & REHAB - LADYSMITH 2,WI,128.63,2.15,59.83
335287,PARK GARDENS REHABILITATION & NURSING CENTER L L C,NY,562,9.4,59.79
215144,STERLING CARE AT SOUTH MOUNTAIN,MD,447.91,7.5,59.72
106126,BEDROCK REHABILITATION AND NURSING CENTER AT LAKE,FL,433,7.25,59.72
366071,MT ALVERNA HOME INC,OH,449.62,7.53,59.71
225452,STERLING VILLAGE,MA,486,8.17,59.49
205072,MARSHWOOD CENTER,ME,371.22,6.25,59.4
425174,MCCOY MEMORIAL NURSING CENTER,SC,458,7.75,59.1
205006,MONTELLO MANOR,ME,134.57,2.28,59.02
395325,MORAVIAN MANOR,PA,470.9,8,58.86
056360,ARBOR GLEN CARE CENTER,CA,344.87,5.86,58.85
145803,"PEARL OF EVANSTON,THE",IL,440.2,7.5,58.69
075144,APPLE REHAB GUILFORD,CT,234.75,4,58.69
365926,NORMANDY MANOR OF ROCKY RIVER,OH,468.8,8,58.6
015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,322.12,5.5,58.57
145673,APOSTOLIC CHRISTIAN HOME OF EUREKA,IL,365.2,6.25,58.43
195177,LAKESHORE MANOR NURSING & REHAB,LA,262.28,4.5,58.28
395413,WESLEY ENHANCED LIVING PENNYPACK PARK,PA,454.25,7.8,58.24
235480,THE ORCHARDS AT HARPER WOODS,MI,465.11,8,58.14
195638,JOHN J HAINKEL JR HOME AND REHABILITATION CENTER,LA,449.34,7.75,57.98
075337,SILVER SPRINGS CARE CENTER,CT,461.75,8,57.72
315496,NEW JERSEY VETERANS MEMORIAL VINELAND,NJ,1239,21.5,57.63
355065,SUNSET DRIVE - A PROSPERA COMMUNITY,ND,460.98,8,57.62
045147,BROOKRIDGE COVE REHABILITATION AND CARE  CENTER,AR,431.64,7.5,57.55
195204,JO ELLEN SMITH CONVALESCENT CENTER,LA,459.69,8,57.46
395763,FELLOWSHIP MANOR,PA,487.75,8.5,57.38
055461,CALIFORNIA POST ACUTE,CA,228.78,4,57.2
085039,NEW CASTLE HEALTH AND REHABILITATION CENTER,DE,457.5,8,57.19
155327,UNIVERSITY HEIGHTS HEALTH AND LIVING COMMUNITY,IN,357.25,6.25,57.16
335713,SYRACUSE HOME ASSOCIATION,NY,442.71,7.75,57.12
555400,NORTH POINTE CARE CENTER,CA,627.22,11,57.02
225288,CARE ONE AT LEXINGTON,MA,512.75,9,56.97
105495,EMERALD NURSING AND REHABILITATION CENTER,FL,735.43,12.96,56.75
235615,CARETEL INNS OF BRIGHTON,MI,240.75,4.25,56.65
275044,MOUNT ASCENSION TRANSITIONAL CARE OF CASCADIA,MT,233.18,4.12,56.6
445165,HIGHLANDS HEALTH AND REHABILITATION CENTER,TN,466.75,8.25,56.58
225275,BEAUMONT REHAB & SKILLED NURSING CTR - WESTBORO,MA,429.52,7.6,56.52
525329,RIB LAKE HEALTH SERVICES,WI,131.6,2.33,56.48
315223,AVALON REHABILITATION AND HEALTHCARE CENTER,NJ,450,8,56.25
135053,IVY COURT,ID,285.11,5.07,56.23
315332,SOUTHERN OCEAN CENTER,NJ,420.74,7.49,56.17
345202,CAPITAL NURSING AND REHABILITATION CENTER,NC,363.3,6.5,55.89
155744,LUTHERAN LIFE VILLAGES,IN,264.75,4.75,55.74
495299,ELIZABETH ADAM CRUMP HEALTH AND REHAB,VA,445.83,8,55.73
105733,PALM GARDEN OF PINELLAS,FL,375.73,6.75,55.66
105581,PALM GARDEN OF CLEARWATER,FL,555.59,10,55.56
355086,BETHANY ON UNIVERSITY,ND,774.92,13.97,55.47
115552,"LODGE, THE",GA,346.52,6.25,55.44
235555,CANTERBURY ON THE LAKE,MI,442.36,8,55.3
525519,CARE AGE OF BROOKFIELD,WI,276,5,55.2
155798,ASHTON CREEK HEALTH AND REHABILITATION CENTER,IN,454.5,8.25,55.09
105720,MAYFLOWER HEALTHCARE CENTER,FL,274,5,54.8
335146,FAIRVIEW NURSING CARE CENTER INC,NY,1096,20,54.8
195480,LANDMARK SOUTH NURSING & REHABILITATION CENTER,LA,415.03,7.58,54.75
165146,KAHL HOME FOR THE AGED & INFIRMED,IA,437.1,8,54.64
215231,CLINTON HEALTHCARE  CENTER,MD,771.25,14.15,54.51
285149,MAPLE CREST HEALTH CENTER,NE,667.5,12.25,54.49
225357,WINCHESTER REHABILITATION AND NURSING CENTER,MA,433.7,8,54.21
395989,PROVIDENCE REHAB AND HLTHCARE CTRATMERCYFITZGERALD,PA,432.5,8,54.06
145720,ST CLARA'S REHAB & SENIOR CARE,IL,323.25,6,53.88
045337,HEATHER MANOR NURSING AND REHABILITATION CENTER,AR,403.25,7.5,53.77
315187,ECHELON CARE & REHAB,NJ,789.81,14.73,53.62
235479,REGENCY AT LIVONIA,MI,398.14,7.47,53.3
295089,MARQUIS CARE AT CENTENNIAL HILLS,NV,423.6,7.95,53.28
155166,VALPARAISO CARE & REHABILITATION,IN,442.95,8.33,53.18
185476,COLDSPRING TRANSITIONAL CARE CENTER,KY,463.13,8.72,53.11
165310,HERITAGE SPECIALTY CARE,IA,397.62,7.5,53.02
065219,BROADVIEW HEALTH AND REHABILITATION CENTER,CO,291.54,5.5,53.01
105636,BELLEAIR HEALTH CARE CENTER,FL,396.75,7.5,52.9
106079,TRINITY REGIONAL REHAB CENTER,FL,437.5,8.3,52.71
425128,WHITE OAK MANOR - CHARLESTON,SC,631.25,12,52.6
465180,SOUTHERN UTAH VETERANS HOME - IVINS,UT,616.9,11.73,52.59
056437,CYPRESS RIDGE CARE CENTER,CA,392.91,7.5,52.39
205063,CLOVER HEALTH CARE,ME,418.38,8,52.3
505270,AVAMERE REHABILITATION AT PARK WEST,WA,390.75,7.5,52.1
155834,BRICKYARD HEALTHCARE - WILLOW SPRINGS CARE CENTER,IN,208.28,4,52.07
395572,FAIRVIEW MANOR,PA,390.15,7.5,52.02
