PROVIDER_ID,PROVIDER_NAME,STATE,MONTH_START_DATE,QUARTER_LABEL,DAYS_IN_MONTH,DAYS_IN_QUARTER,TOTAL_PATIENTS,NUMBER_OF_CERTIFIED_BEDS,OCCUPANCY_RATE_PCT
015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,2024-04-01,2024 Q2,30,91,2486,111,74.65
015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,2024-05-01,2024 Q2,31,91,2740,111,79.63
015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,2024-06-01,2024 Q2,30,91,2573,111,77.27
015084,PARK PLACE,AL,2024-04-01,2024 Q2,30,91,3026,103,97.93
015084,PARK PLACE,AL,2024-05-01,2024 Q2,31,91,3061,103,95.87
015084,PARK PLACE,AL,2024-06-01,2024 Q2,30,91,2977,103,96.34
015089,EVERGREEN NURSING HOME,AL,2024-04-01,2024 Q2,30,91,1521,61,83.11
015089,EVERGREEN NURSING HOME,AL,2024-05-01,2024 Q2,31,91,1695,61,89.64
015089,EVERGREEN NURSING HOME,AL,2024-06-01,2024 Q2,30,91,1614,61,88.20
015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,2024-04-01,2024 Q2,30,91,4782,190,83.89
015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,2024-05-01,2024 Q2,31,91,4792,190,81.36
015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,2024-06-01,2024 Q2,30,91,4496,190,78.88
015097,"SOUTH HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,2139,83,85.90
015097,"SOUTH HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,2156,83,83.79
015097,"SOUTH HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,2040,83,81.93
015098,ALLEN HEALTH AND REHABILITATION,AL,2024-04-01,2024 Q2,30,91,2248,119,62.97
015098,ALLEN HEALTH AND REHABILITATION,AL,2024-05-01,2024 Q2,31,91,2374,119,64.35
015098,ALLEN HEALTH AND REHABILITATION,AL,2024-06-01,2024 Q2,30,91,2299,119,64.40
015100,CROWNE HEALTH CARE OF MOBILE,AL,2024-04-01,2024 Q2,30,91,4082,148,91.94
015100,CROWNE HEALTH CARE OF MOBILE,AL,2024-05-01,2024 Q2,31,91,4215,148,91.87
015100,CROWNE HEALTH CARE OF MOBILE,AL,2024-06-01,2024 Q2,30,91,4171,148,93.94
015101,ALTOONA  HEALTH & REHAB,AL,2024-04-01,2024 Q2,30,91,1433,50,95.53
015101,ALTOONA  HEALTH & REHAB,AL,2024-05-01,2024 Q2,31,91,1502,50,96.90
015101,ALTOONA  HEALTH & REHAB,AL,2024-06-01,2024 Q2,30,91,1394,50,92.93
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,4271,164,86.81
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,4445,164,87.43
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,4165,164,84.65
015104,SOUTHLAND NURSING HOME,AL,2024-04-01,2024 Q2,30,91,1744,91,63.88
015104,SOUTHLAND NURSING HOME,AL,2024-05-01,2024 Q2,31,91,1782,91,63.17
015104,SOUTHLAND NURSING HOME,AL,2024-06-01,2024 Q2,30,91,1705,91,62.45
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,2695,95,94.56
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,2824,95,95.89
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,2778,95,97.47
015111,DIVERSICARE OF BIG SPRINGS,AL,2024-04-01,2024 Q2,30,91,3543,145,81.45
015111,DIVERSICARE OF BIG SPRINGS,AL,2024-05-01,2024 Q2,31,91,3722,145,82.80
015111,DIVERSICARE OF BIG SPRINGS,AL,2024-06-01,2024 Q2,30,91,3606,145,82.90
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,2024-04-01,2024 Q2,30,91,2565,111,77.03
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,2024-05-01,2024 Q2,31,91,2556,111,74.28
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,2024-06-01,2024 Q2,30,91,2467,111,74.08
015113,RIVER CITY CENTER,AL,2024-04-01,2024 Q2,30,91,4729,183,86.14
015113,RIVER CITY CENTER,AL,2024-05-01,2024 Q2,31,91,4774,183,84.15
015113,RIVER CITY CENTER,AL,2024-06-01,2024 Q2,30,91,4477,183,81.55
015114,SHADESCREST HEALTH CARE CENTER,AL,2024-04-01,2024 Q2,30,91,2691,107,83.83
015114,SHADESCREST HEALTH CARE CENTER,AL,2024-05-01,2024 Q2,31,91,2937,107,88.54
015114,SHADESCREST HEALTH CARE CENTER,AL,2024-06-01,2024 Q2,30,91,2824,107,87.98
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,3305,114,96.64
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,3345,114,94.65
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,3146,114,91.99
015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,2024-04-01,2024 Q2,30,91,2941,159,61.66
015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,2024-05-01,2024 Q2,31,91,3218,159,65.29
015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,2024-06-01,2024 Q2,30,91,2724,159,57.11
015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,2933,100,97.77
015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,3071,100,99.06
015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,2830,100,94.33
015119,ARABELLA HEALTH AND WELLNESS OF SELMA,AL,2024-04-01,2024 Q2,30,91,3906,172,75.70
015119,ARABELLA HEALTH AND WELLNESS OF SELMA,AL,2024-05-01,2024 Q2,31,91,3972,172,74.49
015119,ARABELLA HEALTH AND WELLNESS OF SELMA,AL,2024-06-01,2024 Q2,30,91,3892,172,75.43
015120,"NHC HEALTHCARE, ANNISTON",AL,2024-04-01,2024 Q2,30,91,3668,151,80.97
015120,"NHC HEALTHCARE, ANNISTON",AL,2024-05-01,2024 Q2,31,91,3979,151,85.00
015120,"NHC HEALTHCARE, ANNISTON",AL,2024-06-01,2024 Q2,30,91,3749,151,82.76
015121,CROWNE HEALTH CARE OF CITRONELLE,AL,2024-04-01,2024 Q2,30,91,2022,69,97.68
015121,CROWNE HEALTH CARE OF CITRONELLE,AL,2024-05-01,2024 Q2,31,91,2098,69,98.08
015121,CROWNE HEALTH CARE OF CITRONELLE,AL,2024-06-01,2024 Q2,30,91,2018,69,97.49
015123,WASHINGTON COUNTY NURSING HOME,AL,2024-04-01,2024 Q2,30,91,2289,88,86.70
015123,WASHINGTON COUNTY NURSING HOME,AL,2024-05-01,2024 Q2,31,91,2398,88,87.90
015123,WASHINGTON COUNTY NURSING HOME,AL,2024-06-01,2024 Q2,30,91,2311,88,87.54
015124,CLAY COUNTY NURSING HOME,AL,2024-04-01,2024 Q2,30,91,2034,83,81.69
015124,CLAY COUNTY NURSING HOME,AL,2024-05-01,2024 Q2,31,91,2259,83,87.80
015124,CLAY COUNTY NURSING HOME,AL,2024-06-01,2024 Q2,30,91,2181,83,87.59
015126,TRAYLOR RETIREMENT COMMUNITY,AL,2024-04-01,2024 Q2,30,91,2238,123,60.65
015126,TRAYLOR RETIREMENT COMMUNITY,AL,2024-05-01,2024 Q2,31,91,2344,123,61.47
015126,TRAYLOR RETIREMENT COMMUNITY,AL,2024-06-01,2024 Q2,30,91,2182,123,59.13
015127,BROOKSHIRE HEALTHCARE CENTER,AL,2024-04-01,2024 Q2,30,91,3542,129,91.52
015127,BROOKSHIRE HEALTHCARE CENTER,AL,2024-05-01,2024 Q2,31,91,3574,129,89.37
015127,BROOKSHIRE HEALTHCARE CENTER,AL,2024-06-01,2024 Q2,30,91,3496,129,90.34
015128,"NHC HEALTHCARE, MOULTON",AL,2024-04-01,2024 Q2,30,91,3378,136,82.79
015128,"NHC HEALTHCARE, MOULTON",AL,2024-05-01,2024 Q2,31,91,3527,136,83.66
015128,"NHC HEALTHCARE, MOULTON",AL,2024-06-01,2024 Q2,30,91,3378,136,82.79
015129,ATMORE NURSING CENTER,AL,2024-04-01,2024 Q2,30,91,2265,100,75.50
015129,ATMORE NURSING CENTER,AL,2024-05-01,2024 Q2,31,91,2225,100,71.77
015129,ATMORE NURSING CENTER,AL,2024-06-01,2024 Q2,30,91,2378,100,79.27
015132,DIVERSICARE OF OXFORD,AL,2024-04-01,2024 Q2,30,91,3950,173,76.11
015132,DIVERSICARE OF OXFORD,AL,2024-05-01,2024 Q2,31,91,3886,173,72.46
015132,DIVERSICARE OF OXFORD,AL,2024-06-01,2024 Q2,30,91,3707,173,71.43
015133,MAGNOLIA RIDGE,AL,2024-04-01,2024 Q2,30,91,4116,148,92.70
015133,MAGNOLIA RIDGE,AL,2024-05-01,2024 Q2,31,91,4228,148,92.15
015133,MAGNOLIA RIDGE,AL,2024-06-01,2024 Q2,30,91,3972,148,89.46
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,2024-04-01,2024 Q2,30,91,3237,132,81.74
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,2024-05-01,2024 Q2,31,91,3271,132,79.94
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,2024-06-01,2024 Q2,30,91,3026,132,76.41
015135,JOHN KNOX MANOR INC  I I,AL,2024-04-01,2024 Q2,30,91,1752,98,59.59
015135,JOHN KNOX MANOR INC  I I,AL,2024-05-01,2024 Q2,31,91,1839,98,60.53
015135,JOHN KNOX MANOR INC  I I,AL,2024-06-01,2024 Q2,30,91,1861,98,63.30
015136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,2024-04-01,2024 Q2,30,91,2642,116,75.92
015136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,2024-05-01,2024 Q2,31,91,2487,116,69.16
015136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,2024-06-01,2024 Q2,30,91,2427,116,69.74
015137,ALICEVILLE MANOR NURSING HOME,AL,2024-04-01,2024 Q2,30,91,2690,100,89.67
015137,ALICEVILLE MANOR NURSING HOME,AL,2024-05-01,2024 Q2,31,91,2827,100,91.19
015137,ALICEVILLE MANOR NURSING HOME,AL,2024-06-01,2024 Q2,30,91,2805,100,93.50
015138,HENDRIX HEALTH AND REHABILITATION,AL,2024-04-01,2024 Q2,30,91,3102,110,94.00
015138,HENDRIX HEALTH AND REHABILITATION,AL,2024-05-01,2024 Q2,31,91,3130,110,91.79
015138,HENDRIX HEALTH AND REHABILITATION,AL,2024-06-01,2024 Q2,30,91,2945,110,89.24
015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,2746,111,82.46
015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,2957,111,85.93
015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,2916,111,87.57
015141,ARBOR WOODS HEALTH AND REHAB,AL,2024-04-01,2024 Q2,30,91,1427,85,55.96
015141,ARBOR WOODS HEALTH AND REHAB,AL,2024-05-01,2024 Q2,31,91,1582,85,60.04
015141,ARBOR WOODS HEALTH AND REHAB,AL,2024-06-01,2024 Q2,30,91,1585,85,62.16
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,2703,101,89.21
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,2854,101,91.15
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,2740,101,90.43
015143,FOREST MANOR HEALTH AND REHAB,AL,2024-04-01,2024 Q2,30,91,4753,182,87.05
015143,FOREST MANOR HEALTH AND REHAB,AL,2024-05-01,2024 Q2,31,91,4953,182,87.79
015143,FOREST MANOR HEALTH AND REHAB,AL,2024-06-01,2024 Q2,30,91,4816,182,88.21
015144,THE HEALTHCARE CENTER AT BUCK CREEK,AL,2024-04-01,2024 Q2,30,91,5035,198,84.76
015144,THE HEALTHCARE CENTER AT BUCK CREEK,AL,2024-05-01,2024 Q2,31,91,5304,198,86.41
015144,THE HEALTHCARE CENTER AT BUCK CREEK,AL,2024-06-01,2024 Q2,30,91,5034,198,84.75
015145,DIVERSICARE OF RIVERCHASE,AL,2024-04-01,2024 Q2,30,91,3802,132,96.01
015145,DIVERSICARE OF RIVERCHASE,AL,2024-05-01,2024 Q2,31,91,3801,132,92.89
015145,DIVERSICARE OF RIVERCHASE,AL,2024-06-01,2024 Q2,30,91,3687,132,93.11
015147,GLENWOOD CENTER,AL,2024-04-01,2024 Q2,30,91,3350,125,89.33
015147,GLENWOOD CENTER,AL,2024-05-01,2024 Q2,31,91,3385,125,87.35
015147,GLENWOOD CENTER,AL,2024-06-01,2024 Q2,30,91,3317,125,88.45
015148,DIVERSICARE OF ARAB,AL,2024-04-01,2024 Q2,30,91,2447,87,93.75
015148,DIVERSICARE OF ARAB,AL,2024-05-01,2024 Q2,31,91,2610,87,96.77
015148,DIVERSICARE OF ARAB,AL,2024-06-01,2024 Q2,30,91,2514,87,96.32
015149,SUNSET MANOR,AL,2024-04-01,2024 Q2,30,91,1766,71,82.91
015149,SUNSET MANOR,AL,2024-05-01,2024 Q2,31,91,1806,71,82.05
015149,SUNSET MANOR,AL,2024-06-01,2024 Q2,30,91,1843,71,86.53
015150,WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,2024-04-01,2024 Q2,30,91,1967,96,68.30
015150,WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,2024-05-01,2024 Q2,31,91,1996,96,67.07
015150,WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,2024-06-01,2024 Q2,30,91,1833,96,63.65
015151,AZALEA HEALTH AND REHAB LLC,AL,2024-04-01,2024 Q2,30,91,2260,170,44.31
015151,AZALEA HEALTH AND REHAB LLC,AL,2024-05-01,2024 Q2,31,91,2209,170,41.92
015151,AZALEA HEALTH AND REHAB LLC,AL,2024-06-01,2024 Q2,30,91,2235,170,43.82
015152,EXTENDICARE HEALTH CENTER,AL,2024-04-01,2024 Q2,30,91,4802,170,94.16
015152,EXTENDICARE HEALTH CENTER,AL,2024-05-01,2024 Q2,31,91,4864,170,92.30
015152,EXTENDICARE HEALTH CENTER,AL,2024-06-01,2024 Q2,30,91,4729,170,92.73
015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,2024-04-01,2024 Q2,30,91,3008,117,85.70
015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,2024-05-01,2024 Q2,31,91,3222,117,88.83
015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,2024-06-01,2024 Q2,30,91,3029,117,86.30
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,2024-04-01,2024 Q2,30,91,2606,122,71.20
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,2024-05-01,2024 Q2,31,91,2665,122,70.47
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,2024-06-01,2024 Q2,30,91,2639,122,72.10
015155,"RIDGEVIEW HEALTH SERVICES, INC",AL,2024-04-01,2024 Q2,30,91,4164,148,93.78
015155,"RIDGEVIEW HEALTH SERVICES, INC",AL,2024-05-01,2024 Q2,31,91,4256,148,92.76
015155,"RIDGEVIEW HEALTH SERVICES, INC",AL,2024-06-01,2024 Q2,30,91,4146,148,93.38
015156,CROWNE HEALTH CARE OF FT PAYNE,AL,2024-04-01,2024 Q2,30,91,3378,123,91.54
015156,CROWNE HEALTH CARE OF FT PAYNE,AL,2024-05-01,2024 Q2,31,91,3454,123,90.58
015156,CROWNE HEALTH CARE OF FT PAYNE,AL,2024-06-01,2024 Q2,30,91,3390,123,91.87
015157,HALEYVILLE HEALTH CARE CENTER,AL,2024-04-01,2024 Q2,30,91,1628,97,55.95
015157,HALEYVILLE HEALTH CARE CENTER,AL,2024-05-01,2024 Q2,31,91,1681,97,55.90
