PROVIDER_ID,PROVIDER_NAME,STATE,OVERALL_RATING,SHORT_STAY_RATING,LONG_STAY_RATING
195556,"DESOTO RETIREMENT & REHAB CTR, L L C",LA,5,1,2
146063,ALLURE OF WALNUT,IL,5,4,5
155512,ASCENSION LIVING SACRED HEART VILLAGE,IN,5,5,5
396140,REHABILITATION CENTER AT BRETHREN VILLAGE LLC,PA,5,5,
115723,SALUDE - THE ART OF RECOVERY,GA,5,5,
105125,TERRACES OF LAKE WORTH CARE CENTER AND REHAB,FL,5,4,5
155600,MULBERRY HEALTH & REHABILITATION CENTER,IN,5,5,5
155841,COPPER TRACE HEALTH & LIVING COMMUNITY,IN,5,5,4
085009,WILLOWBROOKE COURT SKILLED CENTER  AT MANOR HOUSE,DE,5,1,5
115358,TREUTLEN COUNTY HEALTH AND REHABILITATION,GA,5,5,4
245322,COVENANT LIVING OF GOLDEN VALLEY CARE & REHAB CTR,MN,5,4,5
515038,GOOD SHEPHERD NURSING HOME,WV,5,5,4
335308,MERCY HOSPITAL SKILLED NURSING FACILITY,NY,5,,5
676392,LEGEND OAKS HEALTHCARE AND REHABILITATION - NEW BR,TX,5,5,4
335799,UNION PLAZA CARE CENTER,NY,5,2,4
056180,LAKE BALBOA CARE CENTER,CA,5,5,
366067,VISTA CARE CENTER OF MILAN,OH,5,,5
225768,"NEW ENGLAND HOMES FOR THE DEAF, INC",MA,5,,2
056271,MISSION PALMS HEALTHCARE CENTER,CA,5,5,5
235721,ORCHARD GROVE HEALTH CAMPUS,MI,5,5,5
215096,COMPLETE CARE AT MULTI MEDICAL CENTER LLC,MD,5,5,4
366191,MAPLECREST NURSING AND HTA,OH,5,,5
425150,FRASER HEALTH CENTER,SC,5,4,5
135082,MCCALL REHABILITATION AND CARE CENTER,ID,5,4,3
055517,WOODLANDS HEALTHCARE CENTER,CA,5,5,5
335757,"HARRIS HILL NURSING FACILITY, L L C",NY,5,4,5
555353,VILLA HEALTH CARE CENTER,CA,5,4,5
175527,REGENT PARK REHABILITATION AND HEALTHCARE,KS,5,5,5
285131,YORK GENERAL HEARTHSTONE,NE,5,5,3
295086,LAS VENTANAS RETIREMENT COMM SNF,NV,5,4,5
155751,MEADOW LAKES,IN,5,4,5
17E242,COMMUNITY HOSPITAL ONAGA LTCU,KS,5,,4
225491,SHREWSBURY REHABILITATION AND NURSING AT SOUTHGATE,MA,5,4,5
366405,WOOSTER COMMUNITY HOSPITAL SNF,OH,5,5,
335692,ST JOSEPHS PLACE,NY,5,5,2
525465,CEDAR LAKE HEALTH AND REHAB CENTER,WI,5,3,5
366446,MEADOW GROVE TRANSITIONAL CARE,OH,5,3,5
315442,TRINITAS HOSPITAL,NJ,5,5,4
375160,ELMBROOK HOME,OK,5,1,2
50A261,YAKIMA VALLEY SCHOOL,WA,5,,4
205097,"NORWAY CENTER FOR HEALTH & REHABILITATION, LLC",ME,5,4,4
676275,RIDGECREST HEALTHCARE AND REHABILITATION CENTER,TX,5,5,5
315472,CAREONE AT EAST BRUNSWICK,NJ,5,5,5
405030,MILLENNIUM INSTITUTE FOR ADVANCE NURSING CARE INC,PR,5,,
455856,VAN HEALTHCARE,TX,5,,5
145794,FAIRVIEW HAVEN,IL,5,,4
335861,THE AMSTERDAM AT HARBORSIDE,NY,5,5,3
056399,LA CASA VIA TRANSITIONAL CARE CENTER,CA,5,5,5
345199,CAROL WOODS,NC,5,5,4
035283,SANTE OF CHANDLER,AZ,5,5,
165446,WESTBROOK ACRES,IA,5,,5
555744,SIENA SKILLED NURSING AND REHABILITATION CENTER,CA,5,4,4
035302,DIAMONDBACK HEALTHCARE CENTER,AZ,5,5,
395560,MASONIC VILLAGE AT ELIZABETHTOWN,PA,5,5,5
165205,GOOD SAMARITAN SOCIETY - LEMARS,IA,5,5,5
335259,WATERVIEW HILLS REHABILITATION AND NURSING CENTER,NY,5,4,5
505372,REGENCY CANYON LAKES REHAB AND NURSING CENTER,WA,5,4,2
395848,BARCLAY FRIENDS,PA,5,5,3
335788,WESTERN NEW YORK STATE VETERANS HOME,NY,5,,5
366198,GOLDEN YEARS NURSING CENTER,OH,5,,5
315499,LIONS GATE,NJ,5,5,4
395475,HOMELAND CENTER,PA,5,3,3
365506,OHIO LIVING DOROTHY LOVE,OH,5,5,4
215174,GINGER COVE,MD,5,2,3
675696,COUNTRY VILLAGE CARE,TX,5,5,4
366464,SPRINGS OF LIMA THE,OH,5,4,5
315262,HARROGATE,NJ,5,5,5
05A340,CRESTWOOD MANOR - 104,CA,5,,5
045428,EDGEWOOD HEALTH AND REHAB,AR,5,4,5
375496,MAPLE LAWN NURSING AND REHABILITATION,OK,5,,3
155448,LOWELL HEALTHCARE,IN,5,4,5
345386,WILKES REGIONAL MEDICAL CTR SN,NC,5,2,
365772,EASTGATE HEALTH CARE CENTER,OH,5,4,5
555776,GRIDLEY POST ACUTE,CA,5,4,5
065341,CASEY'S POND SENIOR LIVING,CO,5,5,5
525687,PIGEON FALLS HCC,WI,5,,5
105355,WILLOWBROOKE COURT AT ST ANDREWS ESTATES,FL,5,5,4
395010,NESHAMINY MANOR HOME,PA,5,1,3
425413,SPRENGER HEALTH CARE OF PORT ROYAL,SC,5,3,1
185131,THE JORDAN CENTER,KY,5,2,2
155651,HOMEVIEW CENTER OF FRANKLIN,IN,5,5,5
165491,EVANS SENIOR LIVING COMMUNITY,IA,5,4,4
015089,EVERGREEN NURSING HOME,AL,5,5,4
445519,NHC PLACE SUMNER,TN,5,5,4
445515,"NHC HEALTHCARE, TULLAHOMA",TN,5,5,3
045168,"JOHNSON COUNTY HEALTH AND REHAB, LLC",AR,5,1,4
365956,KENDAL AT OBERLIN,OH,5,,
396079,GARDEN SPOT VILLAGE,PA,5,5,5
055693,"ONTARIO GROVE HEALTHCARE & WELLNESS CENTRE, LP",CA,5,4,5
505484,NORTHWOODS LODGE,WA,5,5,5
105532,ARCADIA HEALTH AND REHABILITATION CENTER,FL,5,3,4
365470,OHIO LIVING LLANFAIR,OH,5,,5
125055,HI'OLANI CARE CENTER AT KAHALA NUI,HI,5,5,5
52A461,CLEARVIEW BRAIN INJURY CENTER,WI,5,,3
165379,EDGEWOOD CONVALESCENT HOME,IA,5,3,5
235648,IHM SENIOR LIVING COMMUNITY,MI,5,4,3
165483,HALCYON HOUSE,IA,5,5,4
676170,ST DOMINIC VILLAGE NURSING HOME,TX,5,4,3
676135,PRESBYTERIAN VILLAGE NORTH SPECIAL CARE CTR,TX,5,4,5
235430,THE NEIGHBORHOODS OF WHITE LAKE,MI,5,2,4
035121,BOSWELL TRANSITIONAL CARE OF CASCADIA,AZ,5,5,
525701,DOVE HEALTHCARE - SOUTH EAU CLAIRE,WI,5,5,5
145768,LUTHERAN HILLSIDE VILLAGE,IL,5,4,4
555204,CHILDRENS HC ORG NO CA SARATOGA PEDIATRIC SUBACUTE,CA,5,,5
555611,MORTON BAKAR CENTER,CA,5,,4
175357,WELLINGTON HEALTH AND REHAB,KS,5,5,4
555316,COPPER RIDGE CARE CENTER,CA,5,5,5
335818,HUNTINGTON HILLS CTR FOR HEALTH AND REHABILITATION,NY,5,5,5
475044,PINES REHAB & HEALTH CTR,VT,5,4,2
425375,WILLOW BROOKE COURT AT PARK POINTE VILLAGE,SC,5,5,3
245422,MILACA ELIM MEADOWS HEALTH CARE CENTER,MN,5,5,3
05A027,SIERRA VISTA,CA,5,,5
395121,SIMPSON HOUSE INC,PA,5,5,5
045449,"CRESTPARK MARIANNA, L L C",AR,5,,5
525611,PORTAGE CTY HLTH CARE CTR,WI,5,5,2
215270,SOLOMONS NURSING AND REHAB CENTER,MD,5,4,4
145673,APOSTOLIC CHRISTIAN HOME OF EUREKA,IL,5,4,5
25A197,JNH-JAQUITH INN,MS,5,,5
175309,ARKANSAS CITY PRESBYTERIAN MANOR,KS,5,4,2
505351,ARLINGTON HEALTH AND REHABILITATION,WA,5,4,5
345535,ADAMS FARM LIVING & REHABILITATION,NC,5,4,1
525583,RENNES HEALTH AND REHAB CENTER- APPLETON,WI,5,5,4
315376,CHRISTIAN HEALTH CARE CENTER,NJ,5,5,5
555381,ALAMEDA HOSPITAL D/P SNF,CA,5,,5
395549,SHERWOOD OAKS,PA,5,4,5
155692,HERITAGE POINTE OF HUNTINGTON,IN,5,2,5
185396,THE TRANSITIONAL CARE CENTER OF OWENSBORO,KY,5,4,
17E546,STEVENS COUNTY HOSPITAL LTCU DBA PIONEER MANOR,KS,5,,3
435124,GOOD SAMARITAN SOCIETY MILLER,SD,5,,2
675599,ROBERT LEE CARE CENTER,TX,5,,5
525480,AMERICAN LUTHERAN HOME-MENOMONIE,WI,5,3,4
145743,WEST SUBURBAN MEDICAL CTR,IL,5,5,
155823,SOUTHPOINTE HEALTHCARE CENTER,IN,5,5,5
155266,LIFE CARE CENTER OF FORT WAYNE,IN,5,5,5
045232,THE BLOSSOMS AT STAMPS REHAB & NURSING CENTER,AR,5,2,4
145102,MEMORIAL CARE CENTER,IL,5,5,
365279,MERIT HOUSE LLC,OH,5,5,5
035256,FREEDOM PLAZA CARE CENTER,AZ,5,4,5
175516,KANSAS VETERANS HOME,KS,5,,2
525534,HARBOR HAVEN HEALTH & REHABILITATION,WI,5,4,3
265825,ELSBERRY MISSOURI HEALTH CARE CENTER,MO,5,,5
305046,ROCKINGHAM COUNTY NURSING HOME,NH,5,2,3
225736,GREENWOOD NURSING & REHABILITATION CENTER,MA,5,,5
366403,BATH CREEK ESTATES,OH,5,2,5
335800,NOTTINGHAM R H C F,NY,5,5,4
056073,SACRAMENTO POST-ACUTE,CA,5,5,5
065407,ADVANCED HEALTH CARE OF COLORADO SPRINGS,CO,5,5,
395894,MEADVILLE MEDICAL CTR TCU,PA,5,4,
035180,HAVEN OF DOUGLAS,AZ,5,,5
115584,GORDON HEALTH AND REHABILITATION,GA,5,3,2
395998,MISERICORDIA NURSING & REHABILITATION CENTER,PA,5,4,5
335213,MASSAPEQUA CENTER REHABILITATION & NURSING,NY,5,5,5
365732,AUSTINTOWN HEALTHCARE CENTER,OH,5,4,5
125063,15 CRAIGSIDE,HI,5,,5
366409,KINGSTON REHABILITATION OF PERRYSBURG,OH,5,3,5
505369,REGENCY AT NORTHPOINTE,WA,5,1,5
39A433,GINO J MERLI VETERANS CENTER,PA,5,,5
056158,COLLEGE OAK NURSING & REHABILITATION CENTER,CA,5,3,5
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,NY,5,5,4
015422,TLC NURSING CENTER,AL,5,5,5
215212,STERLING CARE HILLHAVEN,MD,5,5,5
375532,HENSLEY NURSING & REHAB,OK,5,,5
265643,VILLAGE CARE CENTER INC,MO,5,5,4
245448,PARK RIVER ESTATES CARE CENTER,MN,5,5,5
105776,PORT ORANGE NURSING AND REHAB CENTER,FL,5,4,4
145892,SUNNY HILL NURSING HOME OF WILL COUNTY,IL,5,2,4
455617,CHRISTIAN CARE CENTER,TX,5,3,5
05A408,CRESTWOOD TREATMENT CENTER,CA,5,,5
015390,CAPITOL HILL HEALTHCARE CENTER,AL,5,3,4
105563,CENTRE POINTE HEALTH AND REHAB CENTER,FL,5,4,5
315299,KING MANOR CARE AND REHABILITATION CENTER,NJ,5,5,5
345508,UNC REX REHAB & NURSING CARE CENTER OF APEX,NC,5,5,2
155828,HERITAGE POINTE OF FORT WAYNE,IN,5,5,5
365429,RIVERSIDE MANOR NRSG & REHAB CTR,OH,5,5,4
505411,SUNSHINE HEALTH & REHAB,WA,5,5,
075278,WEST HARTFORD HEALTH & REHABILITATION CENTER,CT,5,5,4
305047,RIVERSIDE REST HOME,NH,5,,3
335112,BROTHERS OF MERCY NURSING & REHABILITATION CENTER,NY,5,2,5
525429,EDENBROOK OF WISCONSIN RAPIDS,WI,5,1,4
085057,"CENTER AT EDEN HILL, LLC",DE,5,5,
675013,CROWELL NURSING CENTER,TX,5,,5
155072,BEECH GROVE MEADOWS,IN,5,2,5
555554,DANISH CARE CENTER,CA,5,5,5
106085,BAY VILLAGE OF SARASOTA,FL,5,5,5
075343,JEROME HOME,CT,5,5,4
105562,PALM GARDEN OF OCALA,FL,5,4,5
285268,BROOKESTONE OF PAPILLION,NE,5,5,5
555770,CAMARILLO HEALTHCARE CENTER,CA,5,3,5
115593,BAYVIEW NURSING HOME,GA,5,5,1
315292,APPLEWOOD VILLAGE,NJ,5,5,5
245491,MOOSE LAKE VILLAGE,MN,5,3,3
395571,MUNCY PLACE,PA,5,3,5
555567,SOUTH COAST GLOBAL MEDICAL CENTER D/P SNF,CA,5,,5
155631,WHITE RIVER LODGE,IN,5,4,3
245224,AUGUSTANA CARE HASTINGS HEALTH AND REHABILITATION,MN,5,5,4
17E577,ANDERSON COUNTY HOSPITAL LTCU,KS,5,,3
235385,LAURELS OF MT. PLEASANT (THE),MI,5,1,4
285126,THE AMBASSADOR NEBRASKA CITY,NE,5,5,4
045394,RECTOR NURSING AND REHAB,AR,5,4,4
265580,ROLLA PRESBYTERIAN MANOR,MO,5,,2
215211,FRIENDS NURSING HOME,MD,5,3,4
155173,MILLER'S MERRY MANOR,IN,5,4,5
675709,TIMBERIDGE NURSING AND REHABILITATION CENTER,TX,5,3,5
525671,SCHMITT WOODLAND HILLS,WI,5,5,5
25A404,JNH-MADISON INN,MS,5,,4
215329,BUCKINGHAM'S CHOICE,MD,5,2,4
345249,UNC ROCKINGHAM REHAB & NURSING CARE CENTER,NC,5,4,2
155066,EDGEWATER WOODS,IN,5,5,5
145445,OAK HILL,IL,5,5,3
335823,HELEN HAYES HOSPITAL R H C F,NY,5,5,
676124,PINECREST RETIREMENT COMMUNITY,TX,5,2,3
675388,HILLVIEW NURSING & REHABILITATION,TX,5,,5
085003,WILLOWBROOKE COURT AT COUNTRY HOUSE,DE,5,5,
245278,GOOD SAMARITAN SOCIETY - HOWARD LAKE,MN,5,5,3
335842,PECONIC LANDING AT SOUTHOLD,NY,5,4,5
065324,FRASIER MEADOWS HEALTH CARE CENTER,CO,5,5,5
075443,JOHN L. LEVITOW HEALTH CARE CENTER,CT,5,,2
055733,VALLE VERDE HEALTH FACILITY,CA,5,5,5
676203,ROLLING MEADOWS,TX,5,5,
675312,PALMA REAL,TX,5,5,5
055175,LAWTON SKILLED NURSING & REHABILITATION CENTER,CA,5,5,4
315383,CHESHIRE HOME,NJ,5,,5
325126,LAS ESTANCIAS BY PURE HEALTH,NM,5,5,4
265634,LACOBA HOMES INC,MO,5,4,4
055534,THE REUTLINGER COMMUNITY,CA,5,5,5
015023,HATLEY HEALTH CARE INC,AL,5,,3
445322,WOOD PRESBYTERIAN HOME,TN,5,4,2
345002,CYPRESS POINTE REHABILITATION CENTER,NC,5,4,5
245597,SUNNYSIDE CARE CENTER,MN,5,,2
146125,"OAKS HEALTH CARE CENTER, THE",IL,5,5,5
235585,"TRANSITIONAL CARE COMMUNITY, LLC",MI,5,4,
676353,CORONADO AT STONE OAK,TX,5,4,5
055797,GILROY HEALTHCARE AND REHABILITATION CENTER,CA,5,4,5
425080,KERSHAW HEALTH KARESH LONG TERM CARE,SC,5,4,1
676350,THE HEIGHTS OF TOMBALL,TX,5,3,5
315146,CARE CONNECTION RAHWAY,NJ,5,5,
555425,VISTA KNOLL SPECIALIZED CARE FACILITY,CA,5,5,5
135102,SUNNY RIDGE,ID,5,5,5
045370,ALMA NURSING AND REHAB,AR,5,3,4
105635,MELBOURNE TERRACE REHABILITATION CENTER,FL,5,2,5
395816,"LUTHERAN HOME AT KANE, THE",PA,5,3,3
385015,REGENCY GRESHAM NURSING & REHAB CENTER,OR,5,5,5
14A383,HIGHLAND OAKS,IL,5,,5
05A357,DEPT OF STATE HOSPITALS - NAPA D/P SNF,CA,5,,5
365665,MEADOW WIND HEALTH CARE CENTER,OH,5,4,5
146180,ASCENSION NAZARETHVILLE PLACE,IL,5,3,4
495274,VIRGINIA VETERANS CARE CENTER,VA,5,3,4
366469,SIENA GARDENS REHABILITATION & TRANSITIONAL CARE,OH,5,3,5
225378,NEVILLE CENTER AT FRESH POND FOR NURSING & REHAB,MA,5,5,5
425017,WHITE OAK MANOR - LANCASTER,SC,5,5,4
265561,MADISON MEDICAL CENTER,MO,5,,3
43A139,FLANDREAU SANTEE SIOUX TRIBE CARE CENTER,SD,5,,
145869,ALDEN ESTATES OF SKOKIE,IL,5,5,
245440,WHISPERING CREEK,MN,5,4,4
366024,SYCAMORE RUN NURSING AND REHAB CTR,OH,5,5,5
465176,STONEHENGE OF SOUTH JORDAN,UT,5,5,
305054,CHESHIRE COUNTY HOME,NH,5,4,4
366010,THE PINNACLE REHABILITATION AND NURSING CENTER,OH,5,4,5
555462,VILLA VALENCIA HEALTHCARE CENTER,CA,5,5,
055049,PLEASANT HILL POST ACUTE,CA,5,5,5
155480,BROOKVILLE HEALTHCARE CENTER,IN,5,5,3
366189,VANCREST OF DELPHOS,OH,5,4,5
555331,VALENCIA GARDENS HEALTH CARE CENTER,CA,5,5,5
105770,TRI-COUNTY NURSING HOME,FL,5,5,5
145839,PARK RIDGE HEALTHCARE CENTER,IL,5,3,5
396138,HARMONY PHYSICAL REHABILITATION,PA,5,5,
05A315,HAYES CONVALESCENT HOSPITAL,CA,5,,2
165543,WESLEY PARK CENTRE,IA,5,4,4
385279,MARQUIS TUALATIN POST ACUTE REHAB,OR,5,3,1
055646,PALO ALTO SUB-ACUTE AND REHABILITATION CENTER,CA,5,5,5
045246,PERRY COUNTY NURSING AND REHABILITATION CENTER,AR,5,5,4
145637,ST JOSEPH VILLAGE OF CHICAGO,IL,5,5,5
105737,MACCLENNY NURSING AND REHAB CENTER,FL,5,5,5
395367,OXFORD HEALTH CENTER,PA,5,5,5
165610,PRAIRIE VISTA VILLAGE,IA,5,5,5
285190,ALPINE VILLAGE RETIREMENT CENTER,NE,5,,4
555734,CHILDRENS HC ORG NO CA -PEDIATRIC HOSPITAL D/P SNF,CA,5,,5
025019,PETERSBURG MEDICAL CENTER LTC,AK,5,,5
215310,GARRETT COUNTY SUBACUTE UNIT,MD,5,5,
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,5,2,4
445411,AHC APPLINGWOOD,TN,5,2,3
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,5,3,5
165574,PRAIRIE VIEW HOME,IA,5,,5
056205,PACIFICA NURSING AND REHABILITATION CENTER,CA,5,5,
155363,WILLOWDALE VILLAGE,IN,5,,5
145213,WYNSCAPE HEALTH & REHAB,IL,5,5,5
495183,THE HAVEN AT BRANDERMILL WOODS,VA,5,3,3
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,VA,5,5,5
155832,WITHAM EXTENDED CARE,IN,5,4,
535032,LIFE CARE CENTER OF CHEYENNE,WY,5,5,5
335349,CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER,NY,5,2,4
155159,SUMMIT CITY NURSING AND REHABILITATION,IN,5,,5
125059,PALOLO CHINESE HOME,HI,5,5,4
555376,DANVILLE POST-ACUTE REHAB,CA,5,5,4
285280,THE LIGHTHOUSE AT LAKESIDE VILLAGE,NE,5,5,4
345445,GLENAIRE,NC,5,4,4
505476,BAILEY-BOUSHAY HOUSE,WA,5,,2
525575,SHADY LANE NURSING CARE CENTER,WI,5,3,3
235019,JACKSON COUNTY MEDICAL CARE FACILITY,MI,5,5,3
335140,BELAIR CARE CENTER INC,NY,5,5,5
325078,RETIREMENT RANCHES INC.,NM,5,3,3
315057,MERRY HEART NURSING HOME,NJ,5,5,5
555424,THE DOROTHY & JOSEPH GOLDBERG HEALTHCARE CENTER,CA,5,5,5
445474,HERMITAGE HEALTH CENTER,TN,5,2,2
366062,CAPRICE HEALTH CARE CENTER,OH,5,2,5
345546,THE ROSEWOOD HEALTH CENTER,NC,5,5,4
105784,"MANOR AT BLUE WATER BAY, THE",FL,5,4,3
245563,GREEN PINE ACRES NURSING HOME,MN,5,4,5
505059,PANORAMA CITY CONV & REHAB CTR,WA,5,5,5
445268,"LEBANON CENTER FOR REHABILITATION AND HEALING, LLC",TN,5,5,5
315144,MEDFORD LEAS,NJ,5,5,
285081,CHI HEALTH ST FRANCIS,NE,5,5,4
525357,KEWAUNEE HEALTH SERVICES,WI,5,5,5
165568,ACCURA HEALTHCARE OF CASCADE LLC,IA,5,5,1
675712,HOMESTEAD NURSING AND REHABILITATION OF ITASCA,TX,5,,5
245343,MINNESOTA MASONIC HOME CARE CENTER,MN,5,5,5
065305,LIBERTY HEIGHTS,CO,5,4,5
366308,ALGART HEALTH CARE,OH,5,,5
375425,"GREGSTON NURSING HOME, INC.",OK,5,3,1
105927,FOUNTAINS REHABILITATION AT MILL COVE,FL,5,4,5
155478,TIMBERS OF JASPER THE,IN,5,4,5
105397,EVERGREEN WOODS,FL,5,4,5
175389,"YATES OPERATOR, LLC",KS,5,3,3
115774,MAGNOLIA PLACE NURSING AND REHABILITATION,GA,5,5,4
11A200,GRACEWOOD NSG FACILITY(UNIT 9),GA,5,,5
105822,GARDENS HEALTHCARE & REHABILITATION CENTER,FL,5,5,5
